"response_id","the_county_of_san_diego_is","the_county_of_san_diego_is_1","during_times_of_emergency","i_can_easily_obtain_emergency","earthquake_risk","wildfire_risk","flood_risk","terrorism_risk","house_fire_risk","earthquake_experience","what_is_the_strongest","highest_level_of_property","wildfire_experience_evacuation","highest_level_of_property_1","flood_experience_evacuation","highest_level_of_property_2","terrorism_experience","highest_level_of_property_3","house_fire_experience","highest_level_of_property_4","other_hazard_experience","highest_level_of_property_5","preparation_action_in_the","preparation_action_in_the_1","preparation_action_in_the_2","preparation_action_in_the_3","preparation_action_in_the_4","preparation_action_in_the_5","preparation_action_in_the_6","preparation_action_in_the_7","preparation_action_in_the_8","preparation_action_in_the_9","preparation_action_in_the_10","preparation_action_in_the_11","preparation_action_in_the_12","preparation_action_in_the_13","count_of_preparation_action","preparation_action_s_taken","how_important_is_it_to_you","in_thinking_about_preparing","how_do_you_feel_when_thinking","how_likely_do_you_feel_you","how_prepared_do_you_feel","major_disaster_preparation","major_disaster_preparation_1","major_disaster_preparation_2","major_disaster_preparation_3","major_disaster_preparation_4","major_disaster_preparation_5","major_disaster_preparation_6","major_disaster_preparation_7","major_disaster_preparation_8","major_disaster_preparation_9","major_disaster_preparation_10","major_disaster_preparation_11","major_disaster_preparation_12","major_disaster_preparation_13","who_is_most_likely_to","major_disaster_preparation_14","major_disaster_preparation_15","major_disaster_preparation_16","major_disaster_preparation_17","major_disaster_preparation_18","major_disaster_preparation_19","major_disaster_preparation_20","major_disaster_preparation_21","major_disaster_preparation_22","major_disaster_preparation_23","major_disaster_preparation_24","are_you_prepared_to_evacuate","have_you_selected_a_meeting","have_you_designated_an","do_you_know_at_least_two","do_you_have_a_3_day_supply","do_you_have_a_flashlight","do_you_have_a_radio_and","has_someone_in_your_household","do_you_have_a_survival_kit","do_you_know_how_to_turn_off","do_you_know_how_to_turn_off_1","emergency_and_disaster_relief","emergency_and_disaster_relief_1","emergency_and_disaster_relief_2","emergency_and_disaster_relief_3","emergency_and_disaster_relief_4","emergency_and_disaster_relief_5","emergency_and_disaster_relief_6","emergency_and_disaster_relief_7","emergency_and_disaster_relief_8","emergency_and_disaster_relief_9","emergency_and_disaster_relief_10","emergency_and_disaster_relief_11","emergency_and_disaster_relief_12","emergency_and_disaster_relief_13","emergency_and_disaster_relief_14","emergency_and_disaster_relief_15","emergency_and_disaster_relief_16","if_an_evacuation_was_ordered","if_an_evacuation_was_ordered_1","if_an_evacuation_was_ordered_2","if_an_evacuation_was_ordered_3","are_you_prepared_to_evacuate_1","evacuation_order_preventer","evacuation_order_preventer_1","evacuation_order_preventer_2","evacuation_order_preventer_3","evacuation_order_preventer_4","evacuation_order_preventer_5","evacuation_order_preventer_6","evacuation_order_preventer_7","evacuation_order_preventer_8","evacuation_order_preventer_9","evacuation_order_preventer_10","evacuation_order_preventer_11","evacuation_order_preventer_12","evacuation_order_preventer_13","evacuation_order_preventer_14","evacuation_order_preventer_15","evacuation_order_preventer_16","evacuation_order_preventer_17","responsible_for_any_children","familiar_with_your_child","responsible_for_pet_s","plan_for_what_you_will_do","home_county","years_living_in_san_diego","own_or_rent_your_home_place","type_of_structure_you_live","when_was_current_place_of","work_status","highest_education_level","race_ethnic_group","age_group","language_s_spoken_in_household","gender","total_household_income","city","state_region","postal","disaster_hazard_experience_evacuation_damage_injury_or_death","number_of_major_disaster_preparation_preventers","number_of_sources_where_emergency_and_disaster_relief_information_is_obtained","number_of_evacuation_order_preventers","count_range_of_preparation_actions_taken"
"268","1 - Strongly Agree","1 - Strongly Agree","1 - Strongly Agree","1 - Strongly Agree","Medium Risk","Low Risk","Low Risk","Low Risk","Low Risk","false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken","Very Important","I have not yet prepared, but intend to in the next month","5","2 - Likely","6",,,"true",,,,"true",,,,"true",,,,"Local news and radio broadcasters",,"true",,,,,,,,,,"No","No","No","Yes","No","No","No","No","No","Yes","Yes",,"true","true",,,,,"true","true","true",,,"true","true","true",,,"1 - Very Likely","3 - Not Likely","3 - Not Likely","3 - Not Likely","Yes","true",,,"true",,,,,,,,,,,,,,,"false",,"true","Yes","Yes","20 or more years","Own","Detached single family home","1934 - 1970","Work full time","Bachelor's degreee","White","60 - 69","English","Female","$75,000 to $99,999","Washington","DC","20024",,"1","8","2","0"
"931","4 - Disagree","4 - Disagree","2 - Agree","2 - Agree","Low Risk","Low Risk","Low Risk","Low Risk","Medium Risk","false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","10 - 19 Years",,,,,,,,,,,"San Diego","CA","92114",,"0","0","0","0"
"1189",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","20 or more years",,,,,,,,,,,"San Diego","CA","92122",,"0","0","0","0"
"869","3 - Neither Agree nor Disagree","2 - Agree","2 - Agree","2 - Agree","Medium Risk","Low Risk","Low Risk","Medium Risk","Medium Risk","false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","10 - 19 Years",,,,,,,,,,,"Chula Vista","CA","91910",,"0","0","0","0"
"1194","4 - Disagree","4 - Disagree","2 - Agree","4 - Disagree","Medium Risk","Medium Risk","High Risk","Low Risk","Low Risk","true","6.0 - 6.9",,"true",,"true",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken","Very Important","I have not yet prepared, but intend to in the next 6 months","6","1 - Very Likely","8",,,,,,,,,,,,,,,"Family",,,,,"true",,,,,,,"No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",,,,,"true",,,,,,,,,,,,,"1 - Very Likely","3 - Not Likely","3 - Not Likely","3 - Not Likely","No",,,"true",,,,,,,,,,,,,,,,"false",,"true","No","Yes","10 - 19 Years",,"Detached single family home","1980 - 1989","Work full time","Bachelor's degreee","White","40 - 49","English","Female","$50,000 to $74,999","San Diego","CA","92126","Earthquake, Wildfire, Flood","1","1","1","0"
"254","1 - Strongly Agree","6 - Do Not Know","1 - Strongly Agree","1 - Strongly Agree","High Risk","High Risk","Low Risk","Low Risk","High Risk","true","4.0 - 4.9",,"true",,"true",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken","Very Important","I do not plan to do anything to prepare","0","5 - Very Unlikely","0",,,,,,,,,,,"true",,,,"Family","true",,,,,,,"true","true",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","true","true","true","true","true","true",,,,"true",,,,,,,,"3 - Not Likely","3 - Not Likely","2 - Somewhat Likely","3 - Not Likely","Yes",,,,,,,,,,,,,"true",,,,,,"false",,"true","Yes","Yes","20 or more years","Own","Detached single family home","1980 - 1989","Work full time","Some college","White","50 - 59","English","Male","$75,000 to $99,999","San Diego","CA","92121","Earthquake, Wildfire, Flood","3","7","1","0"
"217",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","20 or more years",,,,,,,,,,,"Rancho Cucamonga","CA","91739",,"0","0","0","0"
"774","6 - Do Not Know","6 - Do Not Know","1 - Strongly Agree","6 - Do Not Know","Medium Risk","Low Risk","Low Risk","Low Risk","Low Risk","true","5.0 - 5.9",,"false",,"false",,"false",,"true","Major","false",,,,,,,,,,,,,,,,"0","No Steps Taken","Important","I have not yet prepared, but intend to in the next 6 months","5","3 - Neither Likely nor Unlikely","5","true",,,,,,,,,,,,,,"Friends and neighbors",,,,,,,"true",,,,,"No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes",,"true","true",,,"true",,,,,,,,,,,,"2 - Somewhat Likely","1 - Very Likely","1 - Very Likely","3 - Not Likely","Yes",,,,,"true",,,,,,,,,,,,,,"true","No","true","No","Yes","20 or more years","Own","Detached single family home","2010 or later","Work full time","High school graduate","White","40 - 49","English","Male","$100,000 to $149,999","San Diego","CA","92121","Earthquake, House Fire","1","3","1","0"
"729","2 - Agree","2 - Agree","2 - Agree","2 - Agree","Medium Risk","Low Risk","Medium Risk","Low Risk","Medium Risk","true","Do not know",,"false",,"true",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken","Neither Important nor Unimportant","I do not plan to do anything to prepare","0","2 - Likely","6","true",,"true",,,,,,,,,,,,"Family",,,,,,,,,,,,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",,,,,"true",,,,"true","true",,,,,,,,"1 - Very Likely","3 - Not Likely","3 - Not Likely","3 - Not Likely","Yes",,,,,,,,,,,,,,,,,,,"false",,"false",,"Yes","20 or more years","Own","Detached single family home","1980 - 1989","Work full time","Some college","White","50 - 59","English","Male","$150,000 to $199,999","Escondido","CA","92027","Earthquake, Flood","0","3","0","0"
"1201",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","20 or more years",,,,,,,,,,,"Corpus Christi","TX","78413",,"0","0","0","0"
"614",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","10 - 19 Years",,,,,,,,,,,"Bremerton","WA","98337",,"0","0","0","0"
"351","3 - Neither Agree nor Disagree","4 - Disagree","2 - Agree","6 - Do Not Know","Medium Risk","Medium Risk","Low Risk","Low Risk","Medium Risk","true","3.0 - 3.9",,"false",,"false",,"false",,"true","Minor","false",,,,,,,,,,,,,,,,"0","No Steps Taken","Neither Important nor Unimportant","I do not plan to do anything to prepare","3","2 - Likely","7",,,,,,,,,,,"true",,,,"Family",,,,,,,"true",,,,,"No","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",,,,,,,,,,,,,,,,"true",,"1 - Very Likely","3 - Not Likely","3 - Not Likely","3 - Not Likely","Yes",,,,,,,,,,,,,,,,,,,"false",,"false",,"Yes","20 or more years","Own","Detached single family home","1934 - 1970","Retired","Some college","White","70 - 79","English","Male","$25,000 to $34,999","San Diego","CA","92105","Earthquake, House Fire","1","1","0","0"
"1049",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","10 - 19 Years",,,,,,,,,,,"San Diego","CA","92104",,"0","0","0","0"
"1071",,,,,,,,,,"false",,,"false",,"false",,"false",,"false",,"false",,,,,,,,,,,,,,,,"0","No Steps Taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","10 - 19 Years",,,,,,,,,,,"Escondido","CA","92026",,"0","0","0","0"
