"id","record_number","market_name","market_location","market_location_1","city","zip","market_manager","market_manager_phone","market_manager_email","days_open","season_1_months","season_1_hours","season_2_months","geocoded_column"
"1","AWM2010-DCF-00044","CHULA VISTA CERTIFIED FARMERS' MARKET","CENTER ST BETWEEN CHURCH AVE AND 3RD AVE",,"CHULA VISTA","91910","BOB TEAGUE","619 422-1982 X3","farmersmkt@thirdavenuevillage.com","Thursday","March-October","3:00 PM-7:00 PM","November-February",
"6","AWM2015-DCF-00156","LEMON GROVE CERTIFIED FARMERS' MARKET","MAIN STREET PROMENADE AND BROADWAY",,"LEMON GROVE","91945","KIMBERLY PARIS","619-647-6903",,"Saturday","January-December","8 AM-1 PM","-",
"11","AWM2012-DCF-00113","Encinitas Station Certified Farmers' Market","CORNER OF E STREET & VULCAN AVE IN PARKING LOT B",,"Encinitas","92024","Tasha Ardalan & Brandon Janiss","760-522-2053","Manager@FarmersMarketEncinitas.com","Wednesday","May-September","5:00 PM-8:00 PM","October-April",
"44","AWM2014-DCF-00146","UTC CERTIFIED FARMERS' MARKET","REGENTS RD, SOUTH OF PORT DeMERANO",,"SAN DIEGO","92122","BRIAN BEEVERS","619-795-3363","BRIAN@BRIANSFARMERSMARKETS.COM","Thursday","January-December","3:00 PM-7:00 PM","-",
"25","AWM2013-DCF-00141","RANCHO SANTA FE CERTIFIED FARMERS' MARKET","Del Rayo Village Center, 16079 San Dieguito Rd.",,"Rancho Santa Fe","92091","Diane Haworth","619-743-4263","diane@ranchosantafefarmersmarket.com","Sunday","January-December","9:30 AM-2:00 PM","-",
"42","AWM2010-DCF-00046","CORONADO CERTIFIED FARMERS' MARKET","1201 FIRST ST AT B AVE",,"CORONADO","92118","MARY HILLEBRECHT","760 741-3763","pbfarmmarket@aol.com","Tuesday","January-December","2:30 PM-6:00 PM","-",
"39","AWM2014-DCF-00153","PEOPLES PRODUCE CERTIFIED FARMERS' MARKET","CORNER OF 47TH ST. AND CASTANA ST.",,"SAN DIEGO","92114","N. DIANE MOSS","323-570-9156","Diane@ProjectNewVillage.org","Saturday","January-December","3:00 PM-6:00 PM","-",
"26","AWM2010-DCF-00073","UCSD CERTIFIED FARMERS' MARKET","9500 GILMAN DR DEPT BY LYMANN LN AND GILMAN DR",,"LA JOLLA","92093","CHRISTINE WOOLERY","858 534-4248","cwoolery@ucsd.edu","Tuesday","September-June","10:00 AM-2:00 PM","-",
"15","AWM2014-DCF-00142","ESCONDIDO SATURDAY CERTIFIED FARMERS'  MARKET","SOUTH KALIMA ST. BETWEEN GRAND AVE. & SECOND STREET",,"ESCONDIDO","92027","Peggy Stankovich","760-233-7714","EscondidoEvents@cox.net","Saturday","January-December","10:00 am-2:00 pm","-",
"21","AWM2013-DCF-00127","SANTEE CERTIFIED FARMERS' MARKET","CORNER OF CARLTON HILLS BLVD AND MAST BLVD",,"SANTEE","92071","ANDREA HANKINS","619 933-8427","santeecertifiedfarmersmarket@gmail.com","Wednesday","November-February","3:00 PM-6:00 PM","March-October",
"34","AWM2010-DCF-00058","OCEAN BEACH CERTIFIED FARMERS' MARKET","4900 BLOCK OF NEWPORT AVE BTN CABLE AND BACON ST",,"SAN DIEGO","92107","COMMUNITY CROPS-DIEM DO / DAVID KLAMAN","619 279-0032","CMMUCROPS@COX.NET","Wednesday","October-March","4:00 PM -7:00 PM","April-September",
"30","AWM2009-DCF-00034","NORTH PARK CERTIFIED FARMERS' MARKET","CVS PARKING LOT S/W CORNER FROM HERMAN ST TO NORTH PARK WAY",,"SAN DIEGO","92104","CATT FIELDS-WHITE,","619 233-3901","INFO@SDWEEKLYMARKETS.COM","Thursday","January-December","3:00 PM-7:00 PM","-",
"2","AWM2013-DCF-00130","OTAY RANCH CERTIFIED FARMERS' MARKET","2015 BIRCH RD AND EASTLAKE BLVD",,"CHULA VISTA","91915","DAVID KLAMAN & DIEM DO, COMMUNITY CROPS","619 279-0032","cmmucrops@cox.net","Tuesday","January-December","4:00 PM-8:00 PM","-",
"7","AWM2009-DCF-00030","BORREGO SPRINGS CERTIFIED FARMERS' MARKET","700 PALM CANYON DR AND BORREGO SPRINGS RD",,"BORREGO SPRINGS","92004","LINDA HADDOCK","760 767-5555","LHADDOCK@BORRREGOSPRINGSCHAMBER.COM","Friday","November-April","7:00 AM-12:00 PM","-",
"29","AWM2013-DCF-00131","THIRD AVE CERTIFIED FARMERS' MARKET","400 BLOCK OF THIRD AVE BTN J ST AND ISLAND AVE",,"SAN DIEGO","92101","DAVID KLAMAN & DIEM DO, COMMUNITY CROPS","619 279-0032","cmmucrops@cox.net","Sunday","January-December","9:00 AM-1:00 PM","-",
"40","AWM2014-DCF-00154","COLLEGE AVENUE CERTIFIED FARMERS' MARKET","4747 COLLEGE AVE (EAST PARKING LOT)",,"SAN DIEGO","92115","CHRISTY JOHNSON","760-745-3023","Christy@SDFarmBureau.org","Wednesday","March-October","3:00 PM-7:00 PM","November-February",
"22","AWM2010-DCF-00070","SOLANA BEACH CERTIFIED FARMERS' MARKET","410-444 S CEDROS AVE",,"SOLANA BEACH","92075","SEAN MACLEOD","858 755-0444","sean@southcedros.com","Sunday","January-December","1:00 PM-5:00 PM","-",
