"parcel_number","property_class","property_status","inventory_type","zoned_as","address","city","state","postal_code","county","neighborhood","city_council_district","sold_date","school_district","potential_use","demo_needed","market_value_year","market_value","square_footage","property_condition","structure_square_footage","number_of_bedrooms","number_of_full_baths","date_evaluated","location_1","date_of_acquisition"
"JA28420301000000000","Residential Vacant","Acquired","Land Bank","R-2.5","2037 College","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd",,"Kansas City Missouri 110","Side Yard","N","2019","2250.0","2980.4325","Vacant lot or land - usable",,,,,"2037 College
Kansas City, MO 64127
(39.086698, -94.544535)","2013-04-09T00:00:00.000"
"JA28320131700000000","Residential Vacant","Disposed","Land Bank","R-6","2619 E 8th St","Kansas City","MO","64124","Jackson","Independence Plaza","3rd","2016-05-18T00:00:00.000","Kansas City Missouri 110","Side Yard","N","2012","1480.0","5590.012257","Vacant lot or land - usable",,,,,"2619 E 8th St
Kansas City, MO 64124
(39.103464, -94.550302)","2013-04-09T00:00:00.000"
"JA30740042500000000","Residential Vacant","Disposed","Land Bank","R-6","5528  PARK AVE","Kansas City","MO","64130","Jackson","Blue Hills","5th","2016-04-01T00:00:00.000","KANSAS CITY MISSOURI 110","Side Yard","N","2014","615.0","4856.160903","Vacant lot or land - little or no use",,,,,"5528  PARK AVE
Kansas City, MO 64130
(39.025526, -94.558748)","2014-03-28T00:00:00.000"
"JA31320142200000000","Residential Improved","Disposed","Land Bank","R-2.5","3628  AGNES AVE","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd","2016-02-05T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","N","2014","22714.0","4246.744931","Structure - severely distressed",,,"1","2014-10-24T00:00:00.000","3628  AGNES AVE
Kansas City, MO 64128
(39.059465, -94.548765)","2014-03-28T00:00:00.000"
"30-640-26-07-00-0-00-000","Residential Vacant","Acquired","KCMHA","R-6","4911 WOODLAND AVE","Kansas City","MO","64130.0","Jackson","Blue Hills","3rd",,"KANSAS CITY MISSOURI 110",,"N","2019","7850.0","4637.21944444","Vacant lot or land - usable",,,,,"4911 WOODLAND AVE
Kansas City, MO 64130.0
(39.037077, -94.563897)","2015-04-28T00:00:00.000"
"JA28920013000000000","Residential Vacant","Acquired","Land Bank","R-5","3230 Lockridge St","Kansas City","MO","64128","Jackson","Santa Fe","3rd",,"Kansas City Missouri 110","Side Yard","N","2019","3450.0","6143.295","Vacant lot or land - usable",,,,,"3230 Lockridge St
Kansas City, MO 64128
(39.075683, -94.544399)","2013-04-09T00:00:00.000"
"JA29710141400000000","Residential Vacant","Disposed","Land Bank","R-1.5","2202 E 30TH ST","KANSAS CITY","MO","64109","JACKSON","Key Coalition","3rd","2018-09-17T00:00:00.000","KANSAS CITY MISSOURI 110",,"N","2017","2268.0","2682.721806","Vacant lot or land - usable",,,,,"2202 E 30TH ST
KANSAS CITY, MO 64109
(39.071812, -94.557128)","2016-02-19T00:00:00.000"
"JA29720021000000000","Commercial Vacant","Disposed","Land Bank","B1-1","2733 Vine St","Kansas City","MO","64109","Jackson","Mount Hope","3rd","2014-09-12T00:00:00.000","Kansas City Missouri 110","Side Yard","N","2012","836.0","2987.189306","Vacant lot or land - usable",,,,,"2733 Vine St
Kansas City, MO 64109
(39.076377, -94.564087)","2013-04-09T00:00:00.000"
"JA31420261300000000","Residential Vacant","Acquired","Land Bank","R-2.5","4633 South Benton Ave","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd",,"Kansas City Missouri 110",,"N","2019","21104.0","3906.340486","Vacant lot or land - usable",,,,"2014-03-06T00:00:00.000","4633 South Benton Ave
Kansas City, MO 64130
(39.041515, -94.551095)","2013-04-09T00:00:00.000"
"JA28540242200000000","Residential Vacant","Acquired","Land Bank","R-2.5","5524 E 27th St","Kansas City","MO","64127","Jackson","South Blue Valley","3rd",,"Kansas City Missouri 110",,"N","2019","3350.0","6447.311701","Vacant lot or land - usable",,,,,"5524 E 27th St
Kansas City, MO 64127
(39.075981, -94.518195)","2013-04-09T00:00:00.000"
"JA29710082800000000","Residential Improved","Disposed","Land Bank","R-1.5","2816 OLIVE ST","KANSAS CITY","MO","64109","JACKSON","Key Coalition","3rd","2017-01-23T00:00:00.000","KANSAS CITY MISSOURI 110",,"N","2015","25015.0","4770.494965","Structure - fair condition",,,,,"2816 OLIVE ST
KANSAS CITY, MO 64109
(39.074578, -94.55492)","2016-02-19T00:00:00.000"
"30-640-21-07-00-0-00-000","Residential Vacant","Acquired","KCMHA","R-6","4915 PARK AVE","Kansas City","MO","64130.0","Jackson","Blue Hills","3rd",,"KANSAS CITY MISSOURI 110",,"N","2019","8700.0","5151.63135417","Vacant lot or land - usable",,,,,"4915 PARK AVE
Kansas City, MO 64130.0
(39.037015, -94.558054)","2015-04-28T00:00:00.000"
"JA27310024900000000","Residential Vacant","Acquired","Land Bank","R-2.5","8816 E 8th St","Kansas City","MO","64125","Jackson","North Blue Ridge","4th",,"Kansas City Missouri 110",,"N","2019","3700.0","4957.13524306","Awaiting evaluation",,,,,"8816 E 8th St
Kansas City, MO 64125
(39.100562, -94.478029)","2013-04-09T00:00:00.000"
"JA30110130200000000","Residential Improved","Disposed","Land Bank","R-1.5","3601 Brooklyn Ave","Kansas City","MO","64109-2863","Jackson","Ivanhoe Northeast","3rd","2016-08-19T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","N","2015","24172.0","5383.094","Structure - fair condition","2873","3","1","2016-04-29T00:00:00.000","3601 Brooklyn Ave
Kansas City, MO 64109-2863
(39.060923, -94.557933)","2015-10-02T00:00:00.000"
"JA28820110800000000","Residential Improved","Disposed","Land Bank","R-2.5","2814 Spruce Ave","Kansas City","MO","64128","Jackson","East Community Team South","3rd","2017-05-05T00:00:00.000","Kansas City Missouri 110","Affordable Housing","N","2012","19428.0","3952.944583","Structure - fair condition","944","2","1","2014-05-16T00:00:00.000","2814 Spruce Ave
Kansas City, MO 64128
(39.074115, -94.533329)","2013-04-09T00:00:00.000"
"30-610-16-04-00-0-00-000","Residential Vacant","Acquired","KCMHA","R-2.5","4405 WABASH AVE","Kansas City","MO","64130.0","Jackson","Ivanhoe Southeast","3rd",,"KANSAS CITY MISSOURI 110","Affordable Housing","N","2019","9600.0","4272.714028","Vacant lot or land - usable",,,,,"4405 WABASH AVE
Kansas City, MO 64130.0
(39.046253, -94.555241)","2014-05-02T00:00:00.000"
"JA28720051200000000","Residential Vacant","Acquired","Land Bank","R-2.5","2832 BELLAIRE AVE","Kansas City","MO","64128","Jackson","South Blue Valley","3rd",,"KANSAS CITY MISSOURI 110","Assemblage, Side Yard","N","2019","3600.0","6442.114063","Vacant lot or land - usable",,,,,"2832 BELLAIRE AVE
Kansas City, MO 64128
(39.073363, -94.514688)","2015-03-01T00:00:00.000"
"JA28310190100000000","Residential Vacant","Disposed","Land Bank","R-2.5","4011 E 8TH ST","KANSAS CITY","MO","64124","JACKSON","Lykins","3rd","2019-11-15T00:00:00.000","KANSAS CITY MISSOURI 110",,"N","2015","1480.0","7905.598507","Vacant lot or land - usable",,,,,"4011 E 8TH ST
KANSAS CITY, MO 64124
(39.102914, -94.534574)","2016-02-19T00:00:00.000"
"JA28430302300000000","Residential Improved","Disposed","Land Bank","R-2.5","3016 E 26th St","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd","2017-03-03T00:00:00.000","Kansas City Missouri 110","Affordable Housing","N","2012","23747.0","3371.686667","Structure - fair condition","1200","3","1",,"3016 E 26th St
Kansas City, MO 64127
(39.078727, -94.54689)","2013-04-09T00:00:00.000"
"31-920-30-04-00-0-00-000","Residential Vacant","Acquired","KCMHA","R-2.5","5423 COLLEGE AVE","Kansas City","MO","64130.0","Jackson","North Town Fork Creek","5th",,"KANSAS CITY MISSOURI 110",,"N","2019","8650.0","5920.561424","Vacant lot or land - usable",,,,"2013-12-27T00:00:00.000","5423 COLLEGE AVE
Kansas City, MO 64130.0
(39.027373, -94.546834)","2015-04-28T00:00:00.000"
"JA28440180800000000","Residential Vacant","Disposed","Land Bank","R-2.5","2447 Bales Ave","KANSAS CITY","MO","64127","JACKSON","Washington Wheatley","3rd","2019-07-31T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage, Infill construction, Side Yard","N","2018","7312.0","4256.79","Vacant lot or land - usable",,,,,"2447 Bales Ave
KANSAS CITY, MO 64127
(39.081182, -94.541924)","2019-02-21T00:00:00.000"
"JA28820322800000000","Residential Vacant","Acquired","Land Bank","R-2.5","3035 Chelsea Ave","Kansas City","MO","64128","Jackson","Knoches Park","3rd",,"Kansas City Missouri 110","Side Yard","N","2019","2450.0","4380.35770833","Vacant lot or land - usable",,,,,"3035 Chelsea Ave
Kansas City, MO 64128
(39.069463, -94.527749)","2013-04-09T00:00:00.000"
"JA48120122602000000","RESIDENTIAL VACANT","Reserved","KCMHA","R-6","1204 E. 84th Ter.","KANSAS CITY","MO","64131.0","JACKSON","Marlborough Heights/Marlborough Pride","5th",,"CENTER 120",,"N","2019","16350.0","11421.82","Awaiting evaluation",,,,,"1204 E. 84th Ter.
KANSAS CITY, MO 64131.0
(38.974186, -94.574973)","2017-02-23T00:00:00.000"
"JA31930294300000000","Residential Vacant","Acquired","Land Bank","R-2.5","5800 Agnes Ave","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th",,"Kansas City Missouri 110","Public Green Space, Public Purpose, Urban Agriculture","N","2019","16600.0","19664.3175","Vacant lot or land - usable",,,,"2014-03-13T00:00:00.000","5800 Agnes Ave
Kansas City, MO 64130
(39.019809, -94.551133)","2013-04-09T00:00:00.000"
"JA28520342600000000","Residential Vacant","Acquired","Land Bank","R-2.5","2038 Chelsea Ave","Kansas City","MO","64127","Jackson","East Community Team North","3rd",,"Kansas City Missouri 110","Urban Agriculture","N","2019","5400.0","11999.37","Vacant lot or land - usable",,,,,"2038 Chelsea Ave
Kansas City, MO 64127
(39.085523, -94.526509)","2013-04-09T00:00:00.000"
"JA29710041800000000","Residential Vacant","Reserved","KCMHA","R-1.5","2744 PARK AVE","Kansas City","MO","64128","Jackson","Key Coalition","3rd","2017-12-18T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage","N","2019","10750.0","5102.869826","Vacant lot or land - usable",,,,,"2744 PARK AVE
Kansas City, MO 64128
(39.075445, -94.556028)","2015-03-01T00:00:00.000"
"JA29640240700000000","Commercial Vacant","Disposed","Land Bank","B1-1","2515 Brooklyn Ave","Kansas City","MO","64127","Jackson","Wendell Phillips","3rd","2015-10-08T00:00:00.000","Kansas City Missouri 110","Assemblage","N","2012","1710.0","4720.567222","Vacant lot or land - usable",,,,,"2515 Brooklyn Ave
Kansas City, MO 64127
(39.080302, -94.556964)","2013-04-09T00:00:00.000"
"JA14930103100000000","Residential Vacant","Acquired","Land Bank","R-2.5","414 Tullis Ave","Kansas City","MO","64125","Jackson","North Blue Ridge","4th",,"Kansas City Missouri 110","Side Yard","N","2019","6850.0","11032.012292","Vacant lot or land - usable",,,,,"414 Tullis Ave
Kansas City, MO 64125
(39.108667, -94.487749)","2013-04-09T00:00:00.000"
"JA29630321900000000","Residential Improved","Disposed","KCMHA","UR","2626 TRACY AVE","Kansas City","MO","64108","Jackson","Beacon Hills","3rd","2016-10-12T00:00:00.000","Kansas City Missouri 110","Affordable Housing","N","2014","23990.0","5272.223","Structure - severely distressed","2506","6","4",,"2626 TRACY AVE
Kansas City, MO 64108
(39.07835, -94.568273)","2014-07-17T00:00:00.000"
"JA28610160100000000","Residential Vacant","Acquired","Land Bank","R-2.5","1900 Cambridge","Kansas City","MO","64126","Jackson","Central Blue Valley And Park Tower Gardens","3rd",,"Kansas City Missouri 110",,"N","2019","5100.0","67848.981597","Vacant lot or land - little or no use",,,,"2014-01-31T00:00:00.000","1900 Cambridge
Kansas City, MO 64126
(39.085712, -94.5026)","2013-04-09T00:00:00.000"
"JA46440183200000000","Residential Vacant","Acquired","Land Bank","R-5","7415 Mersington Ave","Kansas City","MO","64132","Jackson","Noble and Gregory Ridge","5th",,"Kansas City Missouri 110",,"N","2019","16850.0","18782.322257","Vacant lot or land - little or no use",,,,,"7415 Mersington Ave
Kansas City, MO 64132
(38.991387, -94.542951)","2013-04-09T00:00:00.000"
"JA29120160100000000","Commercial Vacant","Disposed","Land Bank","B4-2","804 Woodland Ave","Kansas City","MO","64106","Jackson","Parkview","3rd","2018-01-04T00:00:00.000","Kansas City Missouri 110","Public Purpose","N","2012","27668.0","12762.612431","Vacant lot or land - usable",,,,,"804 Woodland Ave
Kansas City, MO 64106
(39.103506, -94.560426)","2013-04-09T00:00:00.000"
"JA28310142700000000","Residential Vacant","Acquired","Land Bank","R-2.5","714 Cleveland Ave","Kansas City","MO","64124","Jackson","Lykins","3rd",,"Kansas City Missouri 110","Side Yard","N","2019","4150.0","3687.90222222","Vacant lot or land - usable",,,,,"714 Cleveland Ave
Kansas City, MO 64124
(39.103496, -94.537341)","2013-04-09T00:00:00.000"
