"municode","lu_name","lu_nametype","fy","field_name","category","group","description","account_number","notes","field_data"
"010000","Alcona County","County","2015","T1R1C2","Revenue","General Fund","Tax Reverted Property","424","Number","$0.00"
"010000","Alcona County","County","2015","T1R1C3","Revenue","All Other Governmental Funds","Tax Reverted Property","424","Number","$0.00"
"010000","Alcona County","County","2015","T1R1C4","Revenue","Enterprise Funds","Tax Reverted Property","424","Number","$0.00"
"010000","Alcona County","County","2015","T1R1C6","Revenue","Component Units","Tax Reverted Property","424","Number","$0.00"
"010000","Alcona County","County","2015","T1R1C7","Revenue","Total","Tax Reverted Property","424","Sum","$0.00"
"010000","Alcona County","County","2015","T1R2C2","Revenue","General Fund","Payment in-Lieu-of Taxes (PILOT)","432","Number","$54,813.00"
"010000","Alcona County","County","2015","T1R2C3","Revenue","All Other Governmental Funds","Payment in-Lieu-of Taxes (PILOT)","432","Number","$0.00"
"010000","Alcona County","County","2015","T1R2C4","Revenue","Enterprise Funds","Payment in-Lieu-of Taxes (PILOT)","432","Number","$0.00"
"010000","Alcona County","County","2015","T1R2C6","Revenue","Component Units","Payment in-Lieu-of Taxes (PILOT)","432","Number","$0.00"
"010000","Alcona County","County","2015","T1R2C7","Revenue","Total","Payment in-Lieu-of Taxes (PILOT)","432","Sum","$54,813.00"
"010000","Alcona County","County","2015","T1R3C2","Revenue","General Fund","Swamp Land Taxes, Forest Reserve ","429, 430","Number","$0.00"
"010000","Alcona County","County","2015","T1R3C3","Revenue","All Other Governmental Funds","Swamp Land Taxes, Forest Reserve ","429, 430","Number","$0.00"
"010000","Alcona County","County","2015","T1R3C4","Revenue","Enterprise Funds","Swamp Land Taxes, Forest Reserve ","429, 430","Number","$0.00"
"010000","Alcona County","County","2015","T1R3C6","Revenue","Component Units","Swamp Land Taxes, Forest Reserve ","429, 430","Number","$0.00"
"010000","Alcona County","County","2015","T1R3C7","Revenue","Total","Swamp Land Taxes, Forest Reserve ","429, 430","Sum","$0.00"
"010000","Alcona County","County","2015","T1R4C2","Revenue","General Fund","Commercial Facilities Tax (Act 255 of 1978)","433","Number","$0.00"
