"month","year","incidentid"
"1","2015","23"
"1","2016","22"
"1","2017","22"
"1","2018","7"
"1","2019","10"
"1","2020","19"
"1","2021","11"
"1","2022","20"
"10","2014","1"
"10","2015","17"
"10","2016","16"
"10","2017","10"
"10","2018","26"
"10","2019","10"
"10","2020","10"
"10","2021","23"
"11","2014","1"
"11","2015","18"
"11","2016","14"
"11","2017","8"
"11","2018","11"
"11","2019","17"
"11","2020","9"
"11","2021","18"
"12","2015","27"
"12","2016","19"
"12","2017","13"
"12","2018","12"
"12","2019","18"
"12","2020","8"
"12","2021","26"
"2","2015","17"
"2","2016","11"
"2","2017","12"
"2","2018","13"
"2","2019","11"
"2","2020","8"
"2","2021","9"
"3","2015","17"
"3","2016","14"
"3","2017","15"
"3","2018","25"
"3","2019","15"
"3","2020","10"
"3","2021","12"
"4","2015","11"
"4","2016","16"
"4","2017","16"
"4","2018","20"
"4","2019","10"
"4","2020","12"
"4","2021","18"
"5","2015","15"
"5","2016","26"
"5","2017","10"
"5","2018","12"
"5","2019","10"
"5","2020","10"
"5","2021","25"
"6","2015","14"
"6","2016","21"
"6","2017","15"
"6","2018","12"
"6","2019","15"
"6","2020","12"
"6","2021","21"
"7","2015","15"
"7","2016","9"
"7","2017","11"
"7","2018","15"
"7","2019","8"
"7","2020","6"
"7","2021","17"
"8","2014","1"
"8","2015","19"
"8","2016","20"
"8","2017","12"
"8","2018","12"
"8","2019","13"
"8","2020","9"
"8","2021","10"
"9","2015","13"
"9","2016","12"
"9","2017","11"
"9","2018","15"
"9","2019","6"
"9","2020","6"
"9","2021","23"
