"license_type","licensee_name","address","city","province","postal_code","location_geocode"
"Hearing Aid Dealer","CONNECT HEARING","175-68 ROBIE STREET","TRURO","NS","B2N1L2","175-68 ROBIE STREET
TRURO, NS B2N1L2
(45.367863, -63.313162)"
"Hearing Aid Dealer","HEARING LIFE CANADA LTD.","215 - 550 HWY. #2","ELMSDALE","NS","B2S1A3",
"Hearing Aid Dealer","WEBSTER STREET HEARING BOUTIQUE","99 WEBSTER STREET","KENTVILLE","NS","B4N1H8","99 WEBSTER STREET
KENTVILLE, NS B4N1H8
(45.078438, -64.49726)"
"Hearing Aid Dealer","ACCURATE HEARING NOVA SCOTIA INC.","153 SACKVILLE DRIVE","LOWER SACKVILLE","NS","B4C2R3","153 SACKVILLE DRIVE
LOWER SACKVILLE, NS B4C2R3
(44.756727, -63.667807)"
"Hearing Aid Dealer","BELTONE PROFESSIONAL HEARING CARE CENTRE (NEW GLAS","90 ESPLANDE STREET UNIT 12","TRURO","NS","B2N 2K3","90 ESPLANDE STREET UNIT 12
TRURO, NS B2N 2K3
(45.362854, -63.276275)"
"Hearing Aid Dealer","BELTONE THE HEARING AID CENTER","6589 CHEBUCTO RD","HALIFAX","NS","B3L1L9","6589 CHEBUCTO RD
HALIFAX, NS B3L1L9
(44.647422, -63.607566)"
"Hearing Aid Dealer","MARITIME HEARING SOLUTIONS INC.","172 HWY 214","ELMSDALE","NS","B2S1H7","172 HWY 214
ELMSDALE, NS B2S1H7
(44.969918, -63.505532)"
"Hearing Aid Dealer","HEARING LIFE CANADA LTD.","173 ESPLANADE STREET","SYDNEY","NS","B1P 1A2","173 ESPLANADE STREET
SYDNEY, NS B1P 1A2
(46.140367, -60.196493)"
"Hearing Aid Dealer","HEARING INSTITUTE ATLANTIC","961 BEDFORD HWY","BEDFORD","NS","B4A1A9","961 BEDFORD HWY
BEDFORD, NS B4A1A9
(44.716981, -63.677608)"
"Hearing Aid Dealer","CONNECT HEARING","100-625 MAIN STREET","YARMOUTH","NS","B5A1E3","100-625 MAIN STREET
YARMOUTH, NS B5A1E3
(43.851163, -66.114531)"
"Hearing Aid Dealer","HIGHLAND HEARING CLINIC LIMITED","9996, HWY 16 GUYSBOROUGH,NS","GUYSBOROUGH","NS","B0H 1N0","9996, HWY 16 GUYSBOROUGH,NS
GUYSBOROUGH, NS B0H 1N0
(45.383119, -61.504645)"
"Hearing Aid Dealer","BELTONE THE HEARING AID CENTER","7965 HWY 7","MUSQUODOBOIT HARBOUR","NS","B0J2L0","7965 HWY 7
MUSQUODOBOIT HARBOUR, NS B0J2L0
(45.144535, -61.991261)"
"Hearing Aid Dealer","CONNECT HEARING","204-480 PARKLAND DRIVE","HALIFAX","NS","B3M0A6",
"Hearing Aid Dealer","MARITIME HEARING SOLUTIONS INC.","92A WILLOW STREET","TRURO","NS","B2N4Z6","92A WILLOW STREET
TRURO, NS B2N4Z6
(45.362133, -63.288272)"
