"accession","title","date","last_name","first_name","size_unframed_height_width","medium"
"1975.118","Isle Madame","1939","Zwicker","Leroy","75 x 86 cm","Oil on board"
"1975.119","Coburg Road","No Date","Zwicker","Leroy","22"" x 28""","oil/canvas"
"1982.17","A Quiet Day Along the Coast","ca. 1960","Zwicker","Marguerite","52 x 68 cm","Watercolour on paper"
"1982.18","October Day, Nova Scotia","ca.1981","Zwicker","Marguerite","46 x 56 cm","Watercolour on paper"
"1982.19","Dutchman's Cove","ca.1981","Zwicker","Marguerite","34 x 45 cm","Watercolour on paper"
"1982.20","Summer Afternoon","ca. 1960","Zwicker","Marguerite","35 x 48 cm","Watercolour on paper"
"1978.22","Untitled # 74","1976","Zuck","Tim ","35.5 x 35.5 cm","Oil on canvas"
"2012.33","Untitled (interior view with columns)","2011","Zimmerman ","Carl","122 x 172 cm","Pigment inkjet on rag paper"
"2012.34","Untitled (Interior view with sky)","2011","Zimmerman ","Carl","129 x 145 cm","Pigment inkjet on rag paper"
"1986.27","Rock","ca. 1985","Zimmerman","Carl","15.5 x 44 cm","Acrylic"
"1989.39","Tiered Structure with Lead Base","ca. 1989","Zimmerman","Carl","16 x 16 x 16 cm","wood, lead, nails, photo"
"1997.41","Niagara Hydro Power Station","1997","Zimmerman","Carl","11.5 cm x 20.5 cm","C41 Colour Print"
"1998.49","Wading Pool Mt. Hamilton Sanatoriu","ca. 1998","Zimmerman","Carl","7"" x 4.75""","photo"
"1999.33","Boiler Room Inverness Public School","1996","Zimmerman","Carl","18 x 28 cm","Inkjet on watercolour paper"
"1999.34","Great Hall, Civic Mausoleum, Birmingham","1999","Zimmerman","Carl","27 x 61 cm","Inkjet print on watercolour paper"
"1992.47.02","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1992.47.03","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1992.47.04","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1992.47.05","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1992.47.06","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1992.47.06","Clouds","ca. 1992","Zimmerman","Carl","49"" x 10""","mixed media"
"1995.42.01","Untitled ","ca. 1995","Zimmerman","Carl","7"" ","coloured pencil on photocopy, wax, oak, plexiglass"
"1995.42.02","Untitled","ca. 1995","Zimmerman","Carl","7""","coloured pencil on photocopy, wax, oak, plexiglass"
"1995.42.03","Untitled ","ca. 1995","Zimmerman","Carl","7""","coloured pencil on photocopy, wax, oak, plexiglass"
"1995.42.04","Untitled ","ca. 1995","Zimmerman","Carl","7""","coloured pencil on photocopy, wax, oak, plexiglass"
"2002.27","Great Hall Mausoleum, Birmingham, England","ca. 2002","Zimmerman","Carl","12"" x 24""",
"2002.28","Museum of Natural History, Birmingham, England","1999","Zimmerman","Carl","32 x 78 cm","Inkjet on watercolour paper"
"2005.23","Factory (Interior)","2005","Zimmerman","Carl","39 x 53 cm","Pigment print on archival paper"
"1975.121","Hanging pot","ca. 1975","Zimmer","Muriel","6.5"" high, 9.5"" diameter","clay"
"1998.48","Night Sky Vase","ca. 1998","Zimmer","Muriel","3.75""h x 3.5""w","porcelain AIO"
"VAPC 74.19","Woman with Apple  (nude)",,"Zielonka","Minna",,
"VAPC 74.20","The Eyes A/P",,"Zielonka","Minna","44 x 35 cm",
"VAPC 74.21","G.R.R.R.R.U.F. ","1973","Zielonka","Minna","63 x 47 cm","Ink on Paper"
"VAPC 74.22","Strike Another Match, and Start Anew","1974","Zielonka","Minna","55 x 75 cm","Intaglio"
"VAPC 74.30","Apparition ","1973","Zielonka","Minna","34 x 28 cm","Intaglio"
"VAPC 74.31","Looking Glass ",,"Zielonka","Minna",,
"VAPC 74.12","To Elizabeth",,"Zgodzinski","Rose",,
"VAPC 74.13","Whitehorse, Yukon Territory",,"Zgodzinski","Rose",,
"VAPC 74.02","Untitled,  1973",,"Zentilli","Armgard","47 x 70 cm","Intaglio A/P"
"VAPC 74.1","Untitled  ",,"Zentilli","Armgard",,
