"subdesc","lic_num","propname","propstreet","propcity","propprovince","proppostal","location_geocode"
"Bingo - Bingo - Charity Religious","113769-20","113769-20","Highway #1","Cambridge","NS","B0P 1G0",
"Bingo - Bingo - Exempt","111581-20","111581-20","1979 Comeau's Hill RD","Arcadia","NS","B0W 1B0","1979 Comeau's Hill RD
Arcadia, NS B0W 1B0
(43.705484, -66.026043)"
"Bingo - Bingo - Exempt","119698-20","119698-20","2615 Northwood","Halifax","NS","B3K 3S5","2615 Northwood
Halifax, NS B3K 3S5
(44.656979, -63.592295)"
"Bingo - Bingo - Charity Religious","103117-21","103117-21","500 Main ST","Liverpool","NS","B0T 1K0","500 Main ST
Liverpool, NS B0T 1K0
(44.036677, -64.722211)"
"Bingo - Bingo - Exempt","106397-20","106397-20","Main ST","Trenton","NS","B0K 1X0",
"Bingo - Bingo - Charity Religious","115907-20","115907-20","899 Main ST","Sydney Mines","NS","B1V 1R5","899 Main ST
Sydney Mines, NS B1V 1R5
(46.24158, -60.23562)"
"Bingo - Bingo - Charity Religious","116249-21","116249-21","495 Smith ST","New Waterford","NS","B1H 4K4","495 Smith ST
New Waterford, NS B1H 4K4
(46.247503, -60.087617)"
"Bingo - Bingo - Charity Religious","100088-20","100088-20","Everette ST","Eastern Passage","NS",,
"Bingo - Bingo - Charity Religious","115921-20","115921-20","6644 Highway 7","Head of Chezzetcook","NS","B0J 1N0","6644 Highway 7
Head of Chezzetcook, NS B0J 1N0
(44.768442, -63.212988)"
"Bingo - Bingo - Charity Religious","109192-20","109192-20","230 Pleasant ST","Dartmouth","NS","B2Y 3R8","230 Pleasant ST
Dartmouth, NS B2Y 3R8
(44.658327, -63.550799)"
"Bingo - Bingo - Exempt","309638-21","309638-21","1066 Eastern Shore RD","Beach Meadows","NS","B0J 1H0","1066 Eastern Shore RD
Beach Meadows, NS B0J 1H0
(44.0745, -64.622382)"
"Bingo - Bingo - Charity Religious","004228-17","004228-17","6881 Highway #3","Woods Harbour","NS","B0W 2E0","6881 Highway #3
Woods Harbour, NS B0W 2E0
(43.536559, -65.733401)"
"Bingo - Bingo - Charity Religious","111593-20","111593-20","5 Robie ST","Amherst","NS","B4H 2C5","5 Robie ST
Amherst, NS B4H 2C5
(45.831878, -64.207179)"
"Bingo - Bingo - Exempt","104346-19","104346-19","57 Jarvis LN","Halifax","NS","B3K 3J3","57 Jarvis LN
Halifax, NS B3K 3J3
(44.669284, -63.602541)"
"Bingo - Bingo - Exempt","115916-19","115916-19","13922 Main ST","Wallace","NS","B0K 1Y0",
"Bingo - Bingo - Exempt","006008-21","006008-21","34 Hankard ST","Sydney","NS","B1N 2C1","34 Hankard ST
Sydney, NS B1N 2C1
(46.153288, -60.179886)"
"Bingo - Bingo - Charity Religious","215469-19","215469-19","35 Empire LN","Windsor","NS","B0N 2T0","35 Empire LN
Windsor, NS B0N 2T0
(44.992252, -64.126502)"
"Bingo - Bingo - Exempt","139349-19","139349-19","3 Ardoise School RD","Ardoise","NS","B0N 1L0","3 Ardoise School RD
Ardoise, NS B0N 1L0
(44.959481, -63.933409)"
"Bingo - Bingo - Charity Religious","111943-20","111943-20","3315 Highway #2","Economy","NS","B0M 1J0","3315 Highway #2
Economy, NS B0M 1J0
(45.38489, -63.911699)"
"Bingo - Bingo - Exempt","106566-18","106566-18","112 North Foord ST","New Glasgow","NS","B0K 1S0","112 North Foord ST
New Glasgow, NS B0K 1S0
(45.6809, -62.72038)"
"Bingo - Bingo - Charity Religious","118272-21","118272-21","2562 HWY #3","Pubnico Head","NS","B0W 3S0","2562 HWY #3
Pubnico Head, NS B0W 3S0
(43.706136, -65.775165)"
"Bingo - Bingo - Charity Religious","101308-20","101308-20","92 Mount ST","Digby","NS","B0V 1A0","92 Mount ST
Digby, NS B0V 1A0
(44.618734, -65.764641)"
"Bingo - Bingo - Exempt","116419-19","116419-19","1131 Union ST","Canso","NS","B0H 1H0","1131 Union ST
Canso, NS B0H 1H0
(45.337521, -61.000893)"
"Bingo - Bingo - Exempt","232245-21","232245-21","734 Broadway ST","Cornwallis","NS","B0S 1E0","734 Broadway ST
Cornwallis, NS B0S 1E0
(44.655315, -65.632776)"
"Bingo - Bingo - Exempt","001266-19","001266-19","98 Queen ST","Canso","NS","B0H 1H0","98 Queen ST
Canso, NS B0H 1H0
(45.333789, -60.992553)"
"Bingo - Bingo - Exempt","230893-16","230893-16","1402 Highway 308","Tusket","NS","B0W 3M0","1402 Highway 308
Tusket, NS B0W 3M0
(43.761599, -65.935897)"
"Bingo - Bingo - Charity Religious","113776-20","113776-20","98 Queen ST","Canso","NS","B0H 1H0","98 Queen ST
Canso, NS B0H 1H0
(45.333789, -60.992553)"
"Bingo - Bingo - Charity Religious","101105-19","101105-19","80 Sandy Cove RD","Terence Bay","NS","B3T 1Y2","80 Sandy Cove RD
Terence Bay, NS B3T 1Y2
(44.467416, -63.718109)"
"Bingo - Bingo - Charity Religious","113812-20","113812-20","3292 Highway #3","Chester","NS","B0J 1J0","3292 Highway #3
Chester, NS B0J 1J0
(44.561888, -64.221947)"
"Bingo - Bingo - Exempt","106751-19","106751-19","3160 Bay St lawrence RD","Bay St. Lawrence","NS","B0C 1G0","3160 Bay St lawrence RD
Bay St. Lawrence, NS B0C 1G0
(46.993324, -60.465595)"
"Bingo - Bingo - Charity Religious","113770-20","113770-20","14 Union ST","Chester","NS","B0J 1J0","14 Union ST
Chester, NS B0J 1J0
(44.539773, -64.23926)"
"Bingo - Bingo - Exempt","308346-21","308346-21","2886 Louisbourg-Main-A-Dieu R","Main-a-Dieu",,,"2886 Louisbourg-Main-A-Dieu R
Main-a-Dieu,  
(46.005145, -59.846282)"
"Bingo - Bingo - Charity Religious","112355-20","112355-20","72 Park ST","New Glasgow","NS","B2H 5B8","72 Park ST
New Glasgow, NS B2H 5B8
(45.570542, -62.640346)"
"Bingo - Bingo - Charity Religious","102962-20","102962-20","78 Neville ST","Dominion","NS","B1G 1P6","78 Neville ST
Dominion, NS B1G 1P6
(46.211165, -60.010007)"
"Bingo - Bingo - Charity Religious","149150-20","149150-20","4237 Highway 223","Iona","NS","B2C 1A3","4237 Highway 223
Iona, NS B2C 1A3
(45.951988, -60.814035)"
"Bingo - Bingo - Charity Religious","103364-21","103364-21","294 Main ST","Antigonish","NS","B2G 2C4","294 Main ST
Antigonish, NS B2G 2C4
(45.622502, -61.992412)"
"Bingo - Bingo - Charity Religious","109198-20","109198-20","31 Milton RD","Liverpool","NS","B0T 1K0","31 Milton RD
Liverpool, NS B0T 1K0
(44.045757, -64.723115)"
"Bingo - Bingo - Charity Religious","118244-20","118244-20","948 Highway #1","Deep Brook","NS","B0S 1J0","948 Highway #1
Deep Brook, NS B0S 1J0
(44.617542, -65.688663)"
"Bingo - Bingo - Charity Religious","118242-20","118242-20","15584 Cabot Trail Hwy","Cheticamp","NS","B0E 1H0",
"Bingo - Bingo - Charity Religious","113813-20","113813-20","4693 #7 Highway","Porters Lake","NS","B0J 2S0",
"Bingo - Bingo - Charity Religious","116252-21","116252-21","6476 Bayers RD","Halifax","NS","B3L 2B1","6476 Bayers RD
Halifax, NS B3L 2B1
(44.653809, -63.612123)"
"Bingo - Bingo - Charity Religious","200926-20","200926-20","273 Highway #2","Enfield","NS","B2T 1C9","273 Highway #2
Enfield, NS B2T 1C9
(44.943714, -63.535793)"
"Bingo - Bingo - Charity Religious","113803-17","113803-17","468 King's RD","Dominion","NS","B1A 5A8","468 King's RD
Dominion, NS B1A 5A8
(46.210973, -60.000027)"
"Bingo - Bingo - Charity Religious","102710-21","102710-21","45 Old Trunk RD","Tracadie","NS","B0H 1W0","45 Old Trunk RD
Tracadie, NS B0H 1W0
(45.62323, -61.640801)"
"Bingo - Bingo - Charity Religious","100077-21","100077-21","13956 Cabot Trail, Point Cross","Cheticamp","NS","B0E 1H0",
