"license_number","license_type","establishment","street_address","city_town","province","postal_code","location"
"006392","Beverage Room","The Ten Spot","5165 South ST","Halifax","NS","B3J 0E2","5165 South ST
Halifax, NS B3J 0E2
(44.640233, -63.569558)"
"006888","Cabaret","Village Taphouse","11 Bloom LN","Bedford","NS","B4B 2E6",
"001028","Club","RCL Br. 70, Stewiacke","299 George ST","Stewiacke","NS","B0N 2J0","299 George ST
Stewiacke, NS B0N 2J0
(45.138522, -63.348163)"
"004328","Club","Clare Curling Club","32 Connector RD","Meteghan","NS","B0W 2J0",
"004954","Club","Pictou Yacht Club","2 Harbour DR","Pictou","NS","B0K 1H0","2 Harbour DR
Pictou, NS B0K 1H0
(45.681528, -62.693674)"
"005947","Club","Whycocomagh Fire Hall","9519 Trans Canada Hwy.","Whycocomagh","NS","B0E 3M0",
"000949","Eating Establishment","Pizza Delight (Antigonish)","348 Main ST","Antigonish","NS","B2G 2C5","348 Main ST
Antigonish, NS B2G 2C5
(45.622192, -61.994309)"
"004744","Eating Establishment","Chanterelle Inn","RR #4","North River Bridge","NS","B0E 1B0",
"004909","Eating Establishment","Uniacke Pizza","158 Old Windsor Hwy","Mount Uniacke","NS","B0N 1Z0",
"005436","Eating Establishment","Bistro 22","16 Inglis PL","Truro","NS","B2N 4B4","16 Inglis PL
Truro, NS B2N 4B4
(45.364162, -63.276368)"
"005993","Eating Establishment","Robie Street Diner","2394 Robie ST","Halifax","NS","B3K 4M7","2394 Robie ST
Halifax, NS B3K 4M7
(44.651045, -63.592532)"
"006487","Eating Establishment","Hub Grub","41 Inglis PL","Truro","NS","B2N4B5","41 Inglis PL
Truro, NS B2N4B5
(45.363905, -63.276286)"
"006580","Eating Establishment","Steinhart Distillery Limited","5963 Highway 245","Arisaig","NS","B2G 2L1",
"006647","Eating Establishment","Osprey's Nest","30 John Rieser DR","Petite Riviere","NS","B0J 2P0",
"006713","Eating Establishment","The Brown Hound Pub","1450 Ironstone LN","Halifax","NS","B3J 0H9",
"006830","Eating Establishment","Jessy's Pizza","501 Timberlea Village Parkw","Timberlea","NS","B3T 1B8",
"003028","Lounge","Sea Deck Lounge","36 Water ST","Chester","NS","B0J 1J0","36 Water ST
Chester, NS B0J 1J0
(44.538749, -64.238296)"
"004893","Lounge","Roost Lounge, The","358 Lacewood DR","Halifax","NS","B3M 2P2",
"006011","Lounge","Obladee, A Wine Bar","1600 Barrington ST","Halifax","NS","B3J 1Z6","1600 Barrington ST
Halifax, NS B3J 1Z6
(44.646118, -63.573498)"
"006078","Special Premises","Cabot Cliffs Golf Course","39 Broad Cove","Inverness","NS","B0E 1N0",
"006426","Special Premises","Greenwood Golf Club","520 Thunderbird Way","Greenwood","NS","B0P 1J0",
"005492","Special Premises","Imagine Salon & Spa","950 Bedford HY","Bedford","NS","B4A 4B5","950 Bedford HY
Bedford, NS B4A 4B5
(44.715825, -63.678165)"
"003547","Eating Establishment","East of Grafton","1580 Argyle ST","Halifax","NS","B3J 2B3","1580 Argyle ST
Halifax, NS B3J 2B3
(44.645494, -63.573972)"
"005248","Eating Establishment","Boston Pizza Dining Room Bridgewater","485 Highway #10","Cookville","NS","B4V 1A9","485 Highway #10
Cookville, NS B4V 1A9
(44.399548, -64.536828)"
"001005","Club","RCL Br. 92, Freeport","184 Water ST","Freeport","NS","B0V 1B0","184 Water ST
Freeport, NS B0V 1B0
(44.273226, -66.326038)"
"005811","Special Premises","Hotel Alt Halifax Stanfield","40 Silver Dart DR","Enfield","NS","B0N 1Y0","40 Silver Dart DR
Enfield, NS B0N 1Y0
(44.885922, -63.515656)"
"006563","Eating Establishment","Boardwalk Tap Room and Eatery","320 Esplanade ST","Sydney","NS","B1P 5X3","320 Esplanade ST
Sydney, NS B1P 5X3
(46.137358, -60.195536)"
"004092","Lounge","Dooly's Lounge, New Minas","9049 Commercial ST","New Minas","NS","B4N 5A4","9049 Commercial ST
New Minas, NS B4N 5A4
(45.067624, -64.456362)"
"005781","Eating Establishment","Tako Sushi and Ramen Restaurant","480 Parkland DR","Halifax","NS","B3S 1P9","480 Parkland DR
Halifax, NS B3S 1P9
(44.671066, -63.675992)"
"006859","Eating Establishment","Sushi 101","912 Cole Harbour RD","Dartmouth","NS","B2V 2J5","912 Cole Harbour RD
Dartmouth, NS B2V 2J5
(44.671237, -63.499437)"
"004831","Eating Establishment","Brooklyn Warehouse","2795 Windsor ST","Halifax","NS","B3K 5E3","2795 Windsor ST
Halifax, NS B3K 5E3
(44.65414, -63.602497)"
"006518","Lounge","Rob's Underground Entertainment","2 Elliot ST","Sydney Mines","NS","B1V 2N2","2 Elliot ST
Sydney Mines, NS B1V 2N2
(46.242594, -60.228959)"
"006595","Eating Establishment","Melt""wich"" Food Co.","325 Prince ST","Sydney","NS","B1P 5K6","325 Prince ST
Sydney, NS B1P 5K6
(46.139447, -60.185387)"
