"year","quarter","claims"
"2015/16","1st Quarter","295"
"2015/16","2nd Quarter","107"
"2015/16","3rd Quarter","64"
"2015/16","4th Quarter","142"
"2016/17","1st Quarter","282"
"2016/17","2nd Quarter","171"
"2016/17","3rd Quarter","75"
"2016/17","4th Quarter","129"
"2017/18","1st Quarter","247"
"2017/18","2nd Quarter","168"
"2017/18","3rd Quarter","114"
"2017/18","4th Quarter","437"
"2018/19","1st Quarter","258"
"2018/19","2nd Quarter","135"
"2018/19","3rd Quarter","183"
"2018/19","4th Quarter","301"
"2019/20","1st Quarter","322"
"2019/20","2nd Quarter","137"
"2019/20","3rd Quarter","87"
"2019/20","4th Quarter","127"
"2020/21","1st Quarter","98"
"2020/21","2nd Quarter","76"
"2020/21","3rd Quarter","48"
"2020/21","4th Quarter","48"
"2021/22","1st Quarter","57"
"2021/22","2nd Quarter","82"
"2021/22","3rd Quarter","127"
"2021/22","4th Quarter","77"
"2022/23","1st Quarter","251"
