"license_type","licensee_name","address","city","province","postal_code","location_geocode"
"Consumer Reporting Agency","1957285 ONTARIO INC.","115 MIDAIR COURT","BRAMPTON","ON","L6T5M3","115 MIDAIR COURT
BRAMPTON, ON L6T5M3
(43.730315, -79.674551)"
"Consumer Reporting Agency","GATEMASTER INCORPORATED","339 HERRING COVE RD., SUITE 208","HALIFAX","NS","B3R1V5","339 HERRING COVE RD., SUITE 208
HALIFAX, NS B3R1V5
(44.614169, -63.616328)"
"Consumer Reporting Agency","TRITON CANADA INC.","2235 SHEPPARD AVE. E, SUITE 1503","TORONTO","ON","M2J5B5","2235 SHEPPARD AVE. E, SUITE 1503
TORONTO, ON M2J5B5
(43.774707, -79.327728)"
"Consumer Reporting Agency","ACCORD CREDIT GROUP INC.","800 WINDMILL ROAD UNIT 300","DARTMOUTH","NS","B3B1L1","800 WINDMILL ROAD UNIT 300
DARTMOUTH, NS B3B1L1
(44.703208, -63.611122)"
"Consumer Reporting Agency","PCA REGISTRE TECHNOLOGIES (CANADA) SRI/PCA REGIS","PO BOX 997","HALIFAX","NS","B3J2X2",
"Consumer Reporting Agency","TRANS UNION OF CANADA, INC. TRANS UNION DU CANADA,","3115 HARVESTER ROAD, SUITE 201","BURLINGTON","ON","L7N3N8","3115 HARVESTER ROAD, SUITE 201
BURLINGTON, ON L7N3N8
(43.353058, -79.797826)"
"Consumer Reporting Agency","CREDIFAX ATLANTIC LIMITED","SUITE 300, 800 WINDMILL ROAD","DARTMOUTH","NS","B3B1L1",
"Consumer Reporting Agency","YOMES INCORPORATED","3266 BAIRD ROAD","NORTH VANCOUVER","BC","V7K2G7","3266 BAIRD ROAD
NORTH VANCOUVER, BC V7K2G7
(49.338718, -123.040768)"
"Consumer Reporting Agency","QUALITY CREDIT SERVICES LIMITED","90C CENTURIAN DRIVE SUITE 207","MARKHAM","ON","L3R8C5","90C CENTURIAN DRIVE SUITE 207
MARKHAM, ON L3R8C5
(43.852165, -79.36474)"
"Consumer Reporting Agency","EQUIFAX CANADA CO.","PO BOX 997","HALIFAX","NS","B3J2X2",
"Consumer Reporting Agency","TRUST SCIENCE INC.","10130 NW 103 STREET, SUITE 1100","EDMONTON","AB","T5J3N9","10130 NW 103 STREET, SUITE 1100
EDMONTON, AB T5J3N9
(53.542006, -113.497417)"
"Consumer Reporting Agency","RENT CHECK CREDIT BUREAU LTD.","1124 - 130 QUEENS QUAY EAST, WEST TOWER","TORONTO","ON","M5A0P6",
"Consumer Reporting Agency","FORREST GREEN RMC","10520 YONGE STREET SUITE 322 UNIT 35B","RICHMOND HILL","ON","L4C9N7","10520 YONGE STREET SUITE 322 UNIT 35B
RICHMOND HILL, ON L4C9N7
(43.884141, -79.440327)"
