"organization_name","organization_type","county","phone_number1","phone_number2","website","mailing_address","mailing_city_town","postal_code","location_unit","location_civic_address","location_city_town","assessment_and_orientation","language","employment_and_business","youth_young_adult","recreation_socialization","francophone","distance_programs_multiple","other","geocoded_column"
"Antigonish Women's Resource Centre and Sexual Assault Service Association","Not-for-Profit","Antigonish","902-318-3985","902-863-6221","https://awrcsasa.ca/support-services/newcomer-support/","303 - 219 Main Street, Kirk Place","Antigonish","B2G 2C1","303","219 Main Street","Antigonish","YES","Referrals","Networking","YES","YES","Referrals","NO","NO","POINT (-61.989626 45.622596)"
"Cape Breton Island Centre for Immigration","Settlement Office","Cape Breton","902-270-5772",,"https://cbici.ca/","37 Nepean Street","Sydney","B1P 6A7",,"319 Charlotte Street","Sydney","YES","NO","YES","NO","YES","NO","NO","YES","POINT (-60.194639 46.137976)"
"Cape Breton Partnership","Regional Partner","Cape Breton","902-562-0122","902-258-7331","http://capebretonpartnership.com","285 Alexandra Street","Sydney","B1S 2E8",,"285 Alexandra Street","Sydney","Referrals","NO","YES","NO","YES","NO","NO","YES","POINT (-60.1973 46.121833)"
"Halifax Partnership","Not-for-Profit","Halifax","902-490-6000","1-800-565-1191","http://www.halifaxpartnership.com/en/home/get-connected/connector-program/default.aspx","1675 Grafton Street, Suite 701 North Tower","Halifax","B3J 0E7","701","1675 Grafton Street, North Tower","Halifax","NO","NO","YES","NO","NO","NO","NO","NO","POINT (-63.575253 44.646604)"
"Halifax Public Libraries","Library","Halifax","902-490-6378",,"https://www.halifaxpubliclibraries.ca/browse/newcomers","60 Alderney Drive","Dartmouth","B2Y 4P8",,"60 Alderney Drive","Dartmouth","YES","YES","YES, primarily referral","YES","YES","Items to borrow","YES","Free wifi","POINT (-63.568687 44.664559)"
"Immigrant Services Association of Nova Scotia (ISANS)","Not-for-Profit","Halifax","902-423-3607","1-866-431-6472","http://www.isans.ca","2120 - 6960 Mumford Road","Halifax","B3L 4P1","2120","6960 Mumford Road","Halifax","YES","YES","YES","YES","YES","NO","YES","For certain clients","POINT (-63.618048 44.646687)"
"Immigration francophone de la Nouvelle-Écosse","Not-for-Profit","Halifax","902-433-2099",,"http://www.immigrationfrancophonene.ca","2085 - 6960 Ch. Mumford","Halifax","B3L 4P1","2085","6960 Ch. Mumford","Halifax","YES","Translation","YES","NO","YES","YES","NO","Pre-arrival services","POINT (-63.618048 44.646687)"
"Le Conseil de Développment Économique de la Nouvelle-Écosse","Not-for-Profit","Halifax","902-424-7230","902-422-2652","https://cdene.ns.ca/en/services/economic-immigration","902 - 1809 Barrington Street, CIBC Building","Halifax","B3J 3K8","902","1809 Barrington Street, CIBC Building","Halifax","NO","NO","YES","NO","Networking","YES","YES","NO","POINT (-63.574968 44.6489)"
"Learn English NS Testing and Counselling Centre Inc. (CLB language assessment)","Language Assessment Centre","Halifax","902-431-8879","902-431-8675","learnenglishns.org","201 - 6169 Quinpool Road","Halifax","B3L 4P8","201","6169 Quinpool Road","Halifax","YES","YES","NO","NO","NO","NO","YES","NO","POINT (-63.595321 44.645996)"
"New Voice Languages and Tutoring o/a Atlantic Canada Language Academy","Private Language School","Lunenburg","902-634-6111",,"https://studyatlantic.com/sseal-program-3/","PO Box 987","Lunenburg","B0J 2C0",,"97 Kaulbach Street","Lunenburg","NO","YES","YES","NO","NO","NO","YES","NO","POINT (-64.313079 44.37982)"
"Nova Scotia Community College (NSCC)","Post-Secondary Institution","Halifax","902-491-4661","902-491-4650","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ENGAP&pln=ENGAP","5685 Leeds Street","Halifax","B3K 2T3",,"5685 Leeds Street","Halifax","For those in the program","YES","NO","NO","For those in the program","NO","NO","NO","POINT (-63.612922 44.668857)"
