Branch Name,Website,Suite,Phone Number,Email,Monday Open,Monday Closed,Tuesday Open,Tuesday Closed,Wednesday Open,Wednesday Closed,Thursday Open,Thursday Closed,Friday Open,Friday Closed,Saturday Open,Saturday Closed,Sunday Open,Sunday Closed,Address,Location,Council Districts--Test,Dallas City Limits GIS Layer,Counties,Zip Codes,City Councils
Arcadia Park,http://dallaslibrary2.org/branch/arcadia.php,,214-670-6446,arcadiapark@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,1302 North Justin Ave.,"1302 North Justin Ave
Dallas, Texas 75211
(32.75724164100046, -96.91142079699966)",6,3,3162,18528,6
Dallas West,http://dallaslibrary2.org/branch/dallaswest.php,,214-670-6445,DallasWest@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,2332 Singleton Boulevard,"2332 Singleton Boulevard
Dallas, Texas 75212
(32.77865084700045, -96.8601404689997)",6,3,3162,18530,6
Highland Hills,http://dallaslibrary2.org/branch/highland.php,,214-670-0987,HighlandHills@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,3624 Simpson Stuart Road,"3624 Simpson Stuart Road
Dallas, Texas 75241
(32.67409044000044, -96.75999099899968)",8,3,3162,19757,8
Renner Frankford,http://dallaslibrary2.org/branch/renner.php,,214-670-6100,rennerfrankford@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,6400 Frankford Road,"6400 Frankford Road
Dallas, Texas 75252
(32.997840305000466, -96.7937701569997)",14,3,3110,18774,12
Skillman Southwestern,http://dallaslibrary2.org/branch/skillman.php,,214-670-6078,skillmansouthwestern@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,5707 Skillman Street,"5707 Skillman Street
Dallas, Texas 75206
(32.85726070300046, -96.75631060899968)",12,3,3162,20546,14
Martin Luther King,http://dallaslibrary2.org/branch/martin.php,,214-670-0344,martinlutherkingjr@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,2922 Martin Luther King Jr. Blvd.,"2922 Martin Luther King Jr Blvd
Dallas, Texas 75215
(32.770500753000476, -96.76685053599965)",7,3,3162,18541,7
Pleasant Grove,http://dallaslibrary2.org/branch/pleasant.php,,214-670-0965,pleasantgrove@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,7310 Lake June Road,"7310 Lake June Road
Dallas, Texas 75217
(32.734240732000444, -96.69562104899967)",5,3,3162,18921,5
White Rock Hills,http://dallaslibrary2.org/branch/whiterock.php,,214-670-8443,whiterockhills@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,9150 Ferguson Rd,"9150 Ferguson Rd
Dallas, Texas 75228
(32.81499711100048, -96.6940998019997)",7,3,3162,19361,7
Audelia Road,http://dallaslibrary2.org/branch/audelia.php,,214-670-1350,audeliaroad@dallaslibrary.org,,,10:00 AM,6:00 PM,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,10045 Audelia Road,"10045 Audelia Road
Dallas, Texas 75238
(32.88535104200048, -96.71795112899969)",9,3,3162,19752,10
Forest Green,http://dallaslibrary2.org/branch/forest.php,,214-670-1335,ForestGreen@dallaslibrary.org,,,10:00 AM,6:00 PM,11:00 AM,7:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,9015 Forest Lane,"9015 Forest Lane
Dallas, Texas 75243
(32.90924016100047, -96.74869056499966)",9,3,3162,19761,10
