"objectid","filenum","casenum","uofnum","occurred_dt","occurred_tm","current_badge_no","offage","offsex","offrace","hire_dt","rankattimeofincident","offroletype","off_injured","offcondtype","off_hospital","service_type","forcetype","uof_reason","cycles_num","forceeffective","street_n","street","street_g","street_t","matchaddress","geoaddress","origaddress","citnum","citrace","citsex","citage","cit_injured","citcondtype","cit_arrested","cit_infl_assmt","citchargetype","ra","beat","sector","division","district","point_x","point_y"
"16007","UF2019-1886","000059-2020","62821, 62822, 62823","2020-01-01T00:00:00.000","01:57 AM","9129","36","Male","Black","2007-05-30T00:00:00.000","Police Sergeant","Officer","No","No injuries noted or visible","No","Arrest","BD - Grabbed, Take Down - Arm, Verbal Command","Danger to self or others","NULL","Yes, Yes, No","700","Ervay","S","St.","700 S ERVAY ST, DALLAS, TX, 75201","700 S Ervay St.","700 S Ervay St.","61131","Black","Male","48","No","No injuries noted or visible","Yes","Mentally unstable","APOWW","2087","135","130","CENTRAL","2","2492318.792","6969703.437"
"18580","UF2020-0632","000291-2020","62850","2020-01-01T00:00:00.000","12:45 PM","6962","51","Male","White","1992-09-28T00:00:00.000","Police Senior Corporal","Officer","No","No injuries noted or visible","No","Arrest","Pressure Points","Arrest","NULL","Yes","323","Ave H","NULL","NULL","323 AVE H","323 Ave H","323 Ave H","61134","Hispanic","Male","17","No","No injuries noted or visible","Yes","Agitated","Assault/FV","4125","712","710","SOUTH CENTRAL","7","2493455.444","6958416.442"
"15985","UF2019-1857","000493-2020","63867","2020-01-01T00:00:00.000","06:24 PM","11030","46","Female","Black","2015-06-03T00:00:00.000","Police Officer","Officer","No","No injuries noted or visible","No","Service Call","Taser","Active Aggression","1","Yes","1628","Poplar","NULL","St.","1628 POPLAR ST","1628 Poplar St.","1628 Poplar St.","61132","Black","Male","24","Yes","Puncture","Yes","Agitated","Other Felony Arrest, Resisting Arrest","2177","344","340","SOUTHEAST","7","2501089.708","6961049.178"
"15771","UF2019-1731","000568-2020","62841, 62844","2020-01-01T00:00:00.000","11:00 PM","9231","35","Female","White","2007-09-05T00:00:00.000","Police Senior Corporal","Officer","No","No injuries noted or visible","No","Arrest","Verbal Command, BD - Grabbed","Arrest","NULL","No, Yes","9915","Northwest","E","Hwy.","9915 E NORTHWEST HWY, DALLAS, TX, 75238","9915 E Northwest Hwy.","9915 E Northwest Hwy.","61139","White","Female","35","No","No injuries noted or visible","Yes","Mentally unstable","Warrant/Hold, Resisting Arrest","6025","248","240","NORTHEAST","10","2516318.743","7001547.46"
"15772","UF2019-1731","000568-2020","62845, 63380","2020-01-01T00:00:00.000","11:00 PM","11475","32","Female","White","2018-02-21T00:00:00.000","Police Officer Trainee II","Officer","No","No injuries noted or visible","No","Arrest","Verbal Command, BD - Grabbed","Arrest","NULL","No, Yes","9915","Northwest","E","Hwy.","9915 E NORTHWEST HWY, DALLAS, TX, 75238","9915 E Northwest Hwy.","9915 E Northwest Hwy.","61139","White","Female","35","No","No injuries noted or visible","Yes","None detected","Resisting Arrest, Warrant/Hold","6025","248","240","NORTHEAST","10","2516318.743","7001547.46"
"18581","UF2020-0633","000484-2020","62829, 62830, 62831, 62832","2020-01-01T00:00:00.000","05:40 PM","9881","37","Male","White","2009-06-10T00:00:00.000","Police Senior Corporal","Officer","No","No injuries noted or visible","No","Service Call","Verbal Command, Held Suspect Down, Feet/Leg/Knee Strike, BD - Grabbed","Arrest","NULL","No, Yes, Yes, Yes","234","Riverfront","S","Blvd.","234 S RIVERFRONT BLVD, DALLAS, TX, 75207","234 S Riverfront Blvd.","234 S Riverfront Blvd.","61134","Hispanic","Male","17","No","No injuries noted or visible","Yes","Agitated","Assault/FV, Other Misdemeanor Arrest","2069","136","130","CENTRAL","2","2486908.147","6969194.241"
"23756","UF2020-1869","000019-2020","62833, 62834","2020-01-01T00:00:00.000","12:19 AM","10950","30","Male","Black","2014-12-03T00:00:00.000","Police Officer","Officer","No","No injuries noted or visible","No","Off-Duty Employment","Verbal Command, OC Spray","Crowd Disbursement","NULL","No, Yes","2600","Elm","NULL","St.","2600 ELM ST, DALLAS, TX, 75226","2600 Elm St.","2600 Elm St.","28898","Black","Female","NULL","No","No injuries noted or visible","No","Alchohol","No Arrest","2066","153","150","CENTRAL","2","2495084.842","6972488.4"
"23757","UF2020-1869","000019-2020","62833, 62834","2020-01-01T00:00:00.000","12:19 AM","10950","30","Male","Black","2014-12-03T00:00:00.000","Police Officer","Officer","No","No injuries noted or visible","No","Off-Duty Employment","Verbal Command, OC Spray","Crowd Disbursement","NULL","No, Yes","2600","Elm","NULL","St.","2600 ELM ST, DALLAS, TX, 75226","2600 Elm St.","2600 Elm St.","61135","White","Female","NULL","No","No injuries noted or visible","No","Alchohol","No Arrest","2066","153","150","CENTRAL","2","2495084.842","6972488.4"
"23758","UF2020-1869","000019-2020","62833, 62834","2020-01-01T00:00:00.000","12:19 AM","10950","30","Male","Black","2014-12-03T00:00:00.000","Police Officer","Officer","No","No injuries noted or visible","No","Off-Duty Employment","Verbal Command, OC Spray","Crowd Disbursement","NULL","No, Yes","2600","Elm","NULL","St.","2600 ELM ST, DALLAS, TX, 75226","2600 Elm St.","2600 Elm St.","61137","White","Male","NULL","No","No injuries noted or visible","No","Alchohol","No Arrest","2066","153","150","CENTRAL","2","2495084.842","6972488.4"
"15774","UF2019-1737","000802-2020","62897, 62898","2020-01-02T00:00:00.000","09:00 AM","8944","37","Male","Black","2006-09-27T00:00:00.000","Police Senior Corporal","Officer","No","No injuries noted or visible","No","Service Call","BD - Grabbed, BD - Pushed","Arrest","NULL","Yes, Yes","8117","I-30","W","Frwy.","8117 E R L THORNTON FWY WB, DALLAS, TX, 75228","8117 W R L THORNTON FWY.","8117 W I-30 Frwy.","30227","Black","Male","43","No","No injuries noted or visible","Yes","Unknown Drugs","Crim Trespass/Bldg/Prop, Resisting Arrest","1201","238","230","NORTHEAST","7","2521063.66","6976574.12"
