"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Caruth House","8000 Cornerstone Parkway",,"Home","did not see","1962.0","Medallion",,"POINT (-96.773995 32.860709)"
"La Reunion","Stevens Park Golf Course, Tee #6","on Hampton Road at intersection w/Old Orchard","Unclassified",,"1924.0","other","Site of the French Colony La Reunion, settled 1854. Placed by Jane Douglas Chapter, Daughters of the American Revolution.April 10, 1924",
"John C. McCoy","Oakland Cemetery","at very front of Oakland Cemetery, near entrance","Unclassified",,"1968.0","grave marker","John C. McCoy(1819 - 1887)Practiced law in Kentucky before coming to Texas in 1845. Was agent for Peters' Colony located in Dallas and adjacent counties. First attorney to practice law here. He founded bar association; fought in the Mexican War; was outstanding civic leader.",
"Beeman Memorial Cemetery","4600 Dolphin Rd.","4600 Dolphin Rd., Dallas","Cemetery","Good","1984.0","18 x 28","John (1799 - 1856) and Emily Hunnicutt (1806 - 1892) Beeman brought their family to Texas during its days as a Republic. About 1842 they gained clear title to 640 acres of land on which they established this family cemetery. One of the first known burials, that of Holland coffee Bryan, eleven-month-old son of their daughter Margaret and her husband, John Neely Bryan, took place in 1845. John and Emily are buried here, as are other family members and early neighbors. An important link in Dallas' history, the Beeman Memorial Cemetery contains more than 100 graves.1984","POINT (-96.737727 32.778144)"
"Buckner Log Cabin","Samuel Blvd. & Buckner","6 mi. east of downtown Dallas, at Samuel and Buckner (Loop 12) Blvds., Dallas","Cabin",,"1965.0","16 x 12 Medallion and Plate","Dr. R. C. Buckner was born in this Madisonville, Tenn., cabin, Jan. 3, 1833. He moved to Texas, 1859.In 1879, founded Buckner Home. Original quarters cared for 8 children. After his death, April 9, 1919, work continued under sons, Joe D. and Hal F., and grandson, Robert Cooke Buckner II.This rough-hewn, 2-story cabin was moved here from original site, 1912, by staff and friends. Children playing around it gave the name ""Tennessee House.""RTHL, 1965",
"Baptist Standard","2343 Lone Star Drive","2343 Lone Star Drive","Publication","good","1989.0","18 x 28","The history of this denominational publication dates to 1888, when Lewis Holland and John H. Boyet founded ""The Baptist News"" om Fannin County.  It moved to Dallas in 1889, and its name cnaged to ""The Baptist Standard"" in 1892 under the guidance of J.B. Cranfill.  The paper moved to Waco that year but returned to Dallas in 1898.  It came under the ownership of the Baptist General Convention of Texas in 1914.  Under the leadership of such editors as J.B. Gambrell, the publication has grown into the largest state paper in the Southern Baptist Convention.","POINT (-96.860558 32.768669)"
"James W. Latimer (Weck)","Pioneer Cemetery","north side of Dallas Convention Center on Ceremonial Drive","Unclassified",,"1968.0","grave marker","(1783 - 1860)Latimer was born in New London, Conn. Moved to Texas, with family, in 1833.Founder and editor first newspaper in Dallas, 1849. Known originally as ""The Cedar Snag"" then as ""Dallas Herald."" Incorporated into ""Dallas Morning News"" in 1885.Recorded, 1968",
"First Baptist Church of Renner","17463 davenport",,"Church",,"1982.0","16 x 12","To better serve a changing community, the congregation of the First Baptist Church of Renner purchased this property in December 1979 and moved its place of worship to this location. The church became Preston Highlands Baptist Church in April 1980, with the first building dedicated on October 12, 1980.","POINT (-96.793795 32.985941)"
"Dallas Depot of the H. & T. C.","Fair Park, Washington Dr.",,"Railroad",,"1979.0","Plate and Medallion","Dallas Depot of the H. & T. C.In July 1872 the Houston & Texas Central became the first railroad to reach Dallas. This frame depot was constructed for the H. & T. C. and the Texas & New Orleans in 1903, when both lines were part of the Southern Pacific System. Originally located on Eakin Street (1.25 mi. W), this structure served as a passenger station until 1918 and as yardmasters office until 1963. Threatened with demolition, it was then moved to this site.RTHL - 1979",
"John Jay Good",,"Pioneer Cemetery - Marilla at Young St.","Grave",,"1996.0","Grave Marker","(1827-1882)   Mississippi native John Jay Good practiced law in Alabama before moving to Dallas in 1851. He married Susan Anna Floyd in 1854. Good was involved in early local and state government and was a charter member of the local Odd Fellows' Lodge in 1855. He served the Confederacy in the Civil War as a colonel of an artillery regiment. Good later became a district judge and was elected as mayor of Dallas in 1880. (1996)","POINT (-96.796215 32.777977)"
"John Goodwin Tower",,"Sparkman Hillcrest Memorial Park, 7405 S. Northwest Highway","Unclassified",,"1999.0","18 x 28","(1925-1991)   The son of a Methodist minister, John Goodwin Tower was a veteran of World War II and a political science professor before entering politics. He joined the national political scene in 1960-1961 when he won the special election to fill Lyndon B. Johnson's U. S. Senate seat, becoming the first Republican senator from Texas since Reconstruction. Tower served in the Senate for 24 years, holding a number of influential committee assignments and chairmanships. He became the chief United States negotiator at the strategic arms reduction talks in Geneva after his retirement from the Senate in 1985. He later chaired the Tower Commission, which issued its report on the Iran-Contra Affair in 1987. Tower was serving as an advisor to President George Bush at the time of his death in an airplane crash. (1999)","POINT (-96.796215 32.777977)"
"St. Paul's Evangelical and Reformed Church","6464 E. Lover's Lane",,"Church",,"1989.0","27 x 42","Established on December 1, 1889, this congregation began with five charter members. Led by the Rev. H. Siegfried, the church was organized with the help of Fort Worth pastors Thomas L. Mueller and c.F. Bauman. The congregation was originally named St. Paul's German Evangelical Church and served a predominantly German-speaking membership.A German Presbyterian congregation already in existence in Dallas merged with St. Paul's, and the Presbyterian church building was moved to a site at the corner of Texas and Florence streets to serve the new congregation. The Rev. Mr. Siegfried was succeeded by the Rev. J. Jans in 1893. The Rev. Theophile Tanner led the congregation from 1895 to 1909, and he was succeeded by the Rev. Albert Romanowski, who served until 1935.A new sanctuary was built in 1912 to serve the growing congregation. Worship services were conducted solely in the German language until world War I. The name was changed to St. Paul's Evangelical and Reformed Church in 1934. This site was acquired in 1953, and a new sanctuary was completed in 1957.Instrumental in establishing new congregations in the area, St. Paul's continues to serve the community.","POINT (-96.749356 32.85202)"
"Site of Scyene Meeting Place","9500 blk. of Scyene Rd.","at Belle Starr Dr.","Government Building","Faded; Refinish","1976.0","18 x 28","In the 1840s, settlers held public meetings under a tree at this site. Beginning in the 1850s, several successive 2-story frame buildings stood here and housed Masonic Lodge, church, elections, and social activities. Scyene Meeting Place housed one of the first public school sessions in Dallas County. In her girlhood, outlaw Belle Starr was a pupil in that school. In 1872, Texas & Pacific Railroad bypassed Scyene and the town dwindled. Yet the Woodmen of the World and other groups continued to meet in the community building, and school was held here until 1927.Bicentennial project donated by Mesquite Historical and Genealogical Society","POINT (-96.659665 32.76327)"
"Higginbotham - Bailey Building","900 Jackson St.",,"Commmercial Building",,"1984.0","Medallion and Plate","Designed by noted Dallas architectural firm of Lang and Witchell, this building was constructed to house the dry goods manufacturing and distributing business of the Higginbothham - Bailey - Logan Co. (known as Higginbotham - Bailey after 1945). The western section was completed in 1914, and additional sections were constructed in 1917 and 1923. The building features a simplified Renaissance Revival architectural style with geometrically-detailed corner towers.RTHL 1984","POINT (-96.803426 32.778211)"
"Juliette Abbey Peak Fowler","Pioneer Cemetery","north side of dallas Convention Center, Ceremonial Dr.","Unclassified",,"1986.0","gravemarker","Juliette Abbey Peak Fowler(May 8, 1837 - June 4, 1889)After the deaths of her husband and children in the early 1860s, Juliette Peak Fowler lived in Dallas and was active in local charitable causes. Committed to orphans and elderly women during her life, she provided for their benevolent care in her will. Under the direction of her sister, Sarah Peak Harwood, the Juliette Fowler Homes began in 1892. Transferred to the Disciples of Christ Church in 1903, the homes continue to reflect the goals and ideas of their founder.",
"Merrell Cemetery","4000 blk. of Merrell Rd.",,"Cemetery",,"1985.0","27 x 42","Elder Eli Merrell (1787 - 1849), minister of the Disciples of Christ Church, came with his wife, Mary, in 1844, to settle 640 acres near Bachman's Branch in what was then Nacogdoches County. This cemetery is on a part of his acreage, and his was the first marked grave at this site.The Merrell Cemetery originally served pioneers from the surrounding area. Numerous prominent citizens and members of the historic Peters Colony are among those buried here.William Strait (1806-86) and his wife, Mourning (1806-77), came to Dallas County in 1853. Many of their family members remained in the area, serving the community in various positions. Strait's sons, William, Enoch, and Bennett, served with Merrell's sons, George and John, in the 19th Cavalry during the Civil War. Enoch Strait (1834 - 1917) served as Dallas County Commissioner and William Strait's grandson, Elmo (1876 - 1922), became the Chief of Police for the city of Dallas.Members of the cemetery association, which was organized in 1965, include many descendants of pioneer settlers.","POINT (-96.844971 32.887679)"
"Union Station","400 S. Houston St.",,"Railroad","Faded; redo (locally)","1979.0","Medallion & Plate","By the early 1900s, Dallas needed a single rail terminal for the numerous railroads serving the city. In 1912 seven rail lines formed the Union Terminal Co. They hired Chicago architect Jarvis Hunt, who designed this neo-classical building with an elegant grand hall on the second floor. The facility officially opened Oct. 14, 1916, at the start of the state Fair. A Dallas landmark, Union Station was a center of community life during the peak years of train travel.RTHL - 1979","POINT (-96.807075 32.776323)"
"Ambassador (Park) Hotel","1312 S. Ervay","1312 S. Ervay, corner of St. Paul","Hotel","good","1965.0","Medallion and Plate","Built in 1905 as city's first suburban luxury hotel. By first public park.  In 1955 became first retirement hotel.Recorded Texas Historical Landmark -- 1965","POINT (-96.791076 32.77273)"
