"objectid","filenum","uofnum","address","occurred_d","occurred_t","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","forcetype","uof_reason","cycles_num","forceeffec","street_n","street","street_g","street_t","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","ra","beat","sector","division","dist_name","taag_name","x","y","geolocation"
"609","UF2016-1185","37702","211 N ERVAY ST","2016-09-03T00:00:00.000","4:14:00 AM","10810","Male","Black","2014-05-07T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Hand/Arm/Elbow Strike","Arrest","NULL"," Yes","211","Ervay","N","St.","46424","Black","Female","Yes"," Non-Visible Injury/Pain","Yes","Mentally unstable"," APOWW","2062","134","130","CENTRAL","D14"," ",,,"211 N ERVAY ST
Dallas, TX 
(32.782205, -96.797461)"
"1705","UF2016-0418","33413","7647 FERGUSON RD","2016-03-22T00:00:00.000","11:00:00 PM","7706","Male","White","1999-01-08T00:00:00.000","Yes"," Sprain/Strain","Yes","Arrest"," Joint Locks","Arrest","NULL"," Yes","7647","Ferguson","NULL","Rd.","44324","Hispanic","Male","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","1197","237","230","NORTHEAST","D9","Ferguson Highland*",,,"7647 FERGUSON RD
Dallas, TX 
(32.798978, -96.717493)"
"1239","UF2016-0616","34567","716 BIMEBELLA LN","2016-05-22T00:00:00.000","1:29:00 PM","11014","Male","Black","2015-05-20T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Take Down - Group","Arrest","NULL"," Yes","716","bimebella dr","NULL","Ln.","45126","Hispanic","Male","No"," No injuries noted or visible","Yes","Unknown"," APOWW","4153","432","430","SOUTHWEST","D6"," ",,,"716 BIMEBELLA LN
Dallas, TX 
(32.73971, -96.92519)"
"2320","UF2016-1349","31460","5600 L B J FWY","2016-01-10T00:00:00.000","8:55:00 PM","6692","Male","Black","1991-07-29T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," K-9 Deployment","Arrest","NULL"," Yes","5600","LBJ","NULL","Frwy.","43150","Hispanic","Male","Yes"," Laceration/Cut","Yes","FD-Unknown if Armed"," Evading Arrest","4523","641","640","NORTH CENTRAL","D11"," ",,,"5600 L B J FWY
Dallas, TX "
"221","UF2016-1303"," 37879, 37898","4600 S MALCOLM X BLVD","2016-11-08T00:00:00.000","2:30:00 AM","9844","Male","White","2009-10-04T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Verbal Command, Take Down - Arm","Arrest","NULL"," No, Yes","4600","Malcolm X","S","Blvd.","47307","Black","Male","No"," No injuries noted or visible","Yes","Unknown"," Other Misdemeanor Arrest","2167","346","340","SOUTHEAST","D7","Hatcher Scyene*",,,"4600 S MALCOLM X BLVD
Dallas, TX "
"549","UF2016-1084","36724","1234 PEAVY RD","2016-09-11T00:00:00.000","7:20:00 PM","9855","Male","White","2009-06-10T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Hand Controlled Escort","Arrest","NULL"," Yes","1234","Peavy","NULL","Rd.","46549","White","Female","No"," No injuries noted or visible","Yes","Unknown"," Assault/FV","1134","235","230","NORTHEAST","D9"," ",,,"1234 PEAVY RD
Dallas, TX 
(32.837527, -96.695566)"
"133","UF2016-1475","38441","511 N AKARD ST","2016-11-26T00:00:00.000","9:00:00 PM","9881","Male","White","2009-06-10T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Weapon display at Person","Arrest","NULL"," Yes","511","Akard","N","St.","47555","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Assault","2049","132","130","CENTRAL","D14"," ",,,"511 N AKARD ST
Dallas, TX 
(32.784328, -96.800631)"
"1761","UF2016-0334","33133","4709 LUCKY LN","2016-03-16T00:00:00.000","8:00:00 PM","9058","Female","Black","2007-07-04T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Held Suspect Down","Arrest","NULL"," Yes","4709","Lucky","NULL","Ln.","44172","White","Female","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","3122","515","510","NORTHWEST","D6"," ",,,"4709 LUCKY LN
Dallas, TX 
(32.803725, -96.874258)"
"2014","UF2016-0216","33989","300 S LAMAR ST","2016-02-17T00:00:00.000","9:25:00 PM","10381","Male","Hispanic","2012-05-09T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," BD - Grabbed","Danger to self or others","NULL"," Yes","300","Lamar","S","St.","43723","Black","Female","Yes"," Abrasion/Scrape","Yes","Mentally unstable"," APOWW","2072","133","130","CENTRAL","D14"," ",,,"300 S LAMAR ST
Dallas, TX 
(32.778107, -96.803839)"
"19","UF2016-1499"," 38840, 38841","18600 DALLAS NORTH TOLLWAY","2016-12-24T00:00:00.000","8:55:00 AM","9705","Male","White","2009-01-07T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Held Suspect Down, Hand Controlled Escort","Arrest","NULL"," Yes, Yes","18600","Dallas N","NULL","Pkwy.","47889","White","Female","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," APOWW","4403","614","610","NORTH CENTRAL","D12"," ",,,"18600 DALLAS NORTH TOLLWAY
Dallas, TX "
"22","UF2017-063"," 38816, 38817","9500 POPPY DR","2016-12-23T00:00:00.000","1:45:00 AM","10066","Male","White","2009-11-11T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Held Suspect Down, Leg Restraint System","Arrest","NULL"," Yes, Yes","9940","Poppy Drive","NULL","Dr.","47871","Black","Female","No"," No injuries noted or visible","Yes","Marijuana"," Assault/FV","6018","235","230","NORTHEAST","D9"," ",,,"9500 POPPY DR
Dallas, TX "
"23","UF2017-063"," 38818, 38819","9500 POPPY DR","2016-12-23T00:00:00.000","1:45:00 AM","10224","Male","White","2010-08-18T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Held Suspect Down, Leg Restraint System","Arrest","NULL"," Yes, Yes","9940","Poppy Drive","NULL","Dr.","47871","Black","Female","No"," No injuries noted or visible","Yes","Marijuana"," Assault/FV","6018","235","230","NORTHEAST","D9"," ",,,"9500 POPPY DR
Dallas, TX "
"222","UF2016-1303"," 37890, 37891, 37892","4600 S MALCOLM X BLVD","2016-11-08T00:00:00.000","2:30:00 AM","9626","Male","American Ind","2008-09-17T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," Verbal Command, Take Down - Arm, Held Suspect Down","Arrest","NULL"," No, Yes, Yes","4600","MALCOLM X","S","Blvd.","47307","Black","Male","No"," No injuries noted or visible","Yes","Unknown Drugs"," Other Misdemeanor Arrest","2167","346","340","SOUTHEAST","D7","Hatcher Scyene*",,,"4600 S MALCOLM X BLVD
Dallas, TX "
"283","UF2016-1265"," 37656, 37657","10100 L B J FWY","2016-10-23T00:00:00.000","6:00:00 PM","10355","Male","White","2012-05-09T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," BD - Pushed, BD - Tripped","Arrest","NULL"," Yes, Yes","10100","LBJ","W","Frwy.","47130","Hispanic","Male","No"," No injuries noted or visible","Yes","Alchohol"," DWI, Resisting Search and Transport, Resisting Arrest, Other Felony Arrest","1055","246","240","NORTHEAST","D10"," ",,,"10100 L B J FWY
Dallas, TX "
"284","UF2016-1265"," 37685, 37686, 37687","10100 L B J FWY","2016-10-23T00:00:00.000","6:00:00 PM","10334","Male","Hispanic","2012-03-28T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Held Suspect Down, Held Suspect Down, Joint Locks","Detention/Frisk","NULL"," Yes, Yes, Yes","10100","LBJ Service","E","Hwy.","47130","Hispanic","Male","No"," No injuries noted or visible","Yes","Alchohol"," DWI, Resisting Search and Transport, Other Felony Arrest","1055","246","240","NORTHEAST","D10"," ",,,"10100 L B J FWY
Dallas, TX "
"310","UF2016-1192","37532","9400 L B J FWY","2016-10-18T00:00:00.000","6:30:00 PM","9215","Male","Black","2007-09-05T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," Weapon display at Person","Detention/Frisk","NULL"," Yes","9400","LBJ","NULL","Frwy.","47025","Hispanic","Male","No"," No injuries noted or visible","No","None detected"," No Arrest","1030","252","250","NORTHEAST","D10","Greenville LBJ*",,,"9400 L B J FWY
Dallas, TX "
"348","UF2016-1293"," 37408, 37409","6897 VALLEY GLEN DR","2016-10-12T00:00:00.000","2:30:00 AM","8517","Female","White","2004-06-04T00:00:00.000","No"," No injuries noted or visible","No","Suspicious Activity"," Weapon display at Person, Verbal Command","Arrest","NULL"," Yes, Yes","6897","VALLEY GLEN","NULL","Dr.","46943","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Other Misdemeanor Arrest","1197","237","230","NORTHEAST","D9"," ",,,"6897 VALLEY GLEN DR
Dallas, TX "
"362","UF2016-1188"," 37378, 37379","2486 MAPLE ROUTH CONN","2016-10-10T00:00:00.000","1:30:00 AM","10701","Male","Black","2013-11-06T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Verbal Command, Weapon display at Person","Arrest","NULL"," Yes, Yes","2486","maple/routh connection","NULL","NULL","46908","Hispanic","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," DWI, Other Misdemeanor Arrest, Drug Possession - Misdemeanor","2020","121","120","CENTRAL","D14","McKinney Allen*",,,"2486 MAPLE ROUTH CONN
Dallas, TX "
"582","UF2016-1223","36725","8630 FIRESIDE DR","2016-09-07T00:00:00.000","6:00:00 PM","10372","Male","Black","2012-05-09T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," Handcuffing Take Down","Arrest","NULL"," Yes","8630","Fireside","NULL","Dr.","46551","White","Female","Yes"," Abrasion/Scrape","Yes","Mentally unstable"," APOWW","2222","354","350","SOUTHEAST","D8"," ",,,"8630 FIRESIDE DR
Dallas, TX 
(32.697895, -96.670834)"
"374","UF2016-1309"," 37309, 37310","9200 L B J FWY","2016-10-08T00:00:00.000","4:00:00 AM","10130","Male","White","2010-03-03T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Verbal Command, Weapon display at Person","Arrest","NULL"," No, No","9200","LBJ Service Rd","W","Frwy.","46888","White","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold","1030","252","250","NORTHEAST","D10","Greenville LBJ*",,,"9200 L B J FWY
Dallas, TX "
"375","UF2016-1309","37311","9200 L B J FWY","2016-10-08T00:00:00.000","4:00:00 AM","10870","Male","White","2014-08-13T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop"," Weapon display at Person","Arrest","NULL"," Yes","9200","LBJ Service Rd","W","Frwy.","46888","White","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold","1030","252","250","NORTHEAST","D10","Greenville LBJ*",,,"9200 L B J FWY
Dallas, TX "
"400","UF2016-1242"," 37231, 37232, 37233","4300 S MALCOLM X BLVD","2016-10-03T00:00:00.000","9:00:00 PM","10503","Male","White","2013-04-10T00:00:00.000","No"," No injuries noted or visible","No","Traffic Stop"," Verbal Command, Weapon display at Person, BD - Pushed","Weapon Display","NULL"," No, No, Yes","4300","Malcolm X","S","Blvd.","46862","Black","Male","Yes"," Abrasion/Scrape, Treated by DFD","Yes","Unknown"," Evading Arrest, Warrant/Hold, Other Misdemeanor Arrest","2165","346","340","SOUTHEAST","D7","Hatcher Scyene*",,,"4300 S MALCOLM X BLVD
Dallas, TX "
"489","UF2016-1156"," 36980, 36981, 36982","3315 PARROT ST","2016-09-23T00:00:00.000","6:50:00 PM","11028","Male","White","2015-06-03T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," Taser, Held Suspect Down, Weapon display at Person","Weapon Display","1"," Yes, Yes, Yes","3115","PARROTT","NULL","St.","46705","Black","Male","Yes"," Taser Burn Marks","Yes","FD-Suspect w/ Other Weapon"," Assault, Assault/Public Servant","4225","728","720","SOUTH CENTRAL","D4"," ",,,"3315 PARROT ST
Dallas, TX "
"495","UF2016-1120"," 36941, 36942","900 WOOD ST","2016-09-21T00:00:00.000","4:32:00 PM","10724","Male","White","2014-01-29T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," Verbal Command, Pressure Points","Other","NULL"," No, Yes","900","Wood","NULL","St.","46678","Black","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication, Fail to ID","2072","133","130","CENTRAL","D2"," ",,,"900 WOOD ST
Dallas, TX "
