"date","agenda_item_number","item_type","district","title","voter_name","vote","final_action_taken","agenda_item_description","agenda_id","vote_id"
"2022-08-10T00:00:00.000","Z7","AGENDA","1","Councilmember","Chad West","YES","APPROVED","A public hearing to receive comments regarding an application for and an ordinance granting a NS(A) Neighborhood Service District and a resolution accepting the deed restrictions volunteered by the applicant, to prohibit massage establishments, tattoo studios, and piercing establishments on property zoned R-7.5(A) Single Family District, on the south line of Elam Road, west of Buttercup Lane [in lieu of a CR Community Retail District]","081022_AG_Z7","081022_AG_Z7_1"
"2022-08-10T00:00:00.000","7","AGENDA","15","Mayor","Eric Johnson","N/A","DELETED","An ordinance amending Chapter 13, �Courts, Fines and Imprisonments,� of the Dallas City Code by amending Section 13-10 by (1) authorizing the city marshal and his or her deputies to enforce the city �s provisions regarding  standing  or  Walking  on  medians  contained  Section  28-61.1 of the Dallas City Code and the city�s solicitation provisions contained in Section 28-63.3 of the Dallas City Code; (2) providing a saving clause; (3) providing a severability clause; and (4) providing an effective date - Financing: No cost consideration to the City","081022_AG_7","081022_AG_7_15"
"2022-08-10T00:00:00.000","Z6","AGENDA","3","Councilmember","Casey Thomas II","YES","DEFERRED TO 9/14/22","A public hearing to receive comments regarding an application for and an ordinance granting a Specific Use Permit for an open-enrollment charter school on property zoned CR Community Retail, on the north corner of Lancaster Road and East Kiest Boulevard","081022_AG_Z6","081022_AG_Z6_3"
"2022-08-10T00:00:00.000","PH4","AGENDA","8","Councilmember","Tennell Atkins","YES","APPROVED","A public hearing to receive comments amending chapter 15D, �Emergency Vehicles,� of the Dallas City Code by amending Sections 15D-15, 15D-16, 15D-17, 15D-21, 15D-22, 15D-50, 15D-52, 15D-53,15D-55, and 15D-56; (1) providing a definition of dispatcher; (2) clarifying language concerning emergency wrecker service; (3) providing a penalty not to exceed $1,000.00; (4) providing a saving clause; (5) providing a severability clause; and (6) providing an effective date - Financing: No cost consideration to the City (see Fiscal Information)","081022_AG_PH4","081022_AG_PH4_8"
"2022-08-10T00:00:00.000","PH2","AGENDA","12","Councilmember","Cara Mendelsohn","ABSNT","APPROVED","A public hearing to receive comments regarding consideration of an ordinance amending the definitions of bedroom, kitchen and bathroom in the Dallas Development Code","081022_AG_PH2","081022_AG_PH2_12"
"2022-08-10T00:00:00.000","29","AGENDA","4","Mayor Pro Tem","Carolyn King  Arnold","YES","APPROVED","Authorize a public hearing to be held on August 24, 2022, to receive comments concerning: (1) the proposed levy of assessment for the North Lake Highlands Public Improvement District�s (the �District�) in accordance with Chapter 372, Texas Local Government Code, for the purpose of providing supplemental public services to be funded by special assessments on property in the District; and, at the close of the public hearing (2) consider approval of an ordinance (a) levying a special assessment on property in the District for services and improvements to be provided during 2023; (b) fixing charges and liens against the property in the District and against the property owners thereof; (c) providing for the collection of the 2022 assessment; (d) requiring City staff to, not later than seven days after City Council�s approval of the ordinance and service plan, file a copy of the approved service plan with the Dallas county clerk; and (e) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)","081022_AG_29","081022_AG_29_4"
"2022-08-10T00:00:00.000","Z1","AGENDA","9","Councilmember","Paula Blackmon","YES","AMENDED","A public hearing to receive comments regarding an application for and an ordinance granting a Planned Development District for MF-2(A) Multifamily District uses on property zoned an NC Neighborhood Commercial Subdistrict within Planned Development District No. 595, the South Dallas/Fair Park Special Purpose District, on the east line of Bexar Street, between Valentine Street and Silkwood Street","081022_AG_Z1","081022_AG_Z1_9"
"2022-08-10T00:00:00.000","PH4","AGENDA","7","Councilmember","Adam Bazaldua","YES","APPROVED","A public hearing to receive comments amending chapter 15D, �Emergency Vehicles,� of the Dallas City Code by amending Sections 15D-15, 15D-16, 15D-17, 15D-21, 15D-22, 15D-50, 15D-52, 15D-53,15D-55, and 15D-56; (1) providing a definition of dispatcher; (2) clarifying language concerning emergency wrecker service; (3) providing a penalty not to exceed $1,000.00; (4) providing a saving clause; (5) providing a severability clause; and (6) providing an effective date - Financing: No cost consideration to the City (see Fiscal Information)","081022_AG_PH4","081022_AG_PH4_7"
"2022-08-10T00:00:00.000","21","AGENDA","5","Councilmember","Jaime Resendez","YES","APPROVED","Authorize (1) Supplemental Agreement No. 1 to exercise the five-year renewal option, for the maintenance and support contract with Ericsson, Inc. for the continuation of the Advanced Traffic Management System for synchronization of signal operations and signal management for a five-year period; and (2) an increase in the service contract amount in an amount not to exceed $4,869,753.16, from $3,523,537.71 to $8,393,290.87 - Not to exceed $4,869,753.16 - Financing: Coronavirus State and Local Fiscal Recovery Funds ($889,649.60) and Street and Transportation (A) Fund (2017 General Obligation Bond Fund) ($3,980,103.56)","081022_AG_21","081022_AG_21_5"
"2022-08-10T00:00:00.000","36","AGENDA","5","Councilmember","Jaime Resendez","N/A","DELETED","Authorize approval of fifteen nominees to serve as board members for the City of Dallas Economic Development Corporation -  Financing: No cost consideration to the City","081022_AG_36","081022_AG_36_5"
