"objectid","filenum","uofnum","occurred_d","occurred_t","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","forcetype","uof_reason","cycles_num","forceeffec","street_n","street","street_g","street_t","address","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","ra","beat","sector","division","dist_name","taag_name","x","y","geocoded_column"
,"UF2018-1258","52758","2018-10-15T00:00:00.000",,"10994.00000000000","Male","White","2015-03-25T00:00:00.000","No","No injuries noted or visible","No","Arrest","Take Down - Arm","Arrest","NULL","Yes","100.00000000000","Beltline","S","Rd.","100 S Beltline Rd.","56214.00000000000","Black","Female","No","No injuries noted or visible","Yes","Agitated","APOWW",,,,,,,,,"POINT (-96.993732 32.814825)"
,"UF2018-1327","53084","2018-11-10T00:00:00.000",,"11159.00000000000","Male","Hispanic","2016-03-23T00:00:00.000","No","No injuries noted or visible","No","Arrest","Joint Locks","Arrest","NULL","Yes","9501.00000000000","Brockbank","NULL","Dr.","9501 Brockbank Dr.","56491.00000000000","Hispanic","Male","Yes","Abrasion/Scrape","Yes","Alchohol","Assault/FV","3058","537","530","NORTHWEST",,,,,"POINT (-96.873552 32.864076)"
,"UF2018-0310","48859","2018-03-29T00:00:00.000",,"7080.00000000000","Male","White","1994-07-13T00:00:00.000","Yes","Abrasion/Scrape","No","Off-Duty Employment","OC Spray","Arrest","NULL","Yes","11821.00000000000","Plano Rd","NULL","NULL","11821 Plano Rd","0.00000000000","Hispanic","Male","No","OC Spray Treatment","Yes","None detected","Crim Trespass/Bldg/Prop","9608","258","250","NORTHEAST",,,,,
,"UF2018-0968","50846","2018-07-05T00:00:00.000",,"9912.00000000000","Male","White","2009-07-08T00:00:00.000","No","No injuries noted or visible","No","Arrest","Weapon display at Person","Weapon Display","NULL","Yes","13739.00000000000","Central","N","Expwy.","13739 N Central Expwy.","55118.00000000000","Black","Male","No","No injuries noted or visible","No","Unknown","No Arrest","4522","644","640","NORTH CENTRAL",,,,,
,"UF2018-1714","49828","2018-05-17T00:00:00.000",,"11128.00000000000","Male","White","2016-01-13T00:00:00.000","No","No injuries noted or visible","No","Service Call","Taser","Active Aggression","1","Yes","3306.00000000000","Al Lipscomb","NULL","Way","3306 Al Lipscomb Way","31897.00000000000","Black","Male","Yes","Taser Burn Marks","No","Alchohol and unknown drugs","No Arrest","2097","343","340","SOUTHEAST",,,,,
,"UF2018-1733","54240","2018-12-20T00:00:00.000",,"8892.00000000000","Male","Black","2006-08-11T00:00:00.000","Yes","Abrasion/Scrape, Elevated Heart Rate","No","Off-Duty Incident","Take Down - Body","Arrest","NULL","Yes","18855.00000000000","IH 635","NULL","Frwy.","18855 IH 635 Frwy.","57039.00000000000","Hispanic","Male","Yes","Non-Visible Injury/Pain","Yes","None detected","Robbery","O/T","O/T","O/T","O/T",,,,,
,"UF2019-0161","53945","2018-12-18T00:00:00.000",,"10400.00000000000","Male","White","2012-06-20T00:00:00.000","No","No injuries noted or visible","No","Service Call","Foot Pursuit","Arrest","NULL","Yes","9200.00000000000","John Carpenter","NULL","Frwy.","9200 John Carpenter Frwy.","56916.00000000000","Hispanic","Male","No","Injury Not Related to Force","Yes","Unknown","Unauthorize Use Vehicle, Evading Arrest","3098","512","510","NORTHWEST",,,,,
,"UF2018-0610","50014, 50015, 50016","2018-05-29T00:00:00.000",,"11223.00000000000","Male","White","2016-09-21T00:00:00.000","No","No injuries noted or visible","No","Arrest","Take Down - Body, Verbal Command, Held Suspect Down","Detention/Frisk","NULL","Yes, No, Yes","400.00000000000","Olive","NULL","St.","400 Olive St.","54638.00000000000","White","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Resisting Arrest, Drug Possession - Felony, Theft, Drug Possession - Misdemeanor, Public Intoxication","2051","132","130","CENTRAL",,,,,"POINT (-98.69871100000002 33.81486)"
,"UF2018-1597","52837, 52838, 52839","2018-08-23T00:00:00.000",,"10634.00000000000","Male","Hispanic","2013-08-14T00:00:00.000","No","No injuries noted or visible","No","Suspicious Activity","Verbal Command, Take Down - Arm, Take Down - Arm","Arrest","NULL","No, Yes, Yes","3900.00000000000","Holmes","NULL","St.","3900 Holmes St.","55698.00000000000","Hispanic","Male","Yes","Abrasion/Scrape","Yes","NULL","Resisting Arrest, Fail to ID, Warrant/Hold, Drug Possession - Felony","2177","344","340","SOUTHEAST",,,,,"POINT (-96.769411 32.753087)"
,"UF2018-1487","52911, 52912, 52913","2018-10-28T00:00:00.000",,"10767.00000000000","Male","White","2014-03-12T00:00:00.000","No","No injuries noted or visible","No","Arrest","Taser Display at Person, Verbal Command, BD - Grabbed","Arrest","NULL","Yes, Yes, Yes","2605.00000000000","John West","NULL","Rd.","2605 John West Rd.","56341.00000000000","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Assault/FV, Warrant/Hold, Drug Possession - Felony","1180","224","220","NORTHEAST",,,,,"POINT (-96.671303 32.807096)"
,"UF2018-0651","50238, 50239, 50240","2018-06-09T00:00:00.000",,"10697.00000000000","Male","Hispanic","2013-11-06T00:00:00.000","No","No injuries noted or visible","No","Arrest","Take Down - Group, Held Suspect Down, Verbal Command","Arrest","NULL","No, Yes, No","1100.00000000000","Cadiz","NULL","St.","1100 Cadiz St.","54780.00000000000","Black","Female","No","OC Spray Treatment","Yes","Mentally unstable","Assault/FV, Resisting Arrest","2104","151","150","CENTRAL",,,,,"POINT (-96.798397 32.771981)"
,"UF2018-1248","52463","2018-09-28T00:00:00.000",,"9502.00000000000","Male","Hispanic","2008-06-25T00:00:00.000","No","No injuries noted or visible","No","Arrest","Held Suspect Down","Active Aggression","NULL","Yes","12921.00000000000","Jupiter","NULL","Rd.","12921 Jupiter Rd.","33652.00000000000","Black","Male","No","No injuries noted or visible","Yes","Mentally unstable","APOWW","9610","231","230","NORTHEAST",,,,,"POINT (-96.68318 32.871828)"
,"UF2018-0489","49116","2018-04-11T00:00:00.000",,"10507.00000000000","Male","White","2013-04-10T00:00:00.000","No","No injuries noted or visible","No","Call for Cover","BD - Pushed","Detention/Frisk","NULL","Yes","3300.00000000000","MnKinnon","NULL","St.","3300 MnKinnon St.","54142.00000000000","White","Female","No","No injuries noted or visible","No","FD-Unknown if Armed","No Arrest","3126","123","120","CENTRAL",,,,,
,"UF2018-0704","50532, 50533, 50534","2018-06-21T00:00:00.000",,"10767.00000000000","Male","White","2014-03-12T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Held Suspect Down, BD - Grabbed","Danger to self or others","NULL","No, Yes, Yes","9440.00000000000","Poppy","NULL","Dr.","9440 Poppy Dr.","54955.00000000000","Hispanic","Male","No","Injured prior to contact","Yes","Mentally unstable","APOWW","6018","235","230","NORTHEAST",,,,,"POINT (-96.705001 32.835521)"
,"UF2018-0114","48091","2018-02-17T00:00:00.000",,"10504.00000000000","Male","White","2013-04-10T00:00:00.000","No","No injuries noted or visible","No","Arrest","Handcuffing Take Down","Danger to self or others","NULL","Yes","18081.00000000000","MIDWAY","NULL","Rd.","18081 MIDWAY Rd.","53537.00000000000","White","Female","No","No injuries noted or visible","Yes","Mentally unstable","APOWW","6059","613","610","NORTH CENTRAL",,,,,"POINT (-96.84388 32.994791)"
,"UF2018-0207","48407, 48408, 48409, 48410, 48411, 48412","2018-03-10T00:00:00.000",,"10273.00000000000","Male","White","2010-09-29T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, BD - Tripped, Verbal Command, Joint Locks, Take Down - Body, Held Suspect Down","Arrest","NULL","No, Yes, Yes, Yes, Yes, Yes","1835.00000000000","hawley","NULL","Ln.","1835 hawley Ln.","53696.00000000000","Hispanic","Male","No","No injuries noted or visible","No","None detected","No Arrest",,,,,,,,,
,"UF2018-1479","53833, 53834, 53835, 53836, 53837","2018-12-15T00:00:00.000",,"11225.00000000000","Male","White","2016-09-21T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Joint Locks, Joint Locks, Held Suspect Down, Take Down - Arm","Arrest","NULL","No, Yes, Yes, Yes, Yes","3109.00000000000","Chapel Creek","NULL","Dr.","3109 Chapel Creek Dr.","56855.00000000000","White","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Crim Trespass/Bldg/Prop, Public Intoxication","4552","536","530","NORTHWEST",,,,,"POINT (-96.869253 32.872228)"
,"UF2018-1428","53558","2018-12-03T00:00:00.000",,"11144.00000000000","Male","White","2016-02-24T00:00:00.000","No","No injuries noted or visible","No","Arrest","Foot Pursuit","Arrest","NULL","Yes","4900.00000000000","Jerome","NULL","St.","4900 Jerome St.","56723.00000000000","Black","Male","No","No injuries noted or visible","Yes","Marijuana","Evading Arrest, Drug Possession - Misdemeanor, Man/Del/Dangerous Drug",,,,,,,,,
,"UF2018-0195","47937, 47938","2018-02-11T00:00:00.000",,"10918.00000000000","Male","White","2014-10-22T00:00:00.000","No","No injuries noted or visible","No","Service Call","Verbal Command, BD - Grabbed","Detention/Frisk","NULL","Yes, Yes","5225.00000000000","Verde Valley","NULL","Ln.","5225 Verde Valley Ln.","53432.00000000000","Hispanic","Male","No","No injuries noted or visible","Yes","Alchohol","Assault/FV","1008","631","630","NORTH CENTRAL",,,,,"POINT (-96.8186 32.948743)"
,"UF2018-0084","47973","2018-02-09T00:00:00.000",,"9597.00000000000","Male","Black","2008-09-17T00:00:00.000","No","No injuries noted or visible","No","Service Call","Joint Locks","Detention/Frisk","NULL","Yes","3001.00000000000","CLYDEDALE","NULL","Dr.","3001 CLYDEDALE Dr.","53448.00000000000","Black","Male","No","Non-Visible Injury/Pain","Yes","Unknown","Warrant/Hold, Fail to ID, Man/Del/Dangerous Drug","3058","537","530","NORTHWEST",,,,,"POINT (-96.873968 32.861297)"
