"branch_name","website","suite","phone_number","email","monday_open","monday_closed","tuesday_open","tuesday_closed","wednesday_open","wednesday_closed","thursday_open","thursday_closed","friday_open","friday_closed","saturday_open","saturday_closed","sunday_open","sunday_closed","location","address"
"Arcadia Park","http://dallaslibrary2.org/branch/arcadia.php",,"214-670-6446","arcadiapark@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"1302 North Justin Ave
Dallas, Texas 75211
(32.75724164100046, -96.91142079699966)","1302 North Justin Ave."
"Dallas West","http://dallaslibrary2.org/branch/dallaswest.php",,"214-670-6445","DallasWest@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"2332 Singleton Boulevard
Dallas, Texas 75212
(32.77865084700045, -96.8601404689997)","2332 Singleton Boulevard"
"Highland Hills","http://dallaslibrary2.org/branch/highland.php",,"214-670-0987","HighlandHills@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"3624 Simpson Stuart Road
Dallas, Texas 75241
(32.67409044000044, -96.75999099899968)","3624 Simpson Stuart Road"
"Renner Frankford","http://dallaslibrary2.org/branch/renner.php",,"214-670-6100","rennerfrankford@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"6400 Frankford Road
Dallas, Texas 75252
(32.997840305000466, -96.7937701569997)","6400 Frankford Road"
"Skillman Southwestern","http://dallaslibrary2.org/branch/skillman.php",,"214-670-6078","skillmansouthwestern@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"5707 Skillman Street
Dallas, Texas 75206
(32.85726070300046, -96.75631060899968)","5707 Skillman Street"
"Martin Luther King","http://dallaslibrary2.org/branch/martin.php",,"214-670-0344","martinlutherkingjr@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"2922 Martin Luther King Jr Blvd
Dallas, Texas 75215
(32.770500753000476, -96.76685053599965)","2922 Martin Luther King Jr. Blvd."
"Pleasant Grove","http://dallaslibrary2.org/branch/pleasant.php",,"214-670-0965","pleasantgrove@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"7310 Lake June Road
Dallas, Texas 75217
(32.734240732000444, -96.69562104899967)","7310 Lake June Road"
"White Rock Hills","http://dallaslibrary2.org/branch/whiterock.php",,"214-670-8443","whiterockhills@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"9150 Ferguson Rd
Dallas, Texas 75228
(32.81499711100048, -96.6940998019997)","9150 Ferguson Rd"
"Audelia Road","http://dallaslibrary2.org/branch/audelia.php",,"214-670-1350","audeliaroad@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"10045 Audelia Road
Dallas, Texas 75238
(32.88535104200048, -96.71795112899969)","10045 Audelia Road"
"Forest Green","http://dallaslibrary2.org/branch/forest.php",,"214-670-1335","ForestGreen@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"9015 Forest Lane
Dallas, Texas 75243
(32.90924016100047, -96.74869056499966)","9015 Forest Lane"
"Vickery Park","http://dallaslibrary2.org/branch/vickerypark.php",,"214-671-2101","vickerypark@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"8333 Park Lane
Dallas, Texas 75231
(32.871584729412405, -96.76159215999924)","8333 Park Lane"
"Polk-Wisdom","http://dallaslibrary2.org/branch/polk.php",,"214-670-1947","polkwisdom@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"7151 Library Lane
Dallas, Texas 75232
(32.66092100400044, -96.84173045399967)","7151 Library Lane"
"Hampton-Illinois","http://dallaslibrary2.org/branch/hampton.php",,"214-670-7646","hamptonillinois@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"2951 South Hampton Road
Dallas, Texas 75224
(32.714113229000475, -96.8571618259997)","2951 South Hampton Road"
"Lochwood","http://dallaslibrary2.org/branch/lochwood.php",,"214-670-8403","lochwood@dallascityhall.com",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"11221 Lochwood Boulevard
Dallas, Texas 75218
(32.84861051900049, -96.68766108199969)","11221 Lochwood Boulevard"
"Bachman Lake","http://dallaslibrary2.org/branch/bachman.php",,"214-670-6376","bachmanlake@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"9480 Webb Chapel Rd
Dallas, Texas 75220
(32.862430994000476, -96.8596104189997)","9480 Webb Chapel Rd."
"Oak Lawn","http://dallaslibrary2.org/branch/oaklawn.php",,"214-670-1359","oaklawn@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"4100 Cedar Springs Road
Dallas, Texas 75219
(32.81238045700047, -96.81298100799967)","4100 Cedar Springs Road"
"Prairie Creek","http://dallaslibrary2.org/branch/prairie.php",,"214-671-0410","prairiecreek@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"9609 Lake June Rd
Dallas, Texas 75217
(32.734197879000476, -96.6566004769997)","9609 Lake June Rd."
"Timberglen","http://dallaslibrary2.org/branch/timberglen.php",,"214-671-1365","timberglen@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"18505 Midway Road
Dallas, Texas 75287
(33.003242963000446, -96.84385896199967)","18505 Midway Road"
"Lakewood","http://dallaslibrary2.org/branch/lakewood.php",,"214-670-1376","lakewood@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"6121 Worth Street
Dallas, Texas 75214
(32.80997152000049, -96.75272090999965)","6121 Worth Street"
"Fretz Park","http://dallaslibrary2.org/branch/fretz.php",,"214-670-6421","FretzPark@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"6990 Belt Line Road
Dallas, Texas 75254
(32.94996066700048, -96.78351023499965)","6990 Belt Line Road"
"Bookmarks in NorthPark Center","http://dallaslibrary2.org/branch/bookmarks.php","Suite 1514","214-671-1381","northpark@dallaslibrary.org",,,"10:30 AM","5:30 PM","10:30 AM","5:30 PM","10:30 AM","5:30 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"8687 North Central Expressway
Dallas, Texas 75225
(32.86969037300048, -96.77071068199967)","8687 North Central Expressway"
"Park Forest","http://dallaslibrary2.org/branch/park.php",,"214-670-6333","parkforest@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"3421 Forest Lane
Dallas, Texas 75234
(32.909710292000455, -96.86348093599969)","3421 Forest Lane"
"North Oak Cliff","http://dallaslibrary2.org/branch/north.php",,"214-670-7555","northoakcliff@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"302 West Tenth Street
Dallas, Texas 75208
(32.74508025200049, -96.8272105429997)","302 West Tenth Street"
"Kleberg Rylie","http://dallaslibrary2.org/branch/kleberg.php",,"214-670-8471","KlebergRylie@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"1301 Edd Road
Dallas, Texas 75253
(32.686331135000444, -96.6001002969997)","1301 Edd Road"
"Skyline","http://dallaslibrary2.org/branch/skyline.php",,"214-670-0938","Skyline@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"6006 Everglade Road
Dallas, Texas 75227
(32.78541300800049, -96.69988517499968)","6006 Everglade Road"
"Preston Royal","http://dallaslibrary2.org/branch/preston.php",,"214-670-7128","prestonroyal@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"5626 Royal Lane
Dallas, Texas 75229
(32.89480091000047, -96.81134015899966)","5626 Royal Lane"
"Grauwyler Park","http://dallaslibrary2.org/branch/grauwyler.php",,"214-671-1447","grauwylerpark@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"2146 Gilford Street
Dallas, Texas 75235
(32.83375132600048, -96.85956613999969)","2146 Gilford Street"
"Paul Laurence Dunbar Lancaster-Kiest","http://dallaslibrary2.org/branch/lancaster.php",,"214-670-1952","lancasterkiest@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"2008 East Kiest Blvd
Dallas, Texas 75216
(32.71553112300046, -96.7896611169997)","2008 East Kiest Blvd"
"Central Library","http://dallaslibrary2.org/central/",,"214-670-1400","askalibrarian@dallaslibrary.org",,,"10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"1515 Young St
Dallas, Texas 75201
(32.77787075100048, -96.79693086699967)","1515 Young St."
"Mountain Creek","http://dallaslibrary2.org/branch/mountain.php",,"214-670-6704","mountaincreek@dallaslibrary.org",,,"10:00 AM","6:00 PM","10:00 AM","6:00 PM","11:00 AM","7:00 PM","10:00 AM","6:00 PM","10:00 AM","6:00 PM",,,"6102 Mountain Creek Parkway
Dallas, Texas 75249
(32.65007111300048, -96.96650074199965)","6102 Mountain Creek Parkway"
