"treatment_number","animal_id","condition_type","treatment_date","treatment_time","treatment_by","treatment_type","treatment_subtype","number_of_days","weight","temperature","visit_number","visit_type","visit_reason","month","year"
"T19-976973","A1064923",,"2019-04-24T00:00:00.000","19:06:33.417000",,,,"21",,,"T19-976961",,,"APR.2019","FY2019"
"T19-985629","A1066280",,"2019-05-02T00:00:00.000","13:38:15.743000",,,,"1",,,"T19-985623",,,"MAY.2019","FY2019"
"T19-289291","A1074457",,"2019-07-20T00:00:00.000","12:23:02.040000",,,,"14",,,"T19-289288",,,"JUL.2019","FY2019"
"T19-955976","A1062859",,"2019-04-03T00:00:00.000","10:11:29.417000",,,,"3",,,"T19-955971",,,"APR.2019","FY2019"
"T19-281962","A1075270",,"2019-07-13T00:00:00.000","18:17:29.780000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-281954",,,"JUL.2019","FY2019"
"T19-296985","A1070190",,"2019-07-26T00:00:00.000","11:23:51.003000",,,,"10",,,"T19-296308",,,"JUL.2019","FY2019"
"T19-316462","A1079079",,"2019-08-12T00:00:00.000","18:54:47.457000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-316454",,,"AUG.2019","FY2019"
"T19-899843","A1056858",,"2019-01-30T00:00:00.000","16:21:49.717000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-899842",,,"JAN.2019","FY2019"
"T19-899844","A1056858",,"2019-01-30T00:00:00.000","16:21:52.830000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-899842",,,"JAN.2019","FY2019"
"T19-343876","A1076329",,"2019-09-04T00:00:00.000","12:26:15.427000",,"LIME DIP",,,,,"T19-342050",,,"SEP.2019","FY2019"
"T19-899846","A1056858",,"2019-01-30T00:00:00.000","16:22:12.373000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-899842","A1056858","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-01-30T00:00:00.000","16:20:00","ER",,,,"50",,"T19-899842","INTAKE EXAM",,"JAN.2019","FY2019"
"T19-302485","A1077088",,"2019-07-31T00:00:00.000","18:50:46.483000",,"MICROCHIP (24HR PET WATCH)","NEGATIVE",,,,"T19-302478",,,"JUL.2019","FY2019"
"T19-306206","A1073415",,"2019-08-04T00:00:00.000","08:45:32.907000",,,,"1",,,"T19-306205",,,"AUG.2019","FY2019"
"T19-209893","A1067348",,"2019-05-22T00:00:00.000","09:08:14.253000",,,,"14",,,"T19-209764",,,"MAY.2019","FY2019"
"T19-306207","A1073415",,"2019-08-04T00:00:00.000","08:45:55.627000",,,,"1",,,"T19-306205",,,"AUG.2019","FY2019"
"T19-327716","A1076323",,"2019-08-23T00:00:00.000","10:24:37.913000",,,,"1",,,"T19-327715",,,"AUG.2019","FY2019"
"T19-899849","A1056858",,"2019-01-30T00:00:00.000","16:22:22.277000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-899847","A1056858",,"2019-01-30T00:00:00.000","16:22:15.530000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-201165","A1064923",,"2019-05-15T00:00:00.000","10:31:41.723000",,,,"7",,,"T19-201148",,,"MAY.2019","FY2019"
"T19-959838","A1063176",,"2019-04-05T00:00:00.000","15:44:52.243000",,"X-RAY",,,,,"T19-958836",,,"APR.2019","FY2019"
"T19-245476","A1072193","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-17T00:00:00.000","22:46:00",,,,,,,"T19-245476","INTAKE EXAM",,"JUN.2019","FY2019"
"T19-335274","A1080725",,"2019-08-29T00:00:00.000","12:41:10.873000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-335270",,,"AUG.2019","FY2019"
"T19-283937","A0938907",,"2019-07-15T00:00:00.000","08:54:56.407000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-272542","A1070190",,"2019-07-07T00:00:00.000","11:04:50.780000",,,,"1",,,"T19-272541",,,"JUL.2019","FY2019"
"T19-343871","A1076323",,"2019-09-06T00:00:00.000","12:25:31.747000",,"LIME DIP",,,,,"T19-342049",,,"SEP.2019","FY2019"
"T19-973433","A1064923",,"2019-04-21T00:00:00.000","16:36:00.047000",,,,"1",,,"T19-973428",,,"APR.2019","FY2019"
"T19-973439","A1064923","UNKNOWN","2019-04-21T00:00:00.000","16:31:00",,,,,,,"T19-973439","MEDICAL REVIEW",,"APR.2019","FY2019"
"T19-281955","A1075270",,"2019-07-13T00:00:00.000","18:16:56.083000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T19-988785","A1064923","TREATABLE REHABILITABLE CONTAGIOUS","2019-05-05T00:00:00.000","09:50:00","NG",,,,,,"T19-988785","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-899848","A1056858",,"2019-01-30T00:00:00.000","16:22:18.420000",,,,"1",,,"T19-899842",,,"JAN.2019","FY2019"
"T19-303278","A1076329",,"2019-08-01T00:00:00.000","13:02:49.540000",,,,"1",,,"T19-303277",,,"AUG.2019","FY2019"
"T19-272366","A1074457",,"2019-07-06T00:00:00.000","18:06:31.547000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-272358",,,"JUL.2019","FY2019"
"T19-306205","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-04T00:00:00.000","08:45:00","CBM",,,,,,"T19-306205","EXAM",,"AUG.2019","FY2019"
