Activity Number,Activity Type,Activity SubType,Activity Priority,Service Request Number,Street Address ,Street Number,Street Direction,Street Name,Street Type,Apartment,City,State,Zip Code,Census Tract,Council District,Mapsco Page,Animal Intake ID,Animal Type,Animal Description,Tag Number,Activity Quantity 1,Activity Result 1,Activity Quantity 2,Activity Result 2,Activity Quantity 3,Activity Result 3,Activity Quantity 4,Activity Result 4,Activity Quantity 5,Activity Result 5,Final Activity Quantity,Final Activity Result,Activity Comment,Officer ID,Activity Status,Cancel Reason,Radio Signal Code,Call Date/Time,Created Date/Time,Dispatch Date/Time,Working Date/Time,Completed Date/Time,User ID,Month,Year,Location 1,Council Districts--Test,Dallas City Limits GIS Layer,City Councils,Zip Codes,Counties
A16-033516,LOOSE,AGGRESSION,URGENT,1600504471,639  EZEKIAL AVE,639,,EZEKIAL,AVE,,DALLAS,TX,75217,009303,5,57-R,,DOG,,,2,MADE CONTACT,0,,0,,0,,0,,1,CLOSED,,P9991721,COMPLETED,,6/8 VIC,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,JKONOLD,OCT.2016,FY2017,"639 EZEKIAL AVE
DALLAS, TX 75217
(32.723482, -96.709953)",5,3,5,18921,3162
A16-011273,INVESTIGATION,MUNICIPAL,LOW,LYAP,8817  CRAIGE DR,8817,,CRAIGE,DR,,DALLAS,TX,75217,009201,5,59-J,,DOG,,,1,UNABLE TO MAKE CONTACT,1,WARNING,0,,0,,0,,1,CLOSED,,P9991698,COMPLETED,,,05/06/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,DLAWHON,OCT.2016,FY2017,"8817 CRAIGE DR
DALLAS, TX 75217
(32.735988, -96.667057)",5,3,5,18921,3162
A16-033461,LOOSE,LOOSE OWN,NORMAL,1600504041,4534  SILVER LAKE DR,4534,,SILVER LAKE,DR,,DALLAS,,75211,010801,3,52-V,,OTHER,,,1,UNABLE TO LOCATE,0,,0,,0,,0,,1,CLOSED,"xxxx SILVER LAKE DR; XY: xxxxxxx.xxxxxxxxxx, xxxxxxx.xxxxxxxxx; LATLNG: xx.xxxxx",P9991717,COMPLETED,,21 LOOSE,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,JDANIELS,OCT.2016,FY2017,"4534 SILVER LAKE DR
DALLAS 75211
(32.71897, -96.894855)",3,3,3,18528,3162
A16-033504,LOOSE,SICK/INJURED,ANIMAL IN DANGER,1600504340,0  BONNIE VIEW RD & TIO,0,,BONNIE VIEW RD & TIO,,,DALLAS,TX,00000,016901,8,66-U,,DOG,,,1,DEAD ON ARRIVAL,1,UNABLE TO MAKE CONTACT,0,,0,,0,,1,CLOSED,,P9991549,COMPLETED,,,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,RARELLAN,OCT.2016,FY2017,"0 BONNIE VIEW RD & TIO
DALLAS, TX 00000",,,,,
A16-033535,LOOSE,LOOSE OWN,NORMAL,1600504645,4737  WORTH ST,4737,,WORTH,ST,,DALLAS,TX,75246,001502,2,46-F,,DOG,,,1,UNABLE TO LOCATE,1,UNABLE TO MAKE CONTACT,0,,0,,0,,1,CLOSED,,P9991722,COMPLETED,,20/21 LOOSE,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,ABLACKMA,OCT.2016,FY2017,"4737 WORTH ST
DALLAS, TX 75246
(32.797124, -96.769307)",2,3,2,20160,3162
A16-032236,INVESTIGATION,BITE,URGENT,THILL,6081  MILTON ST,6081,,MILTON,ST,,DALLAS,TX,75206,007913,14,36-B,,DOG,,,1,UNABLE TO LOCATE,0,,0,,0,,0,,1,CLOSED,,P9991695,COMPLETED,,05,09/22/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/05/2016 12:00:00 AM,,10/05/2016 12:00:00 AM,YLOCKHAR,OCT.2016,FY2017,"6081 MILTON ST
DALLAS, TX 75206
(32.849215, -96.762277)",12,3,14,20546,3162
A16-033524,INVESTIGATION,BITE,URGENT,1600504559,8560  PARK LN,8560,,PARK,LN,,DALLAS,TX,75231,007820,13,26-U,A0958029,DOG,,,1,MADE CONTACT,0,,0,,0,,0,,1,CLOSED,APT xx,P9991701,COMPLETED,,5 OV,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,MMATTHIA,OCT.2016,FY2017,"8560 PARK LN
DALLAS, TX 75231
(32.870275, -96.755074)",11,3,13,19377,3162
A16-011275,INVESTIGATION,MUNICIPAL,LOW,LYAP,8729  CRAIGE DR,8729,,CRAIGE,DR,,DALLAS,TX,75217,009201,5,58-M,,DOG,,,1,UNABLE TO MAKE CONTACT,1,WARNING,0,,0,,0,,1,CLOSED,,P9991698,COMPLETED,,,05/06/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,DLAWHON,OCT.2016,FY2017,"8729 CRAIGE DR
DALLAS, TX 75217
(32.735909, -96.669128)",5,3,5,18921,3162
A16-033511,INVESTIGATION,BARKING,LOW,1600504395,8735  BACARDI DR,8735,,BACARDI,DR,,DALLAS,TX,75238,013007,10,28-T,,DOG,,,1,EDUCATION,0,,0,,0,,0,,1,CLOSED,,P0716141,COMPLETED,,,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,,10/04/2016 12:00:00 AM,MTORRES,OCT.2016,FY2017,"8735 BACARDI DR
DALLAS, TX 75238
(32.868116, -96.696087)",9,3,10,19752,3162
A16-033492,LOOSE,LOOSE OWN,NORMAL,1600504234,2839 W 8TH ST,2839,W,8TH,ST,,DALLAS,TX,75211,004500,1,53-C,A0958484,DOG,,,1,EDUCATION,0,,0,,0,,0,,1,CLOSED,,P9991717,COMPLETED,,20/21 LOOSE,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,SKING,OCT.2016,FY2017,"2839 W 8TH ST
DALLAS, TX 75211
(32.748012, -96.867819)",1,3,1,18528,3162
