"eventid","eventtype","facilityname","createtime","lastupdate","direction","county","frompointlocation","topointlocation","estimateddurationdays","lanes_affected","lane_status","total_lanes","lanes_description","lane_detail","user_name","user_phone_number","update_number","pavement_condition","weather_condition","contact_name","contact_num","mobile_num","fax_num","startdate","eventdescription","additionaltext","county2","job_street_prefix","job_street_name","job_street_type","city","latitude","longitude","latitude2","longitude2","city2","job_address"
"cc001-10/13/2006-006","Construction"," LA VISTA DR    ","2006-10-13T00:00:00.000",,,"Dallas","6400  LA VISTA DR    ",,,"1","Closed",,,,"Maryruth Valenzuela",,,,,"Greg Homan","214-662-0045",,,"2006-10-16T00:00:00.000",,,"Dallas",,"LA VISTA","DR","Dallas",,,"0","0","Dallas","6400-01-01T00:00:00.000"
"cc001-10/13/2006-011","Construction"," ABRAMS RD    ","2006-10-13T00:00:00.000",,,"Dallas","4500  ABRAMS RD    ",,,"1","Closed",,,,"Maryruth Valenzuela",,,,,"Greg Homan","214-662-0045",,,"2006-10-16T00:00:00.000",,,"Dallas",,"ABRAMS","RD","Dallas",,,"0","0","Dallas","4500-01-01T00:00:00.000"
"cc001-10/13/2006-015","Construction"," MEADOW LAKE AV    ","2006-10-13T00:00:00.000",,,"Dallas","6900  MEADOW LAKE AV    ",,,"1","Closed",,,,"Maryruth Valenzuela",,,,,"Greg Homan","214-662-0045",,,"2006-10-16T00:00:00.000",,,"Dallas",,"MEADOW LAKE","AV","Dallas",,,"0","0","Dallas","6900-01-01T00:00:00.000"
"cc001-10/13/2006-026","Construction"," MERRILEE LA    ","2006-10-13T00:00:00.000",,,"Dallas","6900  MERRILEE LA    ",,,"1","Closed",,,,"Maryruth Valenzuela",,,,,"Greg Homan","214-662-0045",,,"2006-10-16T00:00:00.000",,,"Dallas",,"MERRILEE","LA","Dallas",,,"0","0","Dallas","6900-01-01T00:00:00.000"
"cc001-10/13/2006-035","Construction"," WINTON ST    ","2006-10-13T00:00:00.000",,,"Dallas","6500  WINTON ST    ",,,"1","Closed",,,,"Maryruth Valenzuela",,,,,"Greg Homan","214-662-0045",,,"2006-10-16T00:00:00.000",,,"Dallas",,"WINTON","ST","Dallas",,,"0","0","Dallas","6500-01-01T00:00:00.000"
"tue03-06/21/2007-001","Construction"," EARTHWIND DR    ","2007-06-21T00:00:00.000",,,"Dallas","17127  EARTHWIND DR    ",,,"1","Closed",,,,"Bill Waldrop",,,,,"Bill Waldrop","972-216-8901",,,"2007-06-25T00:00:00.000",,,"Dallas",,"EARTHWIND","DR","Dallas",,,"0","0","Dallas",
"swb01-10/11/2007-002","Construction"," CORINTH ST    ","2007-10-11T00:00:00.000",,,"Dallas","1403  CORINTH ST    ",,,"1","Closed",,,,"Bill MacLoon",,,,,"Bill MacLoon","214-320-5001",,,"2007-10-12T00:00:00.000",,,"Dallas",,"CORINTH","ST","Dallas",,,"0","0","Dallas","1403-01-01T00:00:00.000"
"swb01-07/24/2008-005","Construction"," BLACKWOOD DR    ","2008-07-24T00:00:00.000",,,"Dallas","7121  BLACKWOOD DR    ",,,"1","Closed",,,,"Bill MacLoon",,,,,"Bill MacLoon","214-320-5001",,,"2008-07-28T00:00:00.000",,,"Dallas",,"BLACKWOOD","DR","Dallas",,,"0","0","Dallas","7121-01-01T00:00:00.000"
"pwd02-04/29/2009-008","Construction"," HARRY HINES BLVD  ","2009-04-29T00:00:00.000",,,"Dallas","2400  HARRY HINES BLVD  ",,,"2","Closed",,,,"Joe Patterson",,,,,"Joe Patterson","214-670-1264",,,"2009-05-04T00:00:00.000",,,"Dallas",,"HARRY HINES","BLVD","Dallas",,,"0","0","Dallas","2400-01-01T00:00:00.000"
"swb01-03/12/2010-001","Construction"," LUNA RD    ","2010-03-12T00:00:00.000",,,"Dallas","10501  LUNA RD    ",,,"1","Closed",,,,"Greg Allmon",,,,,"greg allmon","972-361-4200",,,"2010-03-16T00:00:00.000",,,"Dallas",,"LUNA","RD","Dallas",,,"0","0","Dallas",
