"objectid","filenum","uofnum","match_addr","occurred_d","occurred_t","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","forcetype","uof_reason","cycles_num","forceeffec","street_n","street","street_g","street_t","address","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","ra","beat","sector","division","dist_name","taag_name","x","y","geolocation"
"51","UF2013-00121","2030, 2034","4600 S MALCOLM X BLVD","2013-01-09T00:00:00.000","21:00","10018","Male","White","2009-09-30T00:00:00.000","No","No injuries noted or visible","No","Traffic Stop","Other, Verbal Command","Passive Resistance","NULL","Yes, No","4600","MALCOLM X","S","Blvd.","4600 S MALCOLM X Blvd.","24567","Black","Male","No","Abrasion","Yes","None detected","Hold/Warrants, MFG/DEL/COCAINE, Fail to ID/Fugitive, Escape","2167","346","340","SOUTHEAST","D7","Central CFHawn","2505343.37073000000","6962661.13331000000","4600 S MALCOLM X BLVD
Dallas, TX "
"52","UF2013-00121","2041, 2042","4600 S MALCOLM X BLVD","2013-01-09T00:00:00.000","21:00","10116","Male","White","2010-01-20T00:00:00.000","No","No injuries noted or visible","No","Arrest","Verbal Command, Other","Passive Resistance","NULL","Yes, Yes","4600","Malcolm X","S","Blvd.","4600 S Malcolm X Blvd.","24567","Black","Male","No","Bruise","Yes","Unknown","Hold/Warrants, MFG/DEL/COCAINE, Escape, Fail to ID/Fugitive","2167","346","340","SOUTHEAST","D7","Central CFHawn","2505343.37073000000","6962661.13331000000","4600 S MALCOLM X BLVD
Dallas, TX "
"3061","UF2013-02233","12045","3839 S FITZHUGH AVE","2013-10-27T00:00:00.000","23:30","5118","Male","White","1984-11-28T00:00:00.000","Yes","Laceration","No","Arrest","Joint Locks","Active Aggression","NULL","Yes","3839","Fitzhugh","S","Ave.","3839 S Fitzhugh Ave.","0","White","Male","No","paralysis","Yes","Alchohol","Assault/Public Servant","2099","115","110","CENTRAL","D7",,"2504798.67034000000","6969124.88107000000","3839 S FITZHUGH AVE
Dallas, TX 
(32.77433, -96.754961)"
"120","UF2013-00212","3195, 3196","1700 S CESAR CHAVEZ BLVD","2013-02-04T00:00:00.000","21:45","8747","Female","White","2005-12-16T00:00:00.000","Yes","Bruise","No","Call for Cover","Arm Bar, OC Spray","Active Aggression","NULL","Yes, Yes","1700","CESAR CHAVEZ","NULL","Blvd.","1700 CESAR CHAVEZ Blvd.","25236","Black","Female","No","OC Spray Treatment","Yes","Alchohol","Assault/Public Servant, Evading Arrest/Detention, Res Arrest/Search/Trans, Obstruction/Retaliation","2107","152","150","CENTRAL","D2",,"2495720.74048000000","6969057.26971000000","1700 S CESAR CHAVEZ BLVD
Dallas, TX "
"131","UF2013-00227","13590","8300 L B J SERV S","2013-02-06T00:00:00.000","15:00","9222","Male","White","2007-09-05T00:00:00.000","No","No injuries noted or visible","No","Service Call","Hands/Arms","Defensive Resistance","NULL","Yes","8300","LBJ service road","W","Frwy.","8300 W LBJ service road Frwy.","25287","Black","Male","No","No injuries noted or visible","No","Unknown","No Arrest","1028","251","250","NORTHEAST","D10",,"2501991.75000000000","7023278.88488000000","8300 L B J SERV S
Dallas, TX "
"137","UF2013-00231","2837, 2838, 2839, 2840","6500 S CENTRAL EXPY","2013-01-28T00:00:00.000","19:45","9997","Male","Other","2009-09-30T00:00:00.000","No","No injuries noted or visible","No","Arrest","Joint Locks, Hand Control Technique, Other, Other","Defensive Resistance","NULL","No, No, Yes, Yes","6500","Central","N","Expwy.","6500 N Central  Expwy.","25048","Black","Male","No","Injured prior to contact","Yes","Unknown","Aggravated Robbery","2190","344","340","SOUTHEAST","D7",,"2504175.35740000000","6952684.54824000000","6500 S CENTRAL EXPY
Dallas, TX "
"151","UF2013-00243","3446, 3905","3600 OAK GROVE AVE","2013-02-09T00:00:00.000","20:05","9266","Male","Hispanic","2007-09-26T00:00:00.000","No","No injuries noted or visible","No","Arrest","Handcuffing, Balance Displacement","Active Aggression","NULL","Yes, No","3600","oak grove","NULL","Ave.","3600 oak grove Ave.","25352","Black","Male","Yes","No injuries noted or visible","Yes","Mentally unstable","Robbery/Individual","2003","124","120","CENTRAL","D14","Ross Bennett","2492013.90082000000","6980260.20744000000","3600 OAK GROVE AVE
Dallas, TX "
"248","UF2013-00355","7876","6500 JULIUS SCHEPPS FWY","2013-02-24T00:00:00.000","19:50","9000","Male","Hispanic","2006-11-15T00:00:00.000","No","No injuries noted or visible","No","Arrest","Feet/Legs Strike","Passive Resistance","NULL","Yes","6500","JULIUSSCHEPPS","N","Frwy.","6500 N JULIUSSCHEPPS Frwy.","25704","Black","Male","No","No injuries noted or visible","Yes","Alchohol and unknown drugs","Public Intoxication","4199","715","710","SOUTH CENTRAL","D7",,"2502439.97052000000","6952770.76314000000","6500 JULIUS SCHEPPS FWY
Dallas, TX "
"424","UF2013-00522","5227","1419 BIG TOWN BLVD","2013-02-27T00:00:00.000","18:30","8687","Male","White","2005-08-05T00:00:00.000","No","No injuries noted or visible","No","Other ( In Narrative)","Weapon display at Person","Other","NULL","Yes","3020","Big Town","NULL","Blvd.","3020 Big Town Blvd.","25714","Black","Male","No","No injuries noted or visible","Yes","FD-Unknown if Armed","Pos/Marij, Possession (Cocaine)","1218","323","320","SOUTHEAST","D7",,"2531429.64322000000","6972870.23930000000","1419 BIG TOWN BLVD
Dallas, TX "
"514","UF2013-00623","3099, 3101","9959 ADLETA BLVD","2013-02-03T00:00:00.000","4:55","10210","Male","White","2010-06-09T00:00:00.000","No","No injuries noted or visible","No","Service Call","Weapon display at Person, Handcuffing","Other","NULL","Yes, Yes","9959","Adleta","NULL","Blvd.","9959 Adleta Blvd.","25178","Black","Male","No","No injuries noted or visible","No","FD-Unknown if Armed","No Arrest","1042","257","250","NORTHEAST","D10","Forest Audelia","2517112.38673000000","7015120.47541000000","9959 ADLETA BLVD
Dallas, TX 
(32.900662, -96.712017)"
