"objectid","filenum","occurred_d","occurred_tm","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","uofnum","forcetype","uof_reason","cycles_num","forceeffec","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","arc_street","ra","beat","sector","division","dist_name"
"1","UF2014-1864","2014-12-31T00:00:00.000","22:56","8912","Male","White","2006-09-13T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22684, 22685, 22686"," Verbal Command, Joint Locks, Take Down - Arm","Arrest","NULL"," No, Yes, Yes","37082","Black","Male","No"," No injuries noted or visible","Yes","Unknown"," Assault/FV, Warrant/Hold","1238 N MASTERS DR","2206","335","330","SOUTHEAST","D5"
"2","UF2014-1864","2014-12-31T00:00:00.000","0:45","10759","Male","White","2014-03-12T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22687, 22688, 22689, 22690, 22691"," Verbal Command, BD - Grabbed, Joint Locks, Leg Restraint System, Take Down - Arm","Arrest","NULL"," No, No, No, Yes, Yes","37082","Black","Male","No"," No injuries noted or visible","Yes","Unknown"," Assault/FV, Warrant/Hold","1238 N MASTERS DR","2206","335","330","SOUTHEAST","D5"
"3","UF2014-1864","2014-12-31T00:00:00.000","0:45","7523","Female","White","2003-03-20T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22692, 22693"," Take Down - Arm, Joint Locks","Arrest","NULL"," Yes, Yes","37082","Black","Male","No"," No injuries noted or visible","Yes","Unknown"," Assault/FV, Warrant/Hold","1238 N MASTERS DR","2206","335","330","SOUTHEAST","D5"
"4","UF2015-0002","2014-12-31T00:00:00.000","0:52","10694","Male","Black","2013-11-06T00:00:00.000","No"," No injuries noted or visible","No","Arrest","22719"," BD - Pushed","Arrest","NULL"," Yes","37097","Black","Male","No"," No injuries noted or visible","Yes","Mentally unstable"," APOWW","3287 S POLK ST","4262","454","450","SOUTHWEST","D4"
"5","UF2014-1865","2014-12-31T00:00:00.000","0:45","10144","Male","White","2010-03-03T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22696, 22697"," Verbal Command, Weapon display at Person","Arrest","NULL"," Yes, Yes","37087","Black","Male","No"," No injuries noted or visible","Yes","None detected"," Warrant/Hold","5200 BEXAR ST","2189","348","340","SOUTHEAST","D7"
"6","UF2014-1898","2014-12-31T00:00:00.000","23:00","9592","Female","White","2008-09-03T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 22698, 23126"," Verbal Command, Take Down - Group","Danger to self or others","NULL"," No, Yes","37088","Black","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication","7720 MCCALLUM BLVD","6009","623","620","NORTH CENTRAL","D12"
"7","UF2015-0078","2014-12-31T00:00:00.000","16:20","10640","Male","White","2013-09-25T00:00:00.000","No"," No injuries noted or visible","No","Arrest","23151"," Held Suspect Down","Danger to self or others","NULL"," Yes","37088","Black","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication","7720 MCCALLUM BLVD","6009","623","620","NORTH CENTRAL","D12"
"8","UF2015-0078","2014-12-31T00:00:00.000","23:20","10640","Male","White","2013-09-25T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 23179, 23180"," Verbal Command, Take Down - Group","Arrest","NULL"," No, Yes","37088","Black","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication","7720 MCCALLUM BLVD","6009","623","620","NORTH CENTRAL","D12"
"9","UF2015-0078","2014-12-31T00:00:00.000","23:20","10156","Male","Asian","2010-03-03T00:00:00.000","No"," No injuries noted or visible","No","Arrest"," 23469, 23470"," Verbal Command, Take Down - Group","Danger to self or others","NULL"," No, Yes","37088","Black","Male","No"," No injuries noted or visible","Yes","Alchohol and unknown drugs"," Public Intoxication","7720 MCCALLUM BLVD","6009","623","620","NORTH CENTRAL","D12"
"10","UF2014-1893","2014-12-30T00:00:00.000","2:30","10578","Male","Hispanic","2013-06-19T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22678, 22679"," Verbal Command, Hand Controlled Escort","Danger to self or others","NULL"," No, Yes","37067","White","Male","No"," No injuries noted or visible","Yes","NULL"," Criminal Mischief","500 HAVERHILL LN","2204","334","330","SOUTHEAST","D5"
"11","UF2014-1964","2014-12-29T00:00:00.000","0:45","8773","Male","White","2006-01-25T00:00:00.000","No"," No injuries noted or visible","No","Service Call"," 22659, 22660"," Verbal Command, BD - Pushed","Other","NULL"," No, Yes","23561","NULL","Male","No"," Injured prior to contact","Yes","Alchohol"," Public Intoxication","2700 N FITZHUGH AVE","1159","143","140","CENTRAL","D2"
