"animal_id","animal_type","animal_breed","kennel_number","kennel_status","tag_type","activity_number","activity_sequence","source_id","census_tract","council_district","intake_type","intake_subtype","intake_total","reason","staff_id","intake_date","intake_time","due_out","intake_condition","hold_request","outcome_type","outcome_date","outcome_time","receipt_number","impound_number","service_request_number","outcome_condition","chip_status","animal_origin","additional_information","month","year"
"A0000575","CAT","DOMESTIC SH","AC 035","UNAVAILABLE",,,"1","P0671044","W","W","STRAY","CONFINED","1",,"SN","2014-10-02T00:00:00.000","1899-12-31T11:56:00.000","2014-10-06T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","ADOPTION","ADOPTION","2014-10-12T00:00:00.000","1899-12-31T15:25:00.000","R14-372380","K14-297573",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER","ADOPTED","OCT.2014","FY2015"
"A0008962","DOG","LABRADOR RETR","LFD 088","LAB",,,"1","P0053980","75218","18","CONFISCATED","KEEP SAFE","1",,"MB","2015-09-24T00:00:00.000","1899-12-31T15:50:00.000","2015-10-03T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-10-04T00:00:00.000","1899-12-31T12:22:00.000",,"K15-328347","442631","TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"SEP.2015","FY2015"
"A0121376","DOG","GERM SHEPHERD","LFD 042","LAB",,,"1","P0661191","39A","9A","STRAY","CONFINED","1",,"MB","2015-05-01T00:00:00.000","1899-12-31T12:09:00.000","2015-05-02T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-05-03T00:00:00.000","1899-12-31T11:53:00.000",,"K15-314218",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"MAY.2015","FY2015"
"A0129114","CAT","DOMESTIC SH","PSCAT 11","UNAVAILABLE",,,"1","P0055049","75243","43","OWNER SURRENDER","GENERAL","1","ALLERGIC","CBM/JS","2015-09-19T00:00:00.000","1899-12-31T16:46:00.000","2015-09-22T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","EVERYDAY ADOPTION CENTER","ADOPTION","2015-10-26T00:00:00.000","1899-12-31T14:09:00.000","R15-425259","K15-327996",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER","VOMIT 5X 9/20","SEP.2015","FY2015"
"A0157434","DOG","ROTTWEILER","FREEZER","UNAVAILABLE",,,"1","P0093154","38G","8G","OWNER SURRENDER","- DEAD ON ARRIVAL","1",,"DD","2014-12-03T00:00:00.000","1899-12-31T20:06:00.000","2014-12-03T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"DEAD ON ARRIVAL","2014-12-04T00:00:00.000","1899-12-31T12:00:00.000",,"K14-302641",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD",,"DEC.2014","FY2015"
"A0179837","DOG","CHOW CHOW","LFD 153","LAB",,,"1","P0044588","W","W","OWNER SURRENDER","GENERAL","1","OWNER PROBLEM","CBM","2015-04-27T00:00:00.000","1899-12-31T11:37:00.000","2015-04-27T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-04-27T00:00:00.000","1899-12-31T00:00:00.000",,"K15-313834",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"APR.2015","FY2015"
"A0183589","DOG","AUST CATTLE DOG","LAB 01","LAB",,,"1","P0035014","55W","5W","OWNER SURRENDER","GENERAL","1",,"JC","2015-06-01T00:00:00.000","1899-12-31T15:47:00.000","2015-06-01T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-06-01T00:00:00.000","1899-12-31T00:00:00.000",,"K15-317795",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN CHIP","FIELD",,"JUN.2015","FY2015"
"A0186874","DOG","LABRADOR RETR","LAB 01","LAB",,,"1","P0109320","W","W","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"AT","2015-02-04T00:00:00.000","1899-12-31T12:56:00.000","2015-02-04T00:00:00.000","UNHEALTHY UNTREATABLE CONTAGIOUS",,"EUTHANIZED","2015-02-04T00:00:00.000","1899-12-31T13:33:00.000",,"K15-307265",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"FEB.2015","FY2015"
"A0187667","DOG","LABRADOR RETR","LFD 119","LAB",,,"1","P0027022","75212","12","OWNER SURRENDER","EUTHANASIA REQUESTED","1","EUTHANASIA OLD","CBM/BN","2015-08-15T00:00:00.000","1899-12-31T14:45:00.000","2015-08-15T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-08-15T00:00:00.000","1899-12-31T15:16:00.000",,"K15-325035",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"AUG.2015","FY2015"
"A0228501","DOG","CATAHOULA","LFD 018","LAB",,,"1","P0071420","75214","14","OWNER SURRENDER","EUTHANASIA REQUESTED","1",,"SN/DW","2015-09-17T00:00:00.000","1899-12-31T11:11:00.000","2015-09-17T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2015-09-17T00:00:00.000","1899-12-31T17:08:00.000",,"K15-327783",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"SEP.2015","FY2015"
