"animal_id","kennel_number","kennel_status","tag_type","activity_number","activity_sequence","source_id","census_tract","council_district","intake_type","intake_subtype","reason","staff_id","intake_date","intake_time","due_out","intake_condition","hold_request","outcome_type","outcome_date","outcome_time","receipt_number","impound_number","service_request_number","outcome_condition","chip_status","animal_origin","additional_information","months","year"
"A0771604","LAB 01","LAB",,,"1","P0730078","010102","6","OWNER SURRENDER","GENERAL","ESCAPES","KS/MSW","2017-07-24T00:00:00.000","12:01:00.0000000","2017-07-27T00:00:00.000","TREATABLE MANAGEABLE NON-CONTAGIOUS",,"EUTHANIZED","2017-07-29T00:00:00.000","10:03:00.0000000",,"K17-388372",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER",,"JUL.2017","FY2017"
"A0964614","PUPS 4","LAB",,,"1","P0760228","007605","13","STRAY","AT LARGE",,"CBM/SC","2016-11-11T00:00:00.000","12:29:00.0000000","2016-11-11T00:00:00.000","UNHEALTHY UNTREATABLE CONTAGIOUS",,"EUTHANIZED","2016-11-11T00:00:00.000","13:23:00.0000000",,"K16-364104",,"UNHEALTHY UNTREATABLE CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"NOV.2016","FY2017"
"A0985518","ID 05","LAB",,,"1","P0779380","016510","3","OWNER SURRENDER","GENERAL","TOO MANY","CBM/CJ","2017-03-20T00:00:00.000","15:24:00.0000000","2017-03-20T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2017-03-21T00:00:00.000","15:09:00.0000000",,"K17-374370",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"MAR.2017","FY2017"
"A0998770","LAB 15","LAB",,,"1","P0791786","009000","7","OWNER SURRENDER","GENERAL","MOVE","BW/MW","2017-06-16T00:00:00.000","14:13:00.0000000","2017-06-16T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2017-06-23T00:00:00.000","20:26:00.0000000",,"K17-384027",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","SCAN CHIP","OVER THE COUNTER","FEED/DRY&WET FOOD","JUN.2017","FY2017"
"A0964613","PUPS 4","LAB",,,"1","P0760228","007605","13","STRAY","AT LARGE",,"CBM/SC","2016-11-11T00:00:00.000","12:29:00.0000000","2016-11-11T00:00:00.000","UNHEALTHY UNTREATABLE CONTAGIOUS",,"EUTHANIZED","2016-11-11T00:00:00.000","13:23:00.0000000",,"K16-364103",,"UNHEALTHY UNTREATABLE CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"NOV.2016","FY2017"
"A0996376","LFC 014","IMPOUNDED",,,"1","P0789689","020500","6","OWNER SURRENDER","EUTHANASIA REQUESTED","ILL","KS/BM","2017-06-01T00:00:00.000","12:52:00.0000000","2017-06-01T00:00:00.000","UNHEALTHY UNTREATABLE NON-CONTAGIOUS",,"EUTHANIZED","2017-06-01T00:00:00.000","13:50:00.0000000",,"K17-382159",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"JUN.2017","FY2017"
"A0964609","PUPS 4","LAB",,,"1","P0760228","007605","13","STRAY","AT LARGE",,"CBM/SC","2016-11-11T00:00:00.000","12:29:00.0000000","2016-11-11T00:00:00.000","UNHEALTHY UNTREATABLE CONTAGIOUS",,"EUTHANIZED","2016-11-11T00:00:00.000","13:21:00.0000000",,"K16-364099",,"UNHEALTHY UNTREATABLE CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"NOV.2016","FY2017"
"A0985383","AD 036","LAB",,"A17-052146","1","P0779209","008703","4","OWNER SURRENDER","GENERAL",,"LDH","2017-03-18T00:00:00.000","21:51:00.0000000","2017-03-18T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS","ADOPTION","EUTHANIZED","2017-03-22T00:00:00.000","11:45:00.0000000",,"K17-374247",,"UNHEALTHY UNTREATABLE NON-CONTAGIOUS","SCAN NO CHIP","FIELD","DC7","MAR.2017","FY2017"
"A1000685","LFD 051","LAB",,"A17-064782","1","P0624731","017004","8","OWNER SURRENDER","GENERAL",,"SEC","2017-07-04T00:00:00.000","11:49:00.0000000","2017-07-04T00:00:00.000","TREATABLE REHABILITABLE NON-CONTAGIOUS",,"EUTHANIZED","2017-07-05T00:00:00.000","11:59:00.0000000",,"K17-386091",,"TREATABLE REHABILITABLE NON-CONTAGIOUS","UNABLE TO SCAN","SWEEP",,"JUL.2017","FY2017"
"A0964607","PUPS 4","LAB",,,"1","P0760228","007605","13","STRAY","AT LARGE",,"CBM/SC","2016-11-11T00:00:00.000","12:29:00.0000000","2016-11-11T00:00:00.000","UNHEALTHY UNTREATABLE CONTAGIOUS",,"EUTHANIZED","2016-11-11T00:00:00.000","13:20:00.0000000",,"K16-364098",,"UNHEALTHY UNTREATABLE CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER",,"NOV.2016","FY2017"
"A1000374","LFC 024","LAB",,,"1","P0642163","010805","3","STRAY","AT LARGE",,"CBM/MT","2017-07-01T00:00:00.000","13:33:00.0000000","2017-07-06T00:00:00.000","TREATABLE MANAGEABLE CONTAGIOUS",,"EUTHANIZED","2017-07-05T00:00:00.000","23:46:00.0000000",,"K17-385754",,"TREATABLE MANAGEABLE NON-CONTAGIOUS","SCAN NO CHIP","OVER THE COUNTER","EAR MITES","JUL.2017","FY2017"
