"objectid_1","filenum","uofnum","address","occurred_d","occurred_t","current_ba","offsex","offrace","hire_dt","off_injure","offcondtyp","off_hospit","service_ty","forcetype","uof_reason","cycles_num","forceeffec","street_n","street","street_g","street_t","citnum","citrace","citsex","cit_injure","citcondtyp","cit_arrest","cit_infl_a","citcharget","ra","beat","sector","division","taag_name","dist_name","x","y","geolocation"
"2651","UF2017-965","42928, 42929","160 E AIRPORT FWY","2017-03-19T00:00:00.000","3:00 AM","9709","Male","Hispanic","2009-01-07T00:00:00.000","false","No injuries noted or visible","false","Arrest","Verbal Command, BD - Pushed","Arrest","NULL","No, Yes","160","Airport","E","Frwy.","49032","White","Male","false","No injuries noted or visible","true","None detected","Evading Arrest, Unauthorize Use Vehicle","0","0","0",,,,"0.000000","0.000000",
"2017","UF2017-550","40220, 40221","2750 E TRINITY MILLS","2017-03-01T00:00:00.000","5:00 PM","9440","Male","Hispanic","2008-04-02T00:00:00.000","false","No injuries noted or visible","false","Arrest","Verbal Command, BD - Grabbed","Arrest","NULL","No, Yes","2750","Trinity Mills","E","Rd.","48738","Hispanic","Male","false","No injuries noted or visible","true","None detected","Warrant/Hold","0","0","0",,,,"0.000000","0.000000","POINT (-96.859176 32.986375)"
"2646","UF2017-963","41805","1019 S EDGEFIELD AVE","2017-04-28T00:00:00.000","9:50 PM","10937","Male","White","2014-12-03T00:00:00.000","false","No injuries noted or visible","false","Arrest","Taser","Arrest","1","No","1019","Edgefield","S","Ave.","49591","Hispanic","Male","false","No injuries noted or visible","true","Alchohol","Warrant/Hold","4138","444","440","SOUTHWEST",,"D1","2477561.573597","6954720.330250","POINT (-96.844278 32.735657)"
"2116","UF2017-611","40954","334 S HALL ST","2017-03-29T00:00:00.000","2:30 AM","10930","Male","White","2014-12-03T00:00:00.000","false","No injuries noted or visible","false","Arrest","Take Down - Arm","Other","NULL","Yes","334","Hall","S","St.","44305","Black","Male","false","No injuries noted or visible","true","Unknown","Warrant/Hold","2080","153","150","CENTRAL","Monument Good Latimer*","D2","2497584.505407","6972061.789903","POINT (-96.778435 32.782588)"
"357","UF2017-1213","43901","2700 ELM ST","2017-07-23T00:00:00.000","2:00 AM","8966","Male","White","2006-11-08T00:00:00.000","false","No injuries noted or visible","false","Off-Duty Employment","BD - Pushed","Active Aggression","NULL","Yes","2700","Elm","NULL","St","50735","Hispanic","Male","true","Non-Visible Injury/Pain","true","Alchohol","Public Intoxication","2066","153","150","CENTRAL","Monument Good Latimer*","D2","2495665.928165","6972628.310344","POINT (-96.784464 32.78448)"
"2441","UF2017-832","41282, 41283, 41284","1400 IOWA AVE","2017-04-08T00:00:00.000","10:14 AM","8525","Male","White","2004-07-30T00:00:00.000","false","No injuries noted or visible","false","Arrest","Verbal Command, Take Down - Arm, Joint Locks","Arrest","NULL","No, Yes, Yes","1400","Iowa","NULL","Ave.","49302","Asian","Male","false","No injuries noted or visible","true","Alchohol and unknown drugs","DWI, Drug Possession - Misdemeanor","4182","714","710","SOUTH CENTRAL",,"D4","2489882.602733","6951137.628317","POINT (-96.80448 32.725686)"
"2431","UF2017-822","42497","15678 KNOLL TRAIL DR","2017-05-12T00:00:00.000","1:20 AM","7310","Male","White","1995-11-08T00:00:00.000","true","Dizziness, Transported by DFD, Redness/Swelling","true","Arrest","Taser Display at Person","Active Aggression","NULL","Yes","15678","Knoll Trail","NULL","Dr.","29205","White","Male","false","No injuries noted or visible","true","Unknown","Assault/FV, Assault/Public Servant, Resisting Arrest","1004","622","620","NORTH CENTRAL",,"D11","2484046.541380","7038725.963311","POINT (-96.818923 32.966405)"
"1489","UF2017-1958","47252","7324 SKILLMAN ST","2017-12-31T00:00:00.000","12:04 PM","8937","Male","White","2006-09-27T00:00:00.000","true","Abrasion/Scrape, Sprain/Strain","false","Service Call","BD - Grabbed","Arrest","NULL","No","7324","Skillman","NULL","St.","52952","White","Male","false","No injuries noted or visible","true","FD-Suspect w/ Other Weapon","Burglary, Assault/FV, Resisting Search and Transport, Warrant/Hold, Other Misdemeanor Arrest","1074","245","240","NORTHEAST",,"D10","2510406.983656","7008113.348931","POINT (-96.734775 32.880579)"
"562","UF2017-1351","43820, 43821, 43822, 43823","2122 KIDWELL ST","2017-07-17T00:00:00.000","6:15 PM","10724","Male","White","2014-01-29T00:00:00.000","false","No injuries noted or visible","false","Arrest","Verbal Command, BD - Grabbed, Held Suspect Down, Verbal Command","Danger to self or others","NULL","No, Yes, Yes, Yes","2122","Kidwell","NULL","Ave.","50676","White","Male","true","Abrasion/Scrape","true","Unknown Drugs","Public Intoxication, Drug Possession - Felony, Resisting Arrest","1165","144","140","CENTRAL",,"D14","2504954.579805","6984137.003959","POINT (-96.753725 32.815828)"
"1138","UF2017-1732","45105, 45106","3839 S FITZHUGH AVE","2017-09-11T00:00:00.000","11:34 PM","9897","Male","White","2009-07-08T00:00:00.000","false","No injuries noted or visible","false","Off-Duty Employment","Verbal Command, Held Suspect Down","Arrest","NULL","No, Yes","3839","Fitzhugh","S","Ave.","51543","Hispanic","Male","true","Injured prior to contact","true","FD-Accidental","Other Felony Arrest","2099","115","110","CENTRAL",,"D7","2504798.670344","6969124.881071","POINT (-96.754961 32.77433)"
"2474","UF2017-854","42150, 42151, 42152","7407 FAIR OAKS AVE","2017-05-05T00:00:00.000","8:29 PM","10837","Male","Hispanic","2005-12-07T00:00:00.000","false","No injuries noted or visible","false","Service Call","Verbal Command, Verbal Command, Take Down - Arm","Arrest","NULL","No, No, Yes","7407","Fair Oaks","NULL","Ave.","49776","White","Male","false","No injuries noted or visible","true","Unknown Drugs","APOWW","1063","212","210","NORTHEAST","Five Points*","D13","2504275.612797","7006002.210067","POINT (-96.754111 32.876165)"
