Meeting,Download agenda,Location,Zip,State,City,Address,Meeting facility,Meeting type,Download Minutes,City Kc Area,Zip Codes,2017 Census Tracts WA State
"December 13, 2019 03:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"November 15, 2019 03:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"October 11, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"September 13, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"August 09, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"July 12, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"June 14, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"May 10, 2019 02:00 AM",Agenda (2.4 MB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2019/agenda-2019-05-09-regular.ashx),"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"April 12, 2019 02:00 AM",,"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"March 14, 2019 02:00 AM",Meeting cancelled (8 KB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2019/2019-02-cancelled.ashx),"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"March 07, 2019 03:00 AM",Agenda (183 KB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2019/agenda-2019-03-07-regular.ashx),"450 110th Avenue NE
Bellevue, WA 98006",98006,WA,Bellevue,12412 SE 69th Way,Bellevue City Hall,Regular meeting,,,,
"February 15, 2019 03:00 AM",Meeting cancelled (8 KB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2019/2019-02-cancelled.ashx),"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"January 11, 2019 03:00 AM",Agenda (179 KB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2019/agenda-2019-01-10-regular.ashx),"12412 69th Way
Bellevue, WA 98006
(47.54105475137994, -122.17557371835979)",98006,WA,Bellevue,12412 SE 69th Way,Bellevue Fire Station #9,Regular meeting,,88,31852,834
"December 14, 2018 03:00 AM",Agenda (242KB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/meetings/2018/agenda-2018-12-13-regular.ashx),"757 Southcenter Mall
Tukwila, WA 98188
(47.54105475137994, -122.17557371835979)",98188,WA,Tukwila,757 Southcenter Mall,Southcenter Mall,Regular meeting,,88,31852,834
