"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","Registered Voters","886"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","Times Counted","359"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","Times Under Voted","1"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","No","167"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","Yes","191"
"ALDERWOOD","Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","NP","Times Over Voted","0"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","Registered Voters","88"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","Times Counted","32"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","Times Under Voted","0"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","Yes","28"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","No","4"
"ALDERWOOD","Woodinville Fire & Rescue Proposition No. 1","45","3","1","Total","NP","Times Over Voted","0"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Registered Voters","886"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Times Counted","359"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Times Under Voted","4"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Rejected","144"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Approved","211"
"ALDERWOOD","Public Hospital District No. 2 Proposition No. 1","45","3","1","Total","NP","Times Over Voted","0"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","Registered Voters","175"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","Times Counted","53"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","Times Under Voted","0"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","No","27"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","Yes","26"
"BEL 48-0227","Lake Washington School District No. 414 Proposition No. 1","48","6","9","Total","NP","Times Over Voted","0"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Registered Voters","647"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Times Counted","191"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Times Under Voted","0"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Rejected","105"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Approved","86"
"NOVELTY","Public Hospital District No. 2 Proposition No. 1","5","3","1","Total","NP","Times Over Voted","0"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Registered Voters","602"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Times Counted","206"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Times Under Voted","3"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","No","92"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Yes","111"
"KIR 01-0870","Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Times Over Voted","0"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Registered Voters","602"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Times Counted","206"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Times Under Voted","0"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Rejected","80"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Approved","126"
"KIR 01-0870","Public Hospital District No. 2 Proposition No. 1","1","1","1","Total","NP","Times Over Voted","0"
"PATTERSON","King County Fire Protection District No. 27 Proposition No. 1","5","3","1","Total","NP","Registered Voters","87"
"PATTERSON","King County Fire Protection District No. 27 Proposition No. 1","5","3","1","Total","NP","Times Counted","22"
"PATTERSON","King County Fire Protection District No. 27 Proposition No. 1","5","3","1","Total","NP","Times Under Voted","0"
