"provider","phone","website","locations","address","notes","mental_health","substance_use","opioid","housing","involuntary","detox","sud_residential","mh_residential","adults","youth","older_adults","families","crisis_services","mental_health_and_sud"
"ABHS","509-232-5766","https://www.americanbehavioralhealth.net","Spokane County","44 E Cozza Dr
Spokane, WA 99208
(47.724853, -117.409455)","Adult residential, intensive inpatient",,,,,,,"true",,"true",,,,,
"ABHS","509-232-5766","https://www.americanbehavioralhealth.net","Spokane County","12715 Mission Ave
Spokane Valley, WA 99216
(47.671652, -117.233251)","Adult residential, intensive inpatient, long term residential, withdrawal management",,,,,,,"true",,"true",,,,,
"ABHS","509-300-1221","https://www.americanbehavioralhealth.net","Lewis County for King County residents","1230 Monitor Street
Wenatchee, WA 98801
(47.406757, -120.30452)","Acute Withdrawal Management",,"true",,,,,,,"true",,,,,
"ABHS","360-748-4776","https://www.americanbehavioralhealth.net","Lewis County for King County residents","500 SE Washington Avenue
Chehalis, WA 98532
(46.658857, -122.958476)","Adult residential, Secure Withdrawal Management",,,,,,,"true",,"true",,,,,
"Asian Counseling and Referral Service","206-695-7600","http://www.acrs.org","Kent","25720 104th Ave SE
Kent, WA 98030
(47.370588, -122.202381)","By appointment only","true",,,,,,,,"true","true","true",,,
"Asian Counseling and Referral Service","206-695-7600","http://www.acrs.org","Seattle - Rainier Valley","3639 Martin Luther King Jr Way S
Seattle, WA 98144
(47.571682, -122.297021)","Specializes in serving the Asian Pacific Islander community, immigrants, refugees and clients with limited/no English proficiency","true","true",,,,,,,"true","true","true",,,"true"
"Asian Counseling and Referral Service","206-695-7600","http://www.acrs.org","Bellevue","655 156th Ave SE
Bellevue, WA 98007
(47.604193, -122.131231)","By appointment only","true",,,,,,,,"true","true","true",,,
"Atlantic Street Center","206-329-2050","https://atlanticstreetcenter.org/","Seattle - Central District","2103 S Atlantic St
Seattle, WA 98144
(47.589562, -122.304661)",,"true",,,,,,,,,"true",,,,
"Catholic Community Services","206-256-9865","http://ccsww.org/get-help/addiction-recovery-services/matt-talbot-center/","Seattle - Downtown","2313 Third Ave
Seattle, WA 98121
(47.61513, -122.345506)",,,"true",,,,,,,"true",,"true",,,
"Catholic Community Services","206-956-9571","http://ccsww.org/get-help/child-youth-family-services/family-behavioral-health","Seattle - Central District","1902 2nd Avenue
Seattle, WA 98101
(47.611079, -122.340673)",,"true","true",,,,,,,"true",,"true",,,"true"
"Catholic Community Services *Counseling Recovery and Wellness","206-56-9570","https://ccsww.org/get-help/mental-health-services/crew-program/","Kent","1229 W Smith St
Kent, WA 98032
(47.382968, -122.249198)","Co-Occurring Disorders","true","true",,,,,,,"true",,,,,"true"
"Catholic Community Services *Counseling Recovery and Wellness","206-956-9570","https://ccsww.org/get-help/mental-health-services/crew-program/","Federal Way","33505 13th Place S
Federal Way, WA 98003
(47.301423, -122.316722)","Co-Occurring Disorders","true","true",,,,,,,"true",,,,,"true"
"Center for Human Services","206-362-7282","http://www.chs-nw.org/","Shoreline","17018 15th Ave NE
Shoreline, WA 98155
(47.752556, -122.313332)","Serves pregnant & parenting women, onsite daycare","true","true",,,,,,,"true","true",,"true",,"true"
"Center for Human Services","206-362-7282","http://www.chs-nw.org/","Shoreline","14803 15th Ave NE
Shoreline, WA 98155
(47.736609, -122.312806)",,"true",,,,,,,,"true","true",,"true",,
