"district_id","status","group_type","district_number","sub_district_number","countywide","name_1","name_2","abbr","state_code","contact","care_of","mail_city","mail_state","mail_country","mail_zip","phone_1","phone_2","fax","email","newspaper","letter","next_election","statute","partisan","rotates_by","exceptions","rotation_inventory","address_validation","comment_id","district_trans_id","ltd","timestamp","foreign_id","web_site","gen_field","location_1"
"28","A","CI","10","0","N","CITY OF COVINGTON",,"CV",,"SHARON SCOTT","CITY CLERK"," SUITE 100","COVINGTON","WA",,"98042","2536381110",,"2536381122",,"0",,,,"N",,"N",,,"0","3529","03:40.3",,"0","www.ci.covington.wa.us","16720 SE 271ST ST
,  "
"160","A","SEW","160","0","N","HIGHLANDS SEWER DISTRICT",,"HS",,"STEVEN BISHOP","BENSON & MCLAUGHLIN"," SUITE 1400","SEATTLE","WA",,"98121","2064410000000",,"2064411551",,"0",,,,"N",,"N",,,"0","3583","03:35.9",,"0",,"2201 SIXTH AVE
,  "
"36","A","CI","18","0","N","RURAL KING COUNTY",,"KI",,,"CLERK OF THE COUNCIL",,,,"0","2062961020",,,,,,,,"N",,"N",,,"0","0","1/1/1900 0:00","7797737","0",,,"402 COURT HOUSE
,  "
"25","A","CI","7","0","N","CITY OF BURIEN",,"BU",,"MONICA LUSK","CITY CLERK"," SUITE 300","BURIEN","WA",,"98166","2062485517",,"2062485539",,"0",,,,"N",,"N",,,"0","3604","08:02.2",,"0","www.burienwa.gov","400 SW 152ND ST
,  "
"111","A","LIB","1","0","N","RURAL KING COUNTY LIBRARY SYSTEM",,"KI",,,"DIRECTOR","ISSAQUAH","WA",,"98127","4254629600",,,,,,,,"N",,"N",,,"0","0","1/1/1900 0:00","00000000077976C8","0",,,"960 NEWORT WAY NW
,  "
"14","A","CG","1","0","N","CONGRESSIONAL DISTRICT NO. 1",,"1",,,,,,,,"0","0","0",,"0",,,,"N",,"N",,,"0","432","03:50.4","000000000F14FEA2","0",,,
"16","A","CG","7","0","N","CONGRESSIONAL DISTRICT NO. 7",,"7",,,,,,,,"0","0","0",,"0",,,,"N",,"N",,,"0","434","04:04.5","000000000F14FEA9","0",,,
"17","A","CG","8","0","N","CONGRESSIONAL DISTRICT NO. 8",,"8",,,,,,,,"0","0","0",,"0",,,,"N",,"N",,,"0","435","04:10.6","000000000F14FEAA","0",,,
"18","A","CG","9","0","N","CONGRESSIONAL DISTRICT NO. 9",,"9",,,,,,,,"0","0","0",,"0",,,,"N",,"N",,,"0","436","04:16.0","000000000F14FEAD","0",,,
"1","A","CC","1","0","N","COUNTY COUNCIL DISTRICT NO. 1",,"1",,,,,,,,"2062961020","0","0",,"0",,,,"N",,"N",,,"0","439","04:47.3","000000000F14FEBC","0",,,"402 KING COUNTY COURTHOUSE
,  "
