"file_no","thomas_guide_map","date_received","date_distributed","expiration_45_days","board_meeting","entity","action","title","view_map_image"
"2388 (1.9MB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/actions/2388.ashx)","626","2018-08-31T00:00:00.000","2018-09-18T00:00:00.000","2018-10-29T00:00:00.000","2018-10-11T00:00:00.000","City of Renton","Petition Method Annexation","Wolf Woods, Annexation",
"2387 (1.6MB PDF) (https://kingcounty.gov/~/media/depts/boundary-review-board/actions/2387.ashx)","598; 627","2018-07-27T00:00:00.000","2018-08-31T00:00:00.000","2018-10-14T00:00:00.000","2018-09-13T00:00:00.000","King County Fire Protection Dist. No. 27","Petition Method Merger","King County Fire District No. 27 Merger into King County Fire District No. 10",
"2381 (116kb pdf) (http://kingcounty.gov/~/media/depts/boundary-review-board/actions/2381.ashx)","626","2017-04-13T00:00:00.000","2017-04-20T00:00:00.000","2017-06-01T00:00:00.000","2017-05-11T00:00:00.000","City of Renton","Petition for Land Annexation","Tim D. Annexation",
"2380 (2.5MB PDF) (http://kingcounty.gov/~/media/depts/boundary-review-board/actions/2380.ashx)","536","2017-03-24T00:00:00.000","2017-03-30T00:00:00.000","2017-05-11T00:00:00.000","2017-04-13T00:00:00.000","City of Redmond","Petition Annexation","NE Rose Hill Area Annexation",
"2370 (298KB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2370.ashx)","717","2015-11-18T00:00:00.000","2015-11-24T00:00:00.000","2016-01-07T00:00:00.000","2015-12-10T00:00:00.000","City of Covington","Petition Annexation","Hawk Area Annexation",
"2367 (902KB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2367.ashx)","624","2015-06-04T00:00:00.000","2015-06-09T00:00:00.000","2015-07-20T00:00:00.000","2015-07-09T00:00:00.000","City of Seattle","Resolution by Seattle City Council for Land Annexation (Election Method)","North Highline Annexation - Area Y",
"2364 (155KB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2364.ashx)","715","2015-04-13T00:00:00.000","2015-04-15T00:00:00.000","2015-05-29T00:00:00.000","2015-05-04T00:00:00.000","Midway Sewer District","Annexation by Resolution","Argus Area",
"2363 (163KB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2363.ashx)","599","2015-04-01T00:00:00.000","2015-04-06T00:00:00.000","2015-05-16T00:00:00.000","2015-04-09T00:00:00.000","King County Fire Protection District No. 27","Petition Method Annexation","Harkleroad Annexation",
"2362 (2.1MB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2362.ashx)","660","2015-01-23T00:00:00.000","2015-01-27T00:00:00.000","2015-03-12T00:00:00.000","2015-02-12T00:00:00.000","City of North Bend","Petition Annexation","Salish Avenue SE Area Annexation",
"2359 (1.4MB PDF) (http://www.kingcounty.gov/~/media/depts/boundary-review-board/actions/2359.ashx)","597","2014-09-08T00:00:00.000","2014-09-10T00:00:00.000","2014-10-23T00:00:00.000","2014-10-16T00:00:00.000","City of Issaquah","Resolution for Land Annexation","City of Issaquah: Lake Sammamish State Park Annexation",
