"precinct","race","legislativedistrict","countycouncil","congressionaldistrict","countergroup","countertype","sumofcount"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","Times Counted","136"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","Times Under Voted","8"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","No","23"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","Yes","105"
"SHL 32-0001","King County Charter Amendment No. 1","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Times Counted","136"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Times Under Voted","13"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Write-in","0"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Toshiko Grace Hasegawa","82"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Peter Steinbrueck","41"
"SHL 32-0001","Port of Seattle Commissioner Position No. 4","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Times Counted","136"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Times Under Voted","34"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Write-in","2"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Laura Mork","100"
"SHL 32-0001","City of Shoreline Council Position No. 3","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","Times Counted","136"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","Times Under Voted","9"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","No","15"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","Yes","112"
"SHL 32-0001","King County Charter Amendment No. 2","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Times Counted","136"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Times Under Voted","32"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Eben Pobee","104"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Write-in","0"
"SHL 32-0001","City of Shoreline Council Position No. 5","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","King County Executive","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","King County Executive","32","1","7","Total","Times Counted","136"
"SHL 32-0001","King County Executive","32","1","7","Total","Times Under Voted","6"
"SHL 32-0001","King County Executive","32","1","7","Total","Write-in","3"
"SHL 32-0001","King County Executive","32","1","7","Total","Dow Constantine","72"
"SHL 32-0001","King County Executive","32","1","7","Total","Joe Nguyen","55"
"SHL 32-0001","King County Executive","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","Metropolitan King County Council District No. 1","32","1","7","Total","Registered Voters","549"
"SHL 32-0001","Metropolitan King County Council District No. 1","32","1","7","Total","Times Counted","136"
