"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"AUB 47-0056","Court of Appeals, Division No. 1, District No. 1","47","7","9","Total","NP","Times Over Voted","0.00"
"B-D 05-2407","Public Hospital District No. 1 Commissioner District No. 1 nonpartisan office","5","9","8","Total","NP","Write-in","0.00"
"BEL 48-0134","Court of Appeals, Division No. 1, District No. 1","48","6","8","Total","NP","Times Counted","96.00"
"BUR 11-0009","City of Burien Council Position No. 2 nonpartisan office","11","8","7","Total","NP","Registered Voters","220.00"
"BUR 11-0033","Court of Appeals, Division No. 1, District No. 1","11","8","7","Total","NP","Times Over Voted","0.00"
"BUR 11-0913","Court of Appeals, Division No. 1, District No. 1","11","8","7","Total","NP","Times Over Voted","0.00"
"BUR 33-0476","Court of Appeals, Division No. 1, District No. 1","33","8","9","Total","NP","Times Over Voted","0.00"
"BUR 34-0402","Court of Appeals, Division No. 1, District No. 1","34","8","9","Total","NP","Write-in","1.00"
"BUR 34-0848","Court of Appeals, Division No. 1, District No. 1","34","8","9","Total","NP","Times Over Voted","0.00"
"BUR 34-1192","City of Burien Council Position No. 4 nonpartisan office","34","8","9","Total","NP","Write-in","3.00"
"BURTON","Court of Appeals, Division No. 1, District No. 1","34","8","7","Total","NP","Times Over Voted","0.00"
"COV 47-2843","Court of Appeals, Division No. 1, District No. 1","47","9","8","Total","NP","Michael Spearman","87.00"
"COV 47-3551","Court of Appeals, Division No. 1, District No. 1","47","9","8","Total","NP","Michael Spearman","68.00"
"COV 47-3581","Court of Appeals, Division No. 1, District No. 1","47","9","8","Total","NP","Michael Spearman","56.00"
"CYPRESS","Court of Appeals, Division No. 1, District No. 1","30","7","9","Total","NP","Write-in","0.00"
"DOLPHIN","King County Proposition No. 1 Veterans and Human Services Levy","34","8","7","Total","NP","APPROVED","72.00"
"FAIRVILLE","Court of Appeals, Division No. 1, District No. 1","11","9","8","Total","NP","Michael Spearman","104.00"
"GOLDFINCH","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Times Blank Voted","15.00"
"GREEN RIVER","Court of Appeals, Division No. 1, District No. 1","31","9","8","Total","NP","Times Over Voted","0.00"
"HAAS","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Write-in","1.00"
"KEN 33-0588","City of Kent Council Position No. 5 nonpartisan office","33","5","9","Total","NP","Times Counted","118.00"
"KEN 33-1170","Court of Appeals, Division No. 1, District No. 1","33","5","8","Total","NP","Times Counted","86.00"
"KEN 33-2699","City of Kent Council Position No. 5 nonpartisan office","33","7","9","Total","NP","Charles Lambert","27.00"
"KEN 47-0753","City of Kent Council Position No. 5 nonpartisan office","47","5","8","Total","NP","Times Counted","123.00"
"KEN 47-0918","Court of Appeals, Division No. 1, District No. 1","47","5","8","Total","NP","Times Over Voted","0.00"
"KIR 32-2767","City of Kirkland Council Position No. 2 nonpartisan office","32","6","1","Total","NP","Write-in","1.00"
"KIR 45-0623","Court of Appeals, Division No. 1, District No. 1","45","6","1","Total","NP","Times Over Voted","0.00"
"KIR 45-0629","City of Kirkland Council Position No. 2 nonpartisan office","45","6","1","Total","NP","Write-in","2.00"
"KIR 45-2786","City of Kirkland Council Position No. 2 nonpartisan office","45","6","1","Total","NP","Times Over Voted","0.00"
"KIR 45-2924","Court of Appeals, Division No. 1, District No. 1","45","6","1","Total","NP","Times Over Voted","0.00"
"KIR 48-0615","Court of Appeals, Division No. 1, District No. 1","48","6","1","Total","NP","Times Over Voted","0.00"
"KIR 48-0638","City of Kirkland Council Position No. 2 nonpartisan office","48","6","1","Total","NP","Write-in","0.00"
"KIR 48-2788","City of Kirkland Council Position No. 2 nonpartisan office","48","6","1","Total","NP","Times Over Voted","0.00"
"KMR 32-0036","Court of Appeals, Division No. 1, District No. 1","32","1","1","Total","NP","Times Counted","192.00"
"MAPLE HILLS","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Michael Spearman","125.00"
"MONEYSMITH","Court of Appeals, Division No. 1, District No. 1","31","7","8","Total","NP","Times Counted","189.00"
"M-V 05-2614","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Times Over Voted","0.00"
"M-V 05-3245","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Times Over Voted","0.00"
"M-V 05-3368","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Times Over Voted","0.00"
"M-V 05-3536","Court of Appeals, Division No. 1, District No. 1","5","9","8","Total","NP","Times Over Voted","0.00"
"RANCH","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Write-in","0.00"
"RNT 11-0502","Court of Appeals, Division No. 1, District No. 1","11","5","9","Total","NP","Times Over Voted","0.00"
"RNT 11-0738","Court of Appeals, Division No. 1, District No. 1","11","5","9","Total","NP","Registered Voters","415.00"
"RNT 11-0996","Court of Appeals, Division No. 1, District No. 1","11","5","9","Total","NP","Registered Voters","520.00"
"RNT 41-3438","Court of Appeals, Division No. 1, District No. 1","41","9","8","Total","NP","Times Over Voted","0.00"
"RNT 47-3540","City of Renton Council Position No. 5 nonpartisan office","47","9","9","Total","NP","Write-in","0.00"
"RNT 47-3542","Court of Appeals, Division No. 1, District No. 1","47","9","8","Total","NP","Times Over Voted","0.00"
"SAM 05-0816","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Times Over Voted","0.00"
"SAM 05-2690","City of Sammamish Council Position No. 4 nonpartisan office","5","3","8","Total","NP","Write-in","1.00"
"SAM 05-2961","City of Sammamish Council Position No. 4 nonpartisan office","5","3","8","Total","NP","Write-in","0.00"
"SEA 11-1600","City of Seattle Referendum 1","11","8","7","Total","NP","Times Over Voted","0.00"
"SEA 36-1333","City of Seattle Referendum 1","36","4","7","Total","NP","Times Counted","123.00"
"SEA 36-2518","City of Seattle Referendum 1","36","4","7","Total","NP","Times Counted","151.00"
"SEA 37-1891","City of Seattle Referendum 1","37","2","7","Total","NP","APPROVED","73.00"
"SEA 37-1899","City of Seattle Referendum 1","37","2","7","Total","NP","APPROVED","51.00"
"SEA 43-1279","City of Seattle Referendum 1","43","2","7","Total","NP","Times Counted","116.00"
"SEA 43-1373","City of Seattle Referendum 1","43","2","7","Total","NP","Times Counted","160.00"
"SEA 43-2000","City of Seattle Referendum 1","43","4","7","Total","NP","Times Counted","136.00"
"SEA 43-2055","City of Seattle Referendum 1","43","2","7","Total","NP","Times Counted","69.00"
"SEA 43-2089","City of Seattle Referendum 1","43","2","7","Total","NP","APPROVED","12.00"
"SEA 43-2255","City of Seattle Referendum 1","43","2","7","Total","NP","Times Counted","156.00"
"SEA 46-2249","City of Seattle Referendum 1","46","2","7","Total","NP","Times Counted","119.00"
"SEA 46-2260","City of Seattle Referendum 1","46","1","7","Total","NP","Times Counted","176.00"
"SEA 46-2353","City of Seattle Referendum 1","46","1","7","Total","NP","APPROVED","34.00"
"SEA 46-2359","City of Seattle Referendum 1","46","1","7","Total","NP","Times Counted","124.00"
"SNQ 05-3558","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","APPROVED","38.00"
"TUK 11-1167","Court of Appeals, Division No. 1, District No. 1","11","5","9","Total","NP","Write-in","0.00"
"ALLEN","King County Proposition No. 1 Veterans and Human Services Levy","41","6","8","Total","NP","REJECTED","36.00"
"ALLEN","King County Proposition No. 1 Veterans and Human Services Levy","41","6","8","Total","NP","Times Blank Voted","1.00"
"ALLEN","King County Proposition No. 1 Veterans and Human Services Levy","41","6","8","Total","NP","Times Counted","98.00"
"ALLEN","King County Proposition No. 1 Veterans and Human Services Levy","41","6","8","Total","NP","Times Over Voted","0.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Jane Hague","34.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","John Creighton","31.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Patsy Bonincontri","4.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Registered Voters","350.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Richard E. Mitchell","21.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Times Blank Voted","8.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Times Counted","98.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Times Over Voted","0.00"
"ALLEN","Metropolitan King County Council District No. 6 nonpartisan office","41","6","8","Total","NP","Write-in","0.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Michael Spearman","77.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Registered Voters","554.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Times Blank Voted","58.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Times Counted","137.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Times Over Voted","0.00"
"ALPINE","Court of Appeals, Division No. 1, District No. 1","5","3","8","Total","NP","Write-in","2.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","APPROVED","76.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","Registered Voters","554.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","REJECTED","61.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","Times Blank Voted","0.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","Times Counted","137.00"
"ALPINE","King County Proposition No. 1 Veterans and Human Services Levy","5","3","8","Total","NP","Times Over Voted","0.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Michael Spearman","112.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Registered Voters","778.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Times Blank Voted","63.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Times Counted","181.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Times Over Voted","0.00"
"AMES LAKE","Court of Appeals, Division No. 1, District No. 1","45","3","8","Total","NP","Write-in","6.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","APPROVED","99.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","Registered Voters","778.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","REJECTED","82.00"
"ARIA","Court of Appeals, Division No. 1, District No. 1","47","9","8","Total","NP","Times Over Voted","0.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","Times Blank Voted","0.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","Times Counted","181.00"
"AMES LAKE","King County Proposition No. 1 Veterans and Human Services Levy","45","3","8","Total","NP","Times Over Voted","0.00"
