"race","registered_voters","votes_cast_in_this_race","choice","votes","percent"
"King County Proposition No. 1 Veterans and Human Services Levy","1094533","338255","APPROVED","226785","68.99956188"
"King County Proposition No. 1 Veterans and Human Services Levy","1094533","338255","REJECTED","101891","31.00043812"
"Metropolitan King County Council District No. 6 nonpartisan office","121139","37748","Patsy Bonincontri","2591","7.273594969"
"Metropolitan King County Council District No. 6 nonpartisan office","121139","37748","Richard E. Mitchell","10727","30.11341306"
"Metropolitan King County Council District No. 6 nonpartisan office","121139","37748","Jane Hague","13511","37.92880804"
"Metropolitan King County Council District No. 6 nonpartisan office","121139","37748","John Creighton","8655","24.29678289"
"Metropolitan King County Council District No. 6 nonpartisan office","121139","37748","Write-in","138","0.387401044"
"Metropolitan King County Council District No. 8 nonpartisan office","110649","38512","Joe McDermott","24277","68.2417428"
"Metropolitan King County Council District No. 8 nonpartisan office","110649","38512","Goodspaceguy","1667","4.685874912"
"Metropolitan King County Council District No. 8 nonpartisan office","110649","38512","Diana Toledo","9440","26.5354884"
"Metropolitan King County Council District No. 8 nonpartisan office","110649","38512","Write-in","191","0.536893886"
"Court of Appeals, Division No. 1, District No. 1","1094533","338255","Michael Spearman","214804","97.21441534"
"Court of Appeals, Division No. 1, District No. 1","1094533","338255","Write-in","6155","2.785584656"
"City of Burien Council Position No. 2 nonpartisan office","22330","6867","Greg Duff","1679","26.33312422"
"City of Burien Council Position No. 2 nonpartisan office","22330","6867","Ed Dacy","1547","24.26286073"
"City of Burien Council Position No. 2 nonpartisan office","22330","6867","Lucy Krakowiak","3113","48.82371393"
"City of Burien Council Position No. 2 nonpartisan office","22330","6867","Write-in","37","0.580301129"
"City of Burien Council Position No. 4 nonpartisan office","22330","6867","Gordon M. Shaw","2370","37.94428434"
"City of Burien Council Position No. 4 nonpartisan office","22330","6867","Joey Martinez","1005","16.09029779"
"City of Burien Council Position No. 4 nonpartisan office","22330","6867","Bob Edgar","2812","45.02081332"
"City of Burien Council Position No. 4 nonpartisan office","22330","6867","Write-in","59","0.944604547"
"City of Federal Way Council Position No. 3 nonpartisan office","40722","10747","Mark Koppang","2066","20.6084788"
"City of Federal Way Council Position No. 3 nonpartisan office","40722","10747","Roger Flygare","2274","22.68329177"
"City of Federal Way Council Position No. 3 nonpartisan office","40722","10747","Susan Honda","4787","47.75062344"
"City of Federal Way Council Position No. 3 nonpartisan office","40722","10747","Scott M. Sparling","826","8.239401496"
"City of Federal Way Council Position No. 3 nonpartisan office","40722","10747","Write-in","72","0.718204489"
"City of Lake Forest Park Mayor nonpartisan office","9390","3958","Dwight A. Thompson","1814","46.77668901"
"City of Lake Forest Park Mayor nonpartisan office","9390","3958","Mary Jane Goss","1925","49.63898917"
"City of Lake Forest Park Mayor nonpartisan office","9390","3958","Stan Lippmann","114","2.939659618"
"City of Lake Forest Park Mayor nonpartisan office","9390","3958","Write-in","25","0.644662197"
"City of Kirkland Council Position No. 2 nonpartisan office","47724","13440","Bob Sternoff","5429","45.83755488"
"City of Kirkland Council Position No. 2 nonpartisan office","47724","13440","Jason Gardiner","5712","48.22695035"
"City of Kirkland Council Position No. 2 nonpartisan office","47724","13440","Chuck Hinson","624","5.268490375"
"City of Kirkland Council Position No. 2 nonpartisan office","47724","13440","Write-in","79","0.66700439"
"City of Kirkland Council Position No. 6 nonpartisan office","47724","13440","Martin Morgan","2566","21.10370919"
"City of Kirkland Council Position No. 6 nonpartisan office","47724","13440","Dave Asher","6473","53.23628588"
"City of Kirkland Council Position No. 6 nonpartisan office","47724","13440","James A. (Jim) Hart","3046","25.05140225"
"City of Kirkland Council Position No. 6 nonpartisan office","47724","13440","Write-in","74","0.608602681"
"City of Kent Council Position No. 3 nonpartisan office","50664","13066","Les Thomas","5908","48.66156"
"City of Kent Council Position No. 3 nonpartisan office","50664","13066","Nancy Skorupa","3499","28.81970184"
"City of Kent Council Position No. 3 nonpartisan office","50664","13066","Jim Bennett","2660","21.90923318"
"City of Kent Council Position No. 3 nonpartisan office","50664","13066","Write-in","74","0.609504983"
"City of Kent Council Position No. 5 nonpartisan office","50664","13066","Charles Lambert","2743","22.740839"
"City of Kent Council Position No. 5 nonpartisan office","50664","13066","Gwen Allen","1785","14.79854087"
"City of Kent Council Position No. 5 nonpartisan office","50664","13066","Debbie Raplee","3259","27.01873653"
"City of Kent Council Position No. 5 nonpartisan office","50664","13066","Bill Boyce","4221","34.99419665"
"City of Kent Council Position No. 5 nonpartisan office","50664","13066","Write-in","54","0.447686951"
"City of Kent Council Position No. 7 nonpartisan office","50664","13066","Dana Ralph","5007","42.23534374"
"City of Kent Council Position No. 7 nonpartisan office","50664","13066","Michael S. Sealfon","3995","33.69886124"
"City of Kent Council Position No. 7 nonpartisan office","50664","13066","Suzanne Smith","2793","23.55967946"
"City of Kent Council Position No. 7 nonpartisan office","50664","13066","Write-in","60","0.506115563"
"City of Milton Mayor nonpartisan office, unexpired 2-year term","579","218","Caleb Lewis","45","20.73732719"
"City of Milton Mayor nonpartisan office, unexpired 2-year term","579","218","Leonard Sanderson","59","27.18894009"
"City of Milton Mayor nonpartisan office, unexpired 2-year term","579","218","Debra Perry","111","51.15207373"
"City of Milton Mayor nonpartisan office, unexpired 2-year term","579","218","Write-in","2","0.921658986"
"City of Newcastle Council Position No. 4 nonpartisan office","6203","1749","Andrew T. Shelton","95","5.846153846"
"City of Newcastle Council Position No. 4 nonpartisan office","6203","1749","Frank Irigon","373","22.95384615"
"City of Newcastle Council Position No. 4 nonpartisan office","6203","1749","Gordon A. Bisset","1145","70.46153846"
"City of Newcastle Council Position No. 4 nonpartisan office","6203","1749","Write-in","12","0.738461538"
"City of Renton Council Position No. 5 nonpartisan office","42903","11104","Mark Martinez","2942","28.33750722"
"City of Renton Council Position No. 5 nonpartisan office","42903","11104","Ed Prince","4249","40.92660374"
"City of Renton Council Position No. 5 nonpartisan office","42903","11104","Robin H. Jones","3141","30.25428626"
"City of Renton Council Position No. 5 nonpartisan office","42903","11104","Write-in","50","0.481602774"
"City of Sammamish Council Position No. 4 nonpartisan office","27268","6875","Jim Wasnick","1791","28.05011746"
"City of Sammamish Council Position No. 4 nonpartisan office","27268","6875","John Galvin","1584","24.80814409"
"City of Sammamish Council Position No. 4 nonpartisan office","27268","6875","Ramiro Valderrama","2939","46.02975724"
