"impound_no","data_source","record_type","link","current_location","animal_name","animal_type","age","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-150565","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671716","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Huga","Dog","6 YEARS","Spayed Female","Cane Corso","Black","2022-09-02T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671716","Image Copyright HLP Inc. 2022","Received on: 2022-09-02<p/> Description: Black<p/>  Spayed Female Cane Corso Dog<p/> Age: 6 YEARS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Huga and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on September 2, 2022.<p/><p/>I weigh 141.5 lbs and am considered a ""Extra large breed"" dog.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>"
"K22-150103","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671178","North Gate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125","French Fry","Cat","7 YEARS","Spayed Female","Domestic Shorthair","Brn Tabby","2022-08-24T00:00:00.000","Received on",,,,,,,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671178","Image Copyright HLP Inc. 2022","Received on: 2022-08-24<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 7 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: North Gate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125<p/>Hi! My name is French Fry and I am available for adoption at the North Gate Petco!<p/><p/>I was brought in by a good Samaritan on 08/24/2022.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/><p/>"
"K22-150624","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671846","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Levi","Cat","2 YEARS","Neutered Male","Domestic Shorthair","Brn Tabby","2022-09-06T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671846","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Levi and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on September 6th, 2022.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>Levi received a basic physical exam, in addition to routine vaccines, deworming, and topical flea preventative, if indicated.  Although Levi is ready for adoption, there is always a possibility of additional medical conditions that have not been detected or may develop in the future.  Current medical conditions are noted below.<p/><p/>1) Dental disease that will require dental cleaning and possible extractions under anesthesia. <p/><p/>Additional care for these conditions may be needed after adoption. Please follow up with your regular veterinarian.<p/><p/><p/>"
"K22-150606","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671800","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Mater","Dog","2 YEARS","Neutered Male","Mastiff / Mix","Tan / White","2022-09-04T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671800","Image Copyright HLP Inc. 2022","Received on: 2022-09-04<p/> Description: Tan / White<p/>  Neutered Male Mastiff / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $225.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mater and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 9/4/22.<p/><p/>I weigh 72.5 lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"",""come"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other [small dogs/large dogs]. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>"
"K22-149642","Regional Animal Services of King County","ADOPTABLE","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Quicksilver","Cat","14 WEEKS","Neutered Male","Domestic Shorthair","Black","2022-07-10T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KING COUNTY","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A667845","Image Copyright HLP Inc. 2022","Received on: 2022-07-10<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Quicksilver and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on July 10, 2022.<p/><p/>I am a sweet kitten who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>"
"K22-150442","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671524","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Pete","Rabbit Sh","2 YEARS","Spayed Female","Rabbit Sh","White","2022-08-30T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671524","Image Copyright HLP Inc. 2022","Received on: 2022-08-30<p/> Description: White<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Pete and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 8/30/22.<p/><p/>Rabbits are intelligent and complex animals who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay! <p/><p/>I am a domestic rabbit and it is recommend that adopters keep me indoors. The nice thing about having an indoor rabbit is that I can come out of my cage for bunny playtime, in a rabbit proof area of the home. It's during this supervised playtime that rabbits often exhibit some of our most fun and interesting behaviors!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment we need, we often form deep bonds with our humans!<p/><p/>My personality color is BLUE. I am a gentle and loving rabbit who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>"
"K22-149243","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A669640","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Jazzadelic","Cat","3 YEARS 1 MONTH","Neutered Male","Domestic Shorthair","Brn Tabby","2022-08-03T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669640","Image Copyright HLP Inc. 2022","Received on: 2022-08-03<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jazzadelic and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 08/04/22.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>Jazzadelic received a basic physical exam, in addition to routine vaccines, deworming, and topical flea preventative, if indicated.  Although Jazzadelic is ready for adoption, there is always a possibility of additional medical conditions that have not been detected or may develop in the future.  Current medical conditions are noted below.<p/><p/>1)  Feline Immunodeficiency Virus Infection (FIV)- FIV is a viral infection that is transmitted between cats usually through fighting.  This is a lifelong infection with no cure.  FIV cats can have shorter lifespans, however many of them can live many years in good health with proper management and care.  Please refer to the information handout provided.<p/><p/>2)  Ear infection in both ears.  Please give medication as prescribed.  We recommend you follow up with your regular veterinarian.<p/><p/>3)  Minor scabs- He was given a long lasting antibiotic injection.<p/><p/>Additional care for these conditions may be needed after adoption. Please follow up with your regular veterinarian.<p/><p/><p/><p/>"
"K22-150614","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671812","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Artemis","Cat","1 YEAR","Spayed Female","Domestic Shorthair","Tortie","2022-09-04T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671812","Image Copyright HLP Inc. 2022","Received on: 2022-09-04<p/> Description: Tortie<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Artemis and I am available for adoption.<p/><p/><p/>I was brought in by an Animal Control Officer on September 04, 2022.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I may not get along with other cats, so I may do best as the only cat in my new home.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>"
"K22-147745","Regional Animal Services of King County","ADOPTABLE","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Milton","Cat","4 MONTHS","Neutered Male","Domestic Mediumhair","Black / White","2022-06-26T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A666486","Image Copyright HLP Inc. 2022","Received on: 2022-06-26<p/> Description: Black / White Neutered Male Domestic Mediumhair Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is MILTON and I am available for adoption!<p/><p/>I was brought in by a good Samaritan on 06/18/2022<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>Your new pet received a basic physical exam, in addition to routine vaccines, deworming, and topical flea preventative, if indicated.  Although your new pet is ready for adoption, there is always a possibility of additional medical conditions that have not been detected or may develop in the future.  Current medical conditions are noted below.<p/><p/>1)    FeLV<p/><p/>This cat tested positive for Feline Leukemia Virus (FeLV).  Cats infected with this virus may have an active, or latent infection.  Active infection leads to immunosuppression, increased susceptibility to disease, or lymphosarcoma.  Infected cats are expected to have a decreased lifespan and will require additional veterinary care.  However, with care, these cat may have a good quality of life for months to years.  FeLV is transmitted to other cats through saliva and activities such as sharing water bowls, communal grooming and social contact.  For this reason, this cat should be kept as a single cat or with other FeLV positive cats.  Please consult with your regular veterinarian for additional information and a management plan for your new pet.<p/><p/><p/>Additional care for these conditions may be needed after adoption. Please follow up with your regular veterinarian.<p/><p/><p/><p/>"
"K22-150715","Regional Animal Services of King County","ADOPTABLE","https://petharbor.com/pet.asp?uaid=KING.A671967","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Jade","Cat","3 YEARS","Spayed Female","Domestic Shorthair","Tortie","2022-09-07T00:00:00.000","Received on","21615 64TH AVE S","KENT","WA","98032","KENT","47.407788","-122.255197","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671967","Image Copyright HLP Inc. 2022","Received on: 2022-09-07<p/> Description: Tortie<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jade and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on September 07, 2022.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home! I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/>"
