City,Agency,Location,Suite,Telephone,License Mailers Available?,License Tags Available?,Notes,Zip Codes
Auburn,Forest Hill Veterinary Hospital,"3240 Auburn Way S
Auburn, WA 98092
(47.28827938077609, -122.18519787472644)",,253-833-9100,Y,N,,18080
Auburn,Del's Feed & Farm Supply,"1650 West Valley Hwy
Auburn, WA 98001
(47.29395410278096, -122.25981462349745)",,253 833-3550,Y,N,,31844
Auburn,A Valley Animal Hospital,"3615 W Valley Hwy
Auburn, WA 98001
(47.34007133644343, -122.24952637948223)",Ste 102,253-833-6701,Y,N,,31844
Auburn,Creature Comforts Kennels,"36215 55th Ave S
Auburn, WA 98001
(47.27607558083844, -122.26647859973457)",,253 833-5177,Y,N,,31844
Auburn,Creekside Critter Care,"35534 227th Ave SE
Auburn, WA 98092
(47.28378277062956, -122.04000233309591)",Ste 244,206 249-1697,Y,N,,18080
Auburn,Designs in Fur,"30035 47th Pl S
Auburn, WA 98001
(47.33211233648416, -122.27552577934932)",,253 839-8814,Y,N,,31844
Auburn,Auburn Valley Animal Clinic,"1306 Harvey Rd
Auburn, WA 98002
(47.319781424990985, -122.2195774220517)",,253-939-0630,Y,N,,31845
Auburn,Auburn Veterinary Hospital,"718 Auburn Way N
Auburn, WA 98002
(47.31356337744637, -122.22505376525261)",,253 833-4510,Y,N,,31845
Auburn,Muckleshoot Library,"39917 Auburn-Enumclaw Rd SE
Auburn, WA 98092
(47.243934107828736, -122.11293099503175)",,253 931-6779,Y,N,,18080
Auburn,Green River Veterinary Hospital,"4212 Auburn Way N
Auburn, WA 98002
(47.34488270930018, -122.22227692199448)",,253-854-4414,Y,N,,31845
Auburn,Flaming Geyser State Park,"23700 SE Flaming Geyser Rd
Auburn, WA 98092
(47.28019473525219, -122.04186538114931)",,360 886-0148,Y,N,,18080
Bellevue,Banfield Veterinary Hospital,"100 108th Ave NE
Bellevue, WA 98004
(47.61060538929746, -122.19615161704331)",,425-454-7023,Y,N,,31848
Bellevue,Animal Wellness Center,"2115 112th Ave NE
Bellevue, WA 98004
(47.62937256542375, -122.19103891577308)",Ste 100,425-455-8900,Y,N,,31848
Bellevue,Companion Animal Hospital,"1827 156th Ave NE
Bellevue, WA 98007
(47.62682915870607, -122.1324436444877)",,425-746-1800,Y,N,,31853
