"dataset_link","u_id","public","derived_view","parent_uid","domain","type","name","description","visits","creation_date","last_update_date_data","category","keywords","downloads","owner","contactemail","license","publication_stage","published_version_name","published_version_uid","data_provided_by","routing_approval","api_endpoint","source_link","publishing_department","owner_uid","provenance"
"https://data.kingcounty.gov/d/v3s3-gxuf","v3s3-gxuf","true","false",,"data.kingcounty.gov","dataset","2009 Primary - Election Results by precinct (complete eCanvass dataset)","August 2009 primary election; final/official results by precinct.","334826","2010-08-24T05:11:00.000Z","2011-08-21T02:53:00.000Z","Voting & Elections","2009,2009 primary,primary,elections,results,precinct,ecanvass","3672","Janice","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/v3s3-gxuf.json","http://www.kingcounty.gov/elections/results.aspx",,"dqgp-vryk","official"
"https://data.kingcounty.gov/d/4h7u-3cfs","4h7u-3cfs","true","false",,"data.kingcounty.gov","dataset","2010 Primary - Election Results by precinct (complete eCanvass dataset)","August 2010 primary election; final/official results by precinct.","338104","2010-09-22T17:58:00.000Z","2011-08-21T02:53:00.000Z","Voting & Elections","2010,2010 primary,primary,elections,results,precinct,ecanvass","4160","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/4h7u-3cfs.json","http://www.kingcounty.gov/elections/results",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/jet5-cigp","jet5-cigp","true","false",,"data.kingcounty.gov","dataset","2010 General - Election Results by precinct (complete eCanvass dataset)","November 2010 election; final/official results by precinct.","345382","2010-11-30T00:36:00.000Z","2011-08-21T02:53:00.000Z","Voting & Elections","2010,2010 general,general,elections,results,precinct,ecanvass","3987","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/jet5-cigp.json","http://www.kingcounty.gov/elections",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/a29e-gcic","a29e-gcic","true","false",,"data.kingcounty.gov","dataset","2010 General - Election results - State Senator LD 41 recount","November 2010 general election - recount dataset for the State Senator Legislative District 41","6172","2010-12-04T00:35:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2010,2010 general,general,elections,results,precinct,ecanvass,recount","3344","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/a29e-gcic.json","http://www.kingcounty.gov/elections",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/78i8-98rd","78i8-98rd","true","false",,"data.kingcounty.gov","dataset","2010 Special April - Election Results by precinct (complete eCanvass dataset)","April 2010 special election; final/official results by precinct.","5200","2011-02-03T17:47:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2010,2010 special,special,elections,results,precinct,ecanvass","3836","jeffhsu","",,"published",,,"King County Elections",,"https://data.kingcounty.gov/resource/78i8-98rd.json","http://www.kingcounty.gov/elections.aspx",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/c34s-iuef","c34s-iuef","true","false",,"data.kingcounty.gov","dataset","2009 General - Election Results by precinct (complete eCanvass dataset)","November 2009 general election; final/official results by precinct.","338533","2011-02-09T17:22:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2009,2009 general,general,elections,results,precinct,ecanvass","3802","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/c34s-iuef.json","http://www.kingcounty.gov/elections.aspx",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/d4y4-sjx2","d4y4-sjx2","true","false",,"data.kingcounty.gov","dataset","2010 Special February - Election Results by precinct (complete eCanvass dataset)","February 2010 special election; final/official results by precinct.","334179","2011-02-09T18:41:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2010,2010 special,special,elections,results,precinct,ecanvass","4026","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/d4y4-sjx2.json","http://www.kingcounty.gov/elections.aspx",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/pccn-qvps","pccn-qvps","true","false",,"data.kingcounty.gov","dataset","2009 Special March - Election Results by precinct (complete eCanvass dataset)","March 2009 special election; final/official results by precinct.","6937","2011-02-11T17:41:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2009,2009 special,special,elections,results,precinct,ecanvass","3176","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/pccn-qvps.json","http://www.kingcounty.gov/elections.aspx",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/pg4p-fsqw","pg4p-fsqw","true","false",,"data.kingcounty.gov","dataset","2009 Special February - Election Results by precinct (complete eCanvass dataset)","February 2009 special election; final/official results by precinct.","38882","2011-02-11T18:09:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2009,2009 special,special,elections,results,precinct,ecanvass","38235","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/pg4p-fsqw.json","http://www.kingcounty.gov/elections.aspx",,"zw63-9v9t","official"
"https://data.kingcounty.gov/d/8ih8-hp62","8ih8-hp62","true","false",,"data.kingcounty.gov","dataset","2008 Special May - Election Results by precinct (complete eCanvass dataset)","May 2008 special election; final/official results by precinct.","5304","2011-02-11T19:19:00.000Z","2011-08-21T02:54:00.000Z","Voting & Elections","2008,2008 special,special,elections,results,precinct,ecanvass","3176","jeffhsu","","Public Domain","published",,,"King County Elections",,"https://data.kingcounty.gov/resource/8ih8-hp62.json","http://www.kingcounty.gov/elections",,"zw63-9v9t","official"
