"method","city","parameter","county_code","aqi","cbsa","latitude","observation_percent","state","units_of_measure","date_local","parameter_code","arithmetic_mean","cbsa_code","datum","observation_count","method_code","longitude","county","poc","site_number","event_type","first_max_hour","state_code","site_address","pollutant_standard","sample_duration","first_max_value","date_of_last_change","validity_indicator","local_site_name","location"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","16.0","Seattle-Tacoma-Bellevue, WA","47.5525","71.0","Washington","Parts per million","2018-09-30","44201","0.0135","42660","WGS84","12.0","087","-122.064722","King","1.0","0010","None","11.0","53","2000 NW SAMMAMISH RD","Ozone 8-hour 2015","8-HR RUN AVG BEGIN HOUR","0.017","2019-04-16","N","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","16.0","Seattle-Tacoma-Bellevue, WA","47.5525","79.0","Washington","Parts per million","2018-09-30","44201","0.010053","42660","WGS84","19.0","087","-122.064722","King","1.0","0010","None","11.0","53","2000 NW SAMMAMISH RD","Ozone 8-Hour 2008","8-HR RUN AVG BEGIN HOUR","0.017","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","16.0","Seattle-Tacoma-Bellevue, WA","47.5525","79.0","Washington","Parts per million","2018-09-30","44201","0.010053","42660","WGS84","19.0","087","-122.064722","King","1.0","0010","None","11.0","53","2000 NW SAMMAMISH RD","Ozone 8-Hour 1997","8-HR RUN AVG BEGIN HOUR","0.017","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033",,"Seattle-Tacoma-Bellevue, WA","47.5525","96.0","Washington","Parts per million","2018-09-30","44201","0.009652","42660","WGS84","23.0","087","-122.064722","King","1.0","0010","None","16.0","53","2000 NW SAMMAMISH RD","Ozone 1-hour 1979","1 HOUR","0.021","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","24.0","Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-29","44201","0.017471","42660","WGS84","17.0","087","-122.064722","King","1.0","0010","None","13.0","53","2000 NW SAMMAMISH RD","Ozone 8-hour 2015","8-HR RUN AVG BEGIN HOUR","0.026","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","24.0","Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-29","44201","0.013625","42660","WGS84","24.0","087","-122.064722","King","1.0","0010","None","13.0","53","2000 NW SAMMAMISH RD","Ozone 8-Hour 2008","8-HR RUN AVG BEGIN HOUR","0.026","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","24.0","Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-29","44201","0.013625","42660","WGS84","24.0","087","-122.064722","King","1.0","0010","None","13.0","53","2000 NW SAMMAMISH RD","Ozone 8-Hour 1997","8-HR RUN AVG BEGIN HOUR","0.026","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033",,"Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-29","44201","0.013208","42660","WGS84","24.0","087","-122.064722","King","1.0","0010","None","16.0","53","2000 NW SAMMAMISH RD","Ozone 1-hour 1979","1 HOUR","0.029","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","23.0","Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-28","44201","0.010765","42660","WGS84","17.0","087","-122.064722","King","1.0","0010","None","9.0","53","2000 NW SAMMAMISH RD","Ozone 8-hour 2015","8-HR RUN AVG BEGIN HOUR","0.025","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","Issaquah","Ozone","033","23.0","Seattle-Tacoma-Bellevue, WA","47.5525","100.0","Washington","Parts per million","2018-09-28","44201","0.009208","42660","WGS84","24.0","087","-122.064722","King","1.0","0010","None","9.0","53","2000 NW SAMMAMISH RD","Ozone 8-Hour 2008","8-HR RUN AVG BEGIN HOUR","0.025","2019-04-16","Y","ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park)","POINT (-122.064722 47.5525)"
