"race","precinct","cc","leg","cong","party","countertype","countergroup","count"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","34.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Write-in","Absentee","1.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Write-in","Polling","0.00"
"Commissioner of Public Lands","ALDER SPRINGS","3","45","1","NP","Write-in","Total","1.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Linda Lau","Absentee","159.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Linda Lau","Polling","62.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Linda Lau","Total","221.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Registered Voters","Total","502.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Absentee","138.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Polling","62.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Blank Voted","Total","200.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Counted","Absentee","303.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Counted","Polling","124.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Counted","Total","427.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Absentee","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Polling","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Times Over Voted","Total","0.00"
"Court of Appeals, Division No. 1 - District No. 1 Judge Position 5 Short and full term","ALDER SPRINGS","3","45","1","NP","Write-in","Absentee","6.00"
