Clinic,Phone,Website,Services,Location,Location 1,Zip Codes,City Kc Area
Kaiser Permanete - Nathan Hale High School,(206) 302-1840,https://halehs.seattleschools.org/services/teen_health_center,Comprehensive medical and mental health services,"10750 30TH AVE NE, SEATTLE, WA, 98125
(47.7076174, -122.2946522)","10750 30TH AVE NE
SEATTLE, WA 98125
(47.7076174, -122.2946522)",19579,101
Swedish Medical Center - Gibson Ek Innovative High School,(425) 837-6873,https://issaquah.wednet.edu/docs/default-source/district/family-resources/Health/mentalhealth-swedish.pdf?sfvrsn=2,Mental health services,"379 1ST AVE SE, ISSAQUAH, WA, 98027 (47.526792, -122.034348)","379 1st Ave SE
Issaquah, WA 98027
(47.526792, -122.034348)",17354,21
Odessa Brown Children's Clinic - Madrona K-8,(206) 252-3100,,Comprehensive medical and mental health services,"1121 33RD AVE, SEATTLE, WA, 98122 (47.612623, -122.290924)","1121 33rd Ave
SEATTLE, WA 98122
(47.612623, -122.290924)",19578,101
Neighborcare Health - Hamilton International Middle School,(206) 940-2582,https://hamiltonms.seattleschools.org/services/counseling_center,Mental health services,"1610 N 41ST ST, SEATTLE, WA, 98103 (47.657907, -122.338233)","1610 N 41ST ST
SEATTLE, WA 98103
(47.657907, -122.338233)",18377,101
International Community Health Services - Highland Middle School,(425) 456-6453,https://www.ichs.com/ichs-locations/sws-nova/,Comprehensive medical and mental health services,"15027 Bel-Red Rd, BELLEVUE, WA, 98007 (47.626752, -122.140111)","15027 Bel-Red Road
BELLEVUE, WA 98007
(47.626752, -122.140111)",31853,6
Neighborcare Health - Mercer Middle School,(206) 762-2394,https://neighborcare.org/clinics/mercer-middle-school/,Comprehensive medical and mental health services,"1600 SOUTH COLUMBIAN WAY, SEATTLE, WA, 98108
(47.5640958, -122.3120601)","1600 SOUTH COLUMBIAN WAY
SEATTLE, WA 98108
(47.5640958, -122.3120601)",18388,101
Health Point - Evergreen High School ,(425) 226-7039,http://www.healthpointchc.org/health-centers/evergreen-campus,Comprehensive medical and mental health services,"830 SW 116TH ST, SEATTLE, WA, 98146
(47.4996572, -122.3446813)","830 SW 116TH ST
SEATTLE, WA 98146
(47.4996572, -122.3446813)",17920,40
Kaiser Permanete - Aki Kurose Middle School,(206) 326-2141,https://kurosems.seattleschools.org/services/community_partners,Comprehensive medical and mental health services,"3928 GRAHAM ST, SEATTLE, WA, 98118
(47.5466329, -122.2820932)","3928 GRAHAM ST
SEATTLE, WA 98118
(47.5466329, -122.2820932)",18800,101
Neighborcare Health - Bailey Gatzert Elementary,(206) 548-3162,https://neighborcare.org/clinics/bailey-gatzert-elementary/,Comprehensive medical and mental health services,"1301 E YESLER WAY, SEATTLE, WA, 98122
(47.6011701, -122.3155687)","1301 E YESLER WAY
SEATTLE, WA 98122
(47.6011701, -122.3155687)",19578,101
Public Health - Cleveland High School,(206) 296-0537,https://clevelandhs.seattleschools.org/services/school-based_health_center,Comprehensive medical and mental health services,"5511 15TH AVE S, SEATTLE, WA, 98108
(47.5523623, -122.314021)","5511 15TH AVE S
SEATTLE, WA 98108
(47.5523623, -122.314021)",18388,101
Swedish Medical Center - Woodinville High School,(425) 408-7502,,Mental health services,"19819 136TH AVE NE, WOODINVILLE, WA, 98072 (47.771428, -122.161095)","19819 136th Ave NE
Woodinville, WA 98072
(47.771428, -122.161095)",18071,94
Public Health - Ingraham High School,(206) 205-0430,https://ingrahamhs.seattleschools.org/services/teen_health_center,Comprehensive medical and mental health services,"1819 N 135TH ST, SEATTLE, WA, 98133
(47.7260638, -122.3379078)","1819 N 135TH ST
SEATTLE, WA 98133
(47.7260638, -122.3379078)",19582,101
Neighborcare Health - Madison Middle School,(206) 933-7842,https://neighborcare.org/clinics/madison-middle-school/,Comprehensive medical and mental health services,"3429 45TH AVE SW, SEATTLE, WA, 98116
(47.5725308, -122.3907689)","3429 45TH AVE SW
SEATTLE, WA 98116
(47.5725308, -122.3907689)",18795,101
Neighborcare Health - Van Asselt Elementary,(206) 548-3168,https://neighborcare.org/clinics/van-asselt-elementary/,Comprehensive medical and mental health services,"8311 BEACON AVE S, SEATTLE, WA, 98118
(47.5290101, -122.2888967)","8311 BEACON AVE S
SEATTLE, WA 98118
(47.5290101, -122.2888967)",18800,101
Odessa Brown Children's Clinic - Beacon Hill,(206) 252-2700,,Comprehensive medical and mental health services,"2025 14th AVE S, SEATTLE, WA,  98144 (47.585245, -122.315389)","2025 14th Ave S
SEATTLE, WA 98144
(47.585245, -122.315389)",17919,101
