Building Name,Description,Street Address,URL,Phone,Location 1
Cottage Wood Apts ,,4025 Southcenter Blvd,,(206) 246-4201,"4025 Southcenter Blvd
Tukwila, WA 98188
(47.46556, -122.282425)"
Wonderland Estates,Manufactured Homes,14645 S.E. Renton-Maple Valley Road,https://www.kcha.org/housing/property.aspx?PropertyID=116,(425) 255-8240,"14645 S.E. Renton-Maple Valley Road
Renton, WA 98058
(47.46619, -122.143286)"
Bellepark East,Moderate-Income Housing,16203 N.E. 13th Place,https://www.kcha.org/housing/property.aspx?PropertyID=8,(425) 746-4014,"16203 N.E. 13th Place
Bellevue, WA 98008
(47.621718, -122.123054)"
Glennwood Townhomes,Affordable Housing,1141 & 1147 Glenwood Avenue NE,http://www.rentonhousing.org/subsidized-housing.html,425-226-1853,"1141 & 1147 Glenwood Avenue NE
Renton, WA 98058"
Hirabayashi Place,Affordable Housing,442 S. Main St.,http://www.hirabayashiplace.com/index.html,(206) 331-2517,"442 S. Main St.
Seattle, WA 98104
(47.600053, -122.328387)"
Fairwood,Other Rental Housing,14300 S.E. 171st Way,https://www.kcha.org/housing/property.aspx?PropertyID=36,(425) 255-8970,"14300 S.E. 171st Way
Renton, WA 98058
(47.446605, -122.150271)"
Youngs Lake Commons,Subsidized Housing,18923 115th Lane S.E.,https://www.kcha.org/housing/property.aspx?PropertyID=122,(253) 856-1889,"18923 115th Lane S.E.
Renton, WA 98055
(47.432071, -122.187845)"
Harbor Steps,,1221 First Avenue ,http://www.harborsteps.com/main.htm,206-866-0497,"1221 First Avenue
Seattle, WA 98101
(47.606323, -122.337733)"
Ballard House,Affordable Housing,2445 NW 57th St,https://www.seattlehousing.org/housing/public/locations/ballard-house/,206-721-2997,"2445 NW 57th St
Seattle, WA 98107
(47.670168, -122.389716)"
Northridge I,Subsidized Housing,1540 N.E. 177th St.,https://www.kcha.org/housing/property.aspx?PropertyID=73,(206) 574-1226,"1540 N.E. 177th St.
Shoreline, WA 98155
(47.757501, -122.311968)"
Appian Way Apartments,Affordable Housing/Mercy Housing,25818 26th PL S ,,(253) 941-5026,"25818 26th PL S
Kent, WA 98032
(47.369968, -122.298456)"
Boulevard Manor,Subsidized Housing,12039 Roseberg Ave. S.,https://www.kcha.org/housing/property.aspx?PropertyID=11,(206) 693-6400,"12039 Roseberg Ave. S.
Burien, WA 98168
(47.494402, -122.307993)"
Nia,Subsidized Housing,9935 Eighth Ave. S.W.,https://www.kcha.org/housing/property.aspx?PropertyID=68,(206) 529-3233,"9935 Eighth Ave. S.W.
Seattle, WA 98106
(47.514362, -122.34521)"
Citizen Apartments,,1222 E Madison Street,http://citizenapartments.com/,(206) 621.8888,"1222 E Madison Street
Seattle, WA 98122
(47.613249, -122.315779)"
Cascadian,Other Rental Housing,15517 N.E. 12th St.,https://www.kcha.org/housing/property.aspx?PropertyID=25,(425) 747-3567,"15517 N.E. 12th St.
Bellevue, WA 98008
(47.62059, -122.133326)"
Park Royal,Subsidized Housing,18309 96th Ave N.E.,https://www.kcha.org/housing/property.aspx?PropertyID=77,(206) 574-1143,"18309 96th Ave N.E.
Bothell, WA 98011
(47.761441, -122.212407)"
Pickering Court,Subsidized Housing,7800 Pickering Court S.E.,https://www.kcha.org/housing/property.aspx?PropertyID=80,(253) 804-0877,"7800 Pickering Court S.E.
Snoqualmie, WA 98065
(47.530529, -121.830013)"
New Holly,Affordable Housing,3815 S Othello Street,http://www.seattlehousing.org/redevelopment/newholly/,206-615-3300,"3815 S Othello Street
Seattle, WA 98118
(47.537028, -122.284302)"
Echo Cove,Subsidized Housing,19428 Aurora Ave. N.,https://www.kcha.org/housing/property.aspx?PropertyID=34,(206) 574-1253,"19428 Aurora Ave. N.
Shoreline, WA 98133
(47.76975, -122.345961)"
Federal Way Duplexes,Nonprofit Partnerships,29211-29221 18th Ave. S.,https://www.kcha.org/housing/property.aspx?PropertyID=37,(206) 302-2300,"29211-29221 18th Ave. S.
Federal Way, WA 98003
(47.340164, -122.310659)"
Ava Capitol Hill,,1530 Belmont Ave,,(855) 342-3256,"1530 Belmont Ave
Seattle, WA 98122
(47.61444, -122.324478)"
708 Uptown,,708 6th Ave N,http://www.greystar.com/properties/708-uptown-apartments/11287,(206) 453-5585,"708 6th Ave N
Seattle, WA 98109
(47.625752, -122.344956)"
Kirkland Place,Subsidized Housing,419-421 Seventh Ave.,https://www.kcha.org/housing/property.aspx?PropertyID=55,(206) 574-1141,"419-421 Seventh Ave.
Kirkland, WA 98033
(47.680507, -122.200799)"
Parkwood,Moderate-Income Housing,26435 104th Ave. S.E.,https://www.kcha.org/housing/property.aspx?PropertyID=79,(253) 859-8858,"26435 104th Ave. S.E.
Kent, WA 98030
(47.364115, -122.202211)"
Brookhaven Apartments,,30823 18th Ave S,,(253) 946-9325,"30823 18th Ave S
Federal Way, WA 98003
(47.325371, -122.31074)"
Victorian Woods,Subsidized Housing,22418 30th Ave. S.,https://www.kcha.org/housing/property.aspx?PropertyID=107,(206) 957-3605,"22418 30th Ave. S.
Des Moines, WA 98198
(47.400236, -122.295385)"
