"race","precinct","legislative_district","county_council","congressional","candidate","count"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Jim Ferrell","55"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Linda Kochmar","51"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Mike Park","49"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Registered Voters","464"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Skip Priest","55"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Times Blank Voted","12"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Times Counted","222"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2988","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Jim Ferrell","22"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Linda Kochmar","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Mike Park","21"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Registered Voters","384"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Skip Priest","29"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Times Blank Voted","7"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Times Counted","106"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2990","30","7","9","Write-in","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Jim Ferrell","27"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Linda Kochmar","31"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Mike Park","29"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Registered Voters","314"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Skip Priest","37"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Times Blank Voted","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Times Counted","134"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Times Over Voted","0"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2991","30","7","9","Write-in","5"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Jim Ferrell","24"
"City of Federal Way Mayor initial 3-year term nonpartisan office","FED 30-2992","30","7","9","Linda Kochmar","38"
