"impound_no","data_source","record_type","link","current_location","animal_name","animal_type","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-149216","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2476989","LOST","Hercules","Dog","Male","Chihuahua - Smooth Coated","White","2022-08-02T00:00:00.000","Date Lost","15800 block of  JUANITA DR NE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2476989","Image Copyright HLP Inc. 2022","Description: White with golden spots, has one tooth, tongue sticks out<p/>Age: Over 1 year<p/>Location Lost: 15812 Juanita Dr NE, Kenmore WA  98028<p/>Lost Date: 2022-08-02<p/>"
"K22-149461","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479483","LOST","Tucker","Dog","Male","Eng Coonhound","Brown","2022-08-06T00:00:00.000","Date Lost","324TH  AND 202ND",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479483","Image Copyright HLP Inc. 2022","Description: Tucker is an American English Coonhound with red ticking. He’s an older guy with lots of lumps on his chest. He’s wearing a red/orange collar with this information on it. <p/>Age: Over 1 year<p/>Location Lost: 324th and 202nd, Duvall WA  98019<p/>Lost Date: 2022-08-06<p/>"
"K22-150857","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2495412","LOST","Migos","Cat","Male","Maine Coon","Unknown","2022-08-31T00:00:00.000","Date Lost","4TH  AVE SOUTH AND 136TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2495412","Image Copyright HLP Inc. 2022","Description: Migos is a Male Maine coon tabby mix. He is Grey with white and darker stripes. Migos is over 4 years old and neutered. His size is bigger than average. But he’s friendly and very much missed .<p/>Age: Over 1 year<p/>Location Lost: 4th ave south and 136th st , Seattle WA  98166<p/>Lost Date: 2022-08-31<p/>"
"K22-149955","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2484773","LOST","Louie","Cat","Male","Domestic Shorthair","Black","2022-08-19T00:00:00.000","Date Lost","SW  200TH & MARINE VIEW DRIVE SW",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2484773","Image Copyright HLP Inc. 2022","<p/>Age: Over 1 year<p/>Location Lost: Sw 200th & marine view drive SW, Seattle WA  98166<p/>Lost Date: 2022-08-19<p/>"
"K22-149987","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2485447","LOST","Toulouse","Cat","Male","American Shorthair","Unknown","2022-08-20T00:00:00.000","Date Lost","1000 block of  102ND PL SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2485447","Image Copyright HLP Inc. 2022","Description: Small tuxedo cat, black with white chest and front paws and white markings on face, no collar, microchipped, neutered, 10 years old. Lives in residential neighborhood south of downtown Bellevue.<p/>Age: Over 1 year<p/>Location Lost: 1070 102ND PL SE, Bellevue WA  98004-6714<p/>Lost Date: 2022-08-20<p/>"
"K22-150898","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2495865","LOST","Migos","Cat","Male","Maine Coon","Unknown","2022-08-31T00:00:00.000","Date Lost","4TH  AVE SOUTH AND 136TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2495865","Image Copyright HLP Inc. 2022","Description: Migos is a Male Maine coon tabby mix. He is Grey with white and darker stripes. Migos is over 4 years old and neutered. His size is bigger than average. But he’s friendly and very much missed .<p/>Age: Over 1 year<p/>Location Lost: 4th ave south and 136th st , Seattle WA  98166<p/>Lost Date: 2022-08-31<p/>"
"K22-149923","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2484306","LOST","Onyx",,"Male",,"Unknown","2022-08-19T00:00:00.000","Date Lost","THE  PRESERVE OF FORBES CREEK",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2484306","Image Copyright HLP Inc. 2022","Description: HELP! I Lost my Senegal Parrot at The Preserve of Forbes Creek apartments. I've looked all around my community and made flyers. If you find him, can you please call/text me?<p/><p/>I'm new to Washington and I guess he is still adjusting to the sounds around here.<p/><p/>He is a green and yellow parrot with a black head.<p/><p/>He flew away at 2pm Friday 8/18 in Kirkland.<p/><p/>He has all his wings, he can say some phrases like ""Hello"" ""Good morning"" and ""what are you doing""<p/><p/>He might bite but if you see him anywhere, please let me know!<p/><p/>Call/text Michelle 714-360-7758<p/>Age: Over 1 year<p/>Location Lost: The Preserve of Forbes Creek, Kirkland WA  98033<p/>Lost Date: 2022-08-19<p/>"
"K22-150790","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494609","LOST","Pickles","Cat","Female","Domestic Shorthair","Black","2022-09-07T00:00:00.000","Date Lost","9TH  AND CAMAS",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494609","Image Copyright HLP Inc. 2022","Description: Black and whit with a distinct meow. Fixed belly hanging weighs more than she looks<p/>Age: Over 1 year<p/>Location Lost: 9th and camas, Renton WA  98056<p/>Lost Date: 2022-09-07<p/>"
"K22-150055","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2486139","LOST","Smush","Cat","Male","Domestic Longhair","Unknown","2022-08-21T00:00:00.000","Date Lost","53RD  ST. SE AND RANDALL AVE SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2486139","Image Copyright HLP Inc. 2022","Description: All gray, fluffy cat. White tuft of hair on chest. Green eyes. About 11-14lb. Very friendly.<p/>Age: Over 1 year<p/>Location Lost: 53rd St. SE and Randall Ave SE, Auburn WA  98092<p/>Lost Date: 2022-08-21<p/>"
"K22-149497","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479556","LOST","Zippy","Cat","Female","Domestic Shorthair","Black","2022-08-07T00:00:00.000","Date Lost","MILITARY  RD & 264TH",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479556","Image Copyright HLP Inc. 2022","Description: Mostly black some white under her chin pink collar red animal Id tag<p/>Age: Over 1 year<p/>Location Lost: Military Rd & 264th, Kent WA  98032<p/>Lost Date: 2022-08-07<p/>"
