"impound_no","animal_id","data_source","record_type","link","current_location","animal_name","animal_type","age","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo","temperament"
"K22-149788","A670565","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482703","LOST","Lion-O","Cat","Over 1 year<p/>","Male","Domestic Longhair","Unknown","2022-08-05T00:00:00.000","Date Lost","32ND  AVE E & E WARD",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482703","Image Copyright HLP Inc. 2022","Description: 11 year old, male, 13 lbs, green eyes. Xenophobic around people he doesn’t know. Microchipped by HomeAgain. <p/>Age: Over 1 year<p/>Location Lost: 32nd Ave E & E Ward, Seattle WA  98112<p/>Lost Date: 2022-08-05<p/>",
"K22-149192","A669545","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2476827","LOST","Leona","Cat","Unknown<p/>","Female","Domestic Shorthair","Unknown","2022-07-31T00:00:00.000","Date Lost","HOLLY  ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2476827","Image Copyright HLP Inc. 2022","Description: 12 year old female domestic short hair, tortoise shell calico cat.<p/>She has a cloudy left eye & is wearing a grey flea collar.<p/><p/>Age: Unknown<p/>Location Lost: Holly st , Issaquah WA  98027<p/>Lost Date: 2022-07-31<p/>",
"K22-149880","A670685","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483776","LOST","Sheldon","Cat","Over 1 year<p/>","Unknown","Domestic Shorthair","Black","2022-08-17T00:00:00.000","Date Lost","29TH  AVE AND E SPRUCE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483776","Image Copyright HLP Inc. 2022","Description: 1 year old. Black and white. Mostly black, white around the neck, and white nose and upper lip. <p/>Age: Over 1 year<p/>Location Lost: 29th Ave and E Spruce, Seattle WA  98122<p/>Lost Date: 2022-08-17<p/>",
"K22-150054","A671112","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2486126","LOST","Tux","Cat","Over 1 year<p/>","Male","Domestic Mediumhair","Black","2022-08-22T00:00:00.000","Date Lost","4600 block of  S 125TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2486126","Image Copyright HLP Inc. 2022","Description: 1 year old male, black and white Tuxedo with all white paws and mustache. Medium hair with a bushy tail. Wearing a black collar with white paw prints with a bone shaped tag with Tux and phone number 425-919-9510<p/>Age: Over 1 year<p/>Location Lost: 4613 S 125th St, Seattle WA  98178-3458<p/>Lost Date: 2022-08-22<p/>",
"K22-150791","A672089","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494611","LOST","Mabel","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Unknown","2022-09-07T00:00:00.000","Date Lost","98038 98038",,,"98038","JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494611","Image Copyright HLP Inc. 2022","Description: 2 year old female, tabby cat. With a crooked tail <p/>Age: Over 1 year<p/>Location Lost: 262nd Ave SE, Ravensdale WA  98051<p/>Lost Date: 2022-09-07<p/>",
"K22-149422","A669952","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479281","LOST","Sofie","Cat","Over 1 year<p/>","Female","Domestic Longhair","Unknown","2022-08-07T00:00:00.000","Date Lost","NE  88TH STREET AND 171ST AVE NE (REDMOND)",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479281","Image Copyright HLP Inc. 2022","Description: 2 year old female, white paws and white fur under chin.<p/>Age: Over 1 year<p/>Location Lost: NE 88th Street and 171st AVE NE (Redmond), Redmond WA  98052<p/>Lost Date: 2022-08-07<p/>",
"K22-150482","A671594","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2489189","LOST","Millie","Cat","Over 1 year<p/>","Female","Domestic Shorthair","Brown","2022-08-29T00:00:00.000","Date Lost","4500 block of  42ND AVE SW",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2489189","Image Copyright HLP Inc. 2022","Description: 3 year old female brown tabby with white on feet, underbelly, and nose.  Prominent black marking around genitals. Collar being worn when she ran out of the house was multicolor with a round black tab with ""Inside cat..."" on one side and ""Millie 442 242 4602"" on the other.<p/>Age: Over 1 year<p/>Location Lost: 4505 42ND AVE SW UNIT 609, Seattle WA  98116-4743<p/>Lost Date: 2022-08-29<p/>",
"K22-149358","A669823","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2478453","LOST","Xiao Tang Yu","Cat","Over 1 year<p/>","Male","Siamese","Unknown","2022-07-31T00:00:00.000","Date Lost","NE  40TH AND BEL-RED RD",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2478453","Image Copyright HLP Inc. 2022","Description: 4yrs old male flame point siamese. Our dearest family, our kid’s best friend, Xiao Tang Yuan is Lost.  Last seen on 07/31. <p/>He is super friendly, likes to reach to people. <p/>He has medical condition and need to be on prescription diet of urinary SO consistently. <p/>Please contact if you have any information. The family is devastated<p/>Age: Over 1 year<p/>Location Lost: NE 40TH and Bel-Red Rd, Redmond WA  98052<p/>Lost Date: 2022-07-31<p/>",
"K22-150416","A671485","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488547","LOST","Tracy","Dog","Over 1 year<p/>","Female","Shiba Inu","White","2022-08-29T00:00:00.000","Date Lost","21ST  AVENUE SW & SW 336TH ST","FEDERAL WAY","WA","98023","FEDERAL WAY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488547","Image Copyright HLP Inc. 2022","Description: 5 yr old female cream (all white) colored Shiba Inu.<p/>Age: Over 1 year<p/>Location Lost: 21st and 336th in Federal Way, Federal Way WA  98023<p/>Lost Date: 2022-08-29<p/>",
"K22-150742","A672021","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494231","LOST","Janks","Cat","Over 1 year<p/>","Male","Bombay","Black","2022-09-04T00:00:00.000","Date Lost","178TH  PLACE NE AND POWERLINE TRAIL",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494231","Image Copyright HLP Inc. 2022","Description: 9year old male black cat with a spot of white on his chest. <p/>Age: Over 1 year<p/>Location Lost: 178th place NE and Powerline Trail , Redmond WA  98052<p/>Lost Date: 2022-09-04<p/>",
"K22-149868","A670665","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2483528","LOST","Bucky","Dog","Over 1 year<p/>","Male","Yorkshire Terrier","Unknown","2022-08-17T00:00:00.000","Date Lost","SE  208TH ST AND 108TH AVE SE (HWY 515)",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2483528","Image Copyright HLP Inc. 2022","Description: About 9lbs with grey and blonde hair roughly 16 inches long<p/>Age: Over 1 year<p/>Location Lost: SE 208th St and 108th Ave SE (hwy 515), Kent WA  98031<p/>Lost Date: 2022-08-17<p/>",
"K22-150143","A671229","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2486871","In Public Home",,"Cat","Unknown<p/>","Unknown","Persian","Unknown","2022-08-24T00:00:00.000","Date Found","14100 block of  SOMERSET BLVD SE","BELLEVUE","WA","98006","BELLEVUE","47.562334","-122.152364","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2486871","Image Copyright HLP Inc. 2022","Description: A Grey and white cat was Found at night. No microchip or name tag. The cat is friendly. <p/>Age: Unknown<p/>Found Near: 14100 block of  SOMERSET BLVD SE<p/>Found Date: 2022-08-24<p/>",
"K22-149930","A670772","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2484432","In Public Home",,"Dog","Unknown<p/>","Female","Pug","Unknown","2022-08-19T00:00:00.000","Date Found","99TH  AVE NE AND NE 14TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2484432","Image Copyright HLP Inc. 2022","Description: A light tan female pug-like dog with no collar.<p/>Age: Unknown<p/>Found Near: 99th Ave NE and NE 14th St, Bellevue WA  98004<p/>Found Date: 2022-08-19<p/>",
"K22-149757","A670489","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482362","LOST","Chuy","Dog","Over 1 year<p/>","Male","Yorkshire Terrier","Black","2022-08-15T00:00:00.000","Date Lost","15300 block of  SE 288TH ST","KENT","WA","98042","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482362","Image Copyright HLP Inc. 2022","Description: All black little dog, white patch of fur on his chest has a flea and normal collar on. Responds to chuy<p/><p/>Age: Over 1 year<p/>Location Lost: 15306 SE 288th St, Kent WA  98042<p/>Lost Date: 2022-08-15<p/>",
"K22-150467","A671573","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488960","LOST","Dreary","Cat","Over 1 year<p/>","Male","American Shorthair","Unknown","2022-08-29T00:00:00.000","Date Lost","SOUTHEAST  175TH ST AND 116TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488960","Image Copyright HLP Inc. 2022","Description: All gray cat , not very big, light stripes on tail in light, very sweet but scared <p/>Age: Over 1 year<p/>Location Lost: Southeast 175th St and 116th st , Renton WA  98055<p/>Lost Date: 2022-08-29<p/>",
"K22-150055","A671113","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2486139","LOST","Smush","Cat","Over 1 year<p/>","Male","Domestic Longhair","Unknown","2022-08-21T00:00:00.000","Date Lost","53RD  ST. SE AND RANDALL AVE SE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2486139","Image Copyright HLP Inc. 2022","Description: All gray, fluffy cat. White tuft of hair on chest. Green eyes. About 11-14lb. Very friendly.<p/>Age: Over 1 year<p/>Location Lost: 53rd St. SE and Randall Ave SE, Auburn WA  98092<p/>Lost Date: 2022-08-21<p/>",
"K22-150360","A671399","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488178","LOST","Lo’ba","Dog","Under 1 year<p/>","Female","Siberian Husky","White","2022-08-28T00:00:00.000","Date Lost","S  RYAN WAY AND MLK",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488178","Image Copyright HLP Inc. 2022","Description: All white face. Very light color coat. Almost white blue eyes. <p/>Age: Under 1 year<p/>Location Lost: S Ryan Way and MLK, Seattle WA  98178<p/>Lost Date: 2022-08-28<p/>",
"K22-150775","A672067","Regional Animal Services of King County","LOST","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2494563","LOST","Spin","Cat","Over 1 year<p/>","Male","American Shorthair","White","2022-09-06T00:00:00.000","Date Lost","132ND  NE AVE AND NE 60TH STREET",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2494563","Image Copyright HLP Inc. 2022","Description: All white with amber eyes and a pink nose. Skiddish around people he does not know. <p/>Age: Over 1 year<p/>Location Lost: 132nd NE Ave and NE 60th Street, Bellevue WA  98005<p/>Lost Date: Sep  6 202<p/>",
