"race","precinct","leg","cc","cg","countertype","count"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Approved","159"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Registered Voters","522"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Rejected","71"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Times Counted","230"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-0239","5","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Approved","164"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Registered Voters","784"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Rejected","156"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Times Counted","320"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2407","5","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Approved","93"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Registered Voters","434"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Rejected","117"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Times Counted","210"
"CITY OF BLACK DIAMOND MEASURE A","B-D 05-2413","5","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Approved","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Registered Voters","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Rejected","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Times Counted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 31-3521","31","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Approved","72"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Registered Voters","362"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Rejected","64"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Times Counted","136"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-0240","47","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Approved","109"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Registered Voters","467"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Rejected","83"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Times Blank Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Times Counted","192"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3310","47","9","8","Times Over Voted","0"
"CITY OF BLACK DIAMOND MEASURE A","B-D 47-3463","47","9","8","Approved","0"
