Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
Aid For Starving Children,,Food & Hunger,52-1224507,,,
America's Best Local Charities,"1100 Larkspur Landing Circle #108
Larkspur, CA 94939
(37.948257, -122.509914)",Health (General),94-3042430,,1836,
ASPCA: American Society for the Prevention of Cruelty to Animals,"520 Eighth Ave 7th Fl
New York, NY 10018
(40.753763, -73.992331)",Animals,13-1623829,,12080,
Audubon Washington,"5902 Lake Washington Blvd S
Seattle, WA 98118
(47.549122, -122.257495)",Environment,13‐1624102,101,18800,1230
"Autism Speaks, Pacific Northwest","17818 Stone Ave N
Shoreline, WA 98013
(47.758449, -122.343042)","Disease, Disorders, & Medical Research",20-2329938,102,19582,418
Benefits Law Center,"1404 E Yesler Way Ste 203
Seattle, WA 98122
(47.601697, -122.313781)",Social & Economic Justice,91-1866898,101,19578,400
Books for Kids,"1130 NW 85th St
Seattle, WA 98117
(47.690644, -122.371112)",Education & Literacy,91-1600084,101,18798,1399
"Breast Cancer African American, Sisters Network Inc.","2922 Rosedale St
Houston, TX 77004
(29.720227, -95.369038)","Disease, Disorders, & Medical Research",76-0480069,,11888,
Bridge of Promise,,"Mental Health, Disabilities, & Substance Abuse",20-4043915,,,
CAMP UNITED WE STAND,,Housing & Employment,47-5622350,,,
Ceasefire Foundation of Washington,,Education & Literacy,91-1692840,,,
Center for Environmental Law and Policy (CELP),"911 Western Ave Ste #305
Seattle, WA 98104
(47.603874, -122.337039)",Environment,91-1687883,101,18379,399
Child Foundation,"4475 SW Scholls Ferry Rd #170
Portland, OR 97225
(45.487841, -122.74663)",Youth Development,93-1148608,,29647,
Children of the Night,"14530 Sylvan St
Van Nuys, CA 91411
(34.184649, -118.449906)",Youth Development,95-3130408,,19729,
Deaf Spotlight,,"Arts, Culture, & Humanities",27-5059109,,,
Downtown Action to Save Housing (DASH),"11018 NE 11th St
Bellevue, WA 98004
(47.62008, -122.192499)",Housing & Employment,94-3155152,6,31848,1427
ECHO,"17391 Durrance Rd
North Ft. Myers, FL 33917
(26.716873, -81.791519)",International Relief & Development,23-7275283,,2028,
Everett Animal Shelter,"333 Smith Island Rd
Everett, WA 98201
(47.996023, -122.178808)",Animals,91-6001248,,18242,1016
