"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Aid For Starving Children",,"52-1224507","2874","https://aidforstarvingchildren.org","Thank you for donating to Aid for Starving Children! Together we are helping to make a difference in the lives of children and families.","Food & Hunger",,,,,,,"New","No",,,,,,,,
"America's Best Local Charities","1100 Larkspur Landing Circle #108
Larkspur, CA 94939
(37.948257, -122.509914)","94-3042430","2700","https://www.bestlocalcharities.org","Making your community a better place to live. ABLC charities educate children, feed and shelter the homeless, strengthen families, rescue unwanted animals and much more.","Health (General)",,,,,,,"Returning","No",,,,,,"Children & Youth","Veterans & Military",
"ASPCA: American Society for the Prevention of Cruelty to Animals","520 Eighth Ave 7th Fl
New York, NY 10018
(40.753763, -73.992331)","13-1623829","2858","https://www.aspca.org","Staged dog fights to the death. Puppy factories with overcrowded and unsanitary breeding pens. Kittens tortured for amusement. Help stop these acts of animal cruelty.","Animals",,,,,,,"Returning","No",,,,,,,,
"Audubon Washington","5902 Lake Washington Blvd S
Seattle, WA 98118
(47.549122, -122.257495)","13‐1624102","2504","https://wa.audubon.org/","We work to protect birds and habitat through education, conservation action, community engagement and collaboration.","Environment",,,,,,,"Returning","Yes",,,,,,,,
"Autism Speaks, Pacific Northwest","17818 Stone Ave N
Shoreline, WA 98013
(47.758449, -122.343042)","20-2329938","4083","https://www.autismspeaks.org","We fund biomedical research into the causes, prevention, and treatments for autism spectrum disorders; advocate for the needs of affected families.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/20-2329938",,,"Returning","No",,,"https://www.guidestar.org/profile/20-2329938",,,"Children & Youth","People With Disabilities","Economically Disadvantaged People"
"Benefits Law Center","1404 E Yesler Way Ste 203
Seattle, WA 98122
(47.601697, -122.313781)","91-1866898","9962","https://www.benefitslawcenter.org","Social Security advocacy for people with disabilities who are homeless or low-income.","Social & Economic Justice","Legal Advocacy","Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/ein/911866898","https://www.guidestar.org/profile/91-1866898","https://www.bbb.org/charity-reviews/greatwestpacific/benefits-law-center-in-seattle-wa-90002420",,"Returning","No",,"https://www.charitynavigator.org/ein/911866898","https://www.guidestar.org/profile/91-1866898","https://www.bbb.org/charity-reviews/greatwestpacific/benefits-law-center-in-seattle-wa-90002420",,,,
"Books for Kids","1130 NW 85th St
Seattle, WA 98117
(47.690644, -122.371112)","91-1600084","2751","https://www.pageahead.org","Succeeding begins with reading. Help us put NEW books in the hands of children in need and close the achievement gap for Washington kids.","Education & Literacy",,"Youth Development",,,,,"Returning","No",,,,,,,,
"Breast Cancer African American, Sisters Network Inc.","2922 Rosedale St
Houston, TX 77004
(29.720227, -95.369038)","76-0480069","2759","https://www.sistersnetworkinc.org","Empowering women through support, education, financial assistance and promoting early detection through free mammography and ultrasound screenings.","Disease, Disorders, & Medical Research",,,,,,,"Returning","No",,,,,,,,
"Bridge of Promise",,"20-4043915","10892","https://www.bridgeofpromise.org","We are a nonprofit organization that provides recreational, social, educational and community engagement opportunities for individuals with physical and developmental disabilities.","Mental Health, Disabilities, & Substance Abuse","Community Development","Education & Literacy",,,,,"New","No",,,,,,,,
"CAMP UNITED WE STAND",,"47-5622350","10895","https://campunitedwestand-tentcity.org/","We are a tent community hosted by churches in Shoreline and North Seattle. Our mission is to provide safe shelter and facilitate residents' transition to permanent housing.","Housing & Employment","Food & Hunger","Social & Economic Justice","https://www.charitynavigator.org/ein/475622350","https://www.guidestar.org/profile/47-5622350",,,"New","No",,"https://www.charitynavigator.org/ein/475622350","https://www.guidestar.org/profile/47-5622350",,,"Economically Disadvantaged People",,
"Ceasefire Foundation of Washington",,"91-1692840","9210","https://www.washingtonceasefire.org","Dedicated to reducing gun violence.","Education & Literacy","Community Development","Health (General)",,,,,"Returning","No",,,,,,,,
"Center for Environmental Law and Policy (CELP)","911 Western Ave Ste #305
Seattle, WA 98104
(47.603874, -122.337039)","91-1687883","2595","https://www.celp.org/","Works with tribes, local activists and environmentalists statewide to promote science-based water management principles.","Environment",,,,,,,"Returning","No",,,,,,,,
"Child Foundation","4475 SW Scholls Ferry Rd #170
Portland, OR 97225
(45.487841, -122.74663)","93-1148608","2763","https://www.childfoundation.org","Save lives, build hope. Education can move a child beyond poverty. Help children remain in school, giving them the tools to reach their full potential.","Youth Development",,,,,,,"Returning","No",,,,,,,,
"Children of the Night","14530 Sylvan St
Van Nuys, CA 91411
(34.184649, -118.449906)","95-3130408","2770","https://www.childrenofthenight.org","Rescues America's children from the ravages of prostitution. Providing shelter, hope and new beginnings.","Youth Development",,,,,,,"Returning","No",,,,,,,,
"Deaf Spotlight",,"27-5059109","9857","https://www.deafspotlight.org","Deaf Spotlight inspires and showcases Deaf Culture and Sign Languages through the arts.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/ein/275059109","https://www.guidestar.org/profile/27-5059109",,,"New","No",,"https://www.charitynavigator.org/ein/275059109","https://www.guidestar.org/profile/27-5059109",,,"People With Disabilities","Economically Disadvantaged People",
"Downtown Action to Save Housing (DASH)","11018 NE 11th St
Bellevue, WA 98004
(47.62008, -122.192499)","94-3155152","5734","https://www.dashhousing.org/Welcome.html","Creating desirable, viable housing for lower to modest income households to provide security, community, and opportunity for financial advancement.","Housing & Employment",,"Community Development",,"https://www.guidestar.org/organizations/94-3155152/downtown-action-save-housing.aspx",,,"Returning","No",,,"https://www.guidestar.org/organizations/94-3155152/downtown-action-save-housing.aspx",,,"Seniors",,
"ECHO","17391 Durrance Rd
North Ft. Myers, FL 33917
(26.716873, -81.791519)","23-7275283","3560","https://echonet.org","Helping people by providing training, information and seeds to development workers, small-scale farmers, and missionaries working in 190+ countries.","International Relief & Development","Community Development","Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6555","https://www.guidestar.org/profile/23-7275283",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6555","https://www.guidestar.org/profile/23-7275283",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"Everett Animal Shelter","333 Smith Island Rd
Everett, WA 98201
(47.996023, -122.178808)","91-6001248","10868","https://everettwa.gov/148/Animal-Services","Open-admission shelter committed to providing care and comfort to the homeless and abused pets in our community.","Animals",,,,,,,"Number Change","No",,,,,,,,
"Friends of the Trail","48222 SE Mt Si Rd
North Bend, WA 98045
(47.485981, -121.696813)","91-1724918","9258","https://www.friendsofthetrail.org","Conducts cleanups of illegal dumping/litter on public lands and waterways, partnering with various organizations, utilizing volunteers/court assigned community service help.","Environment","Education & Literacy","Health (General)",,,,,"Returning","No",,,,,,,,
