"case_number","incident_datetime","nibrs_code","nibrs_code_name","block_address","city","state","zip","reporting_area","district","precinct","created_at","updated_at","hour_of_day","day_of_week","id"
"C20000090","2019-12-27T06:00:00.000","23F","Theft From Motor Vehicle","13300 Block NEWCASTLE COMMONS DR","NEWCASTLE","WA","98059","Reporting Area H02003","District H2","3","2020-01-01T20:03:04.000","2020-01-01T20:04:15.000","6","6","12136416598"
"C20000045","2019-12-31T21:00:00.000","290","Destruction/Damage/Vandalism of Property","10100 Block 8TH AVE S","SEATTLE","WA","98168","Reporting Area K07002","District K7","4","2020-01-01T10:45:27.000","2020-01-01T10:47:23.000","21","3","12135961258"
"C20000380","2020-01-04T01:08:00.000","35B","Drug Equipment Violations","16500 Block INTERNATIONAL BLVD","SEATAC","WA","98188","Reporting Area L02003","District L2","4","2020-01-04T02:44:38.000","2020-01-04T02:46:46.000","1","7","12139600902"
"C20000144","2020-01-02T00:00:00.000","23F","Theft From Motor Vehicle","11600 Block RAINIER AVE S","SEATTLE","WA","98178","Reporting Area K08005","District K8","4","2020-01-02T10:09:06.000","2020-01-02T10:33:20.000","0","5","12137075078"
"C20000796","2020-01-06T16:00:00.000","23H","All Other Larceny","19700 Block 26TH AVE NW","SHORELINE","WA","98177","Reporting Area A01001","District A1","5","2020-01-07T13:19:32.000","2020-01-07T13:25:00.000","16","2","12148699229"
"C20000790","2020-01-05T19:15:00.000","290","Destruction/Damage/Vandalism of Property","500 Block NE 165TH ST","SHORELINE","WA","98155","Reporting Area A06001","District A6","5","2020-01-07T13:00:19.000","2020-01-07T13:03:13.000","19","1","12147720182"
"C20002228","2020-01-17T13:00:00.000","290","Destruction/Damage/Vandalism of Property","13300 Block NE 171ST ST","WOODINVILLE","WA","98072","Reporting Area W02007","District W2","2","2020-01-18T22:05:27.000","2020-01-18T22:07:07.000","13","6","12172713741"
"C20002227","2020-01-17T22:30:00.000","290","Destruction/Damage/Vandalism of Property","13300 Block NE 171ST ST","WOODINVILLE","WA","98072","Reporting Area W02007","District W2","2","2020-01-18T18:18:02.000","2020-01-18T20:34:38.000","22","6","12172548517"
"C20002222","2020-01-17T18:00:00.000","23F","Theft From Motor Vehicle","14200 Block NE 181ST PL","WOODINVILLE","WA","98072","Reporting Area W02005","District W2","2","2020-01-18T16:35:28.000","2020-01-18T16:48:26.000","18","6","12172476353"
"C20002069","2020-01-17T03:30:00.000","23F","Theft From Motor Vehicle","1000 Block SW 150TH ST","BURIEN","WA","98166","Reporting Area N04002","District N4","4","2020-01-25T11:46:27.000","2020-01-25T11:49:51.000","3","6","12247418238"
