Event name,Location name,Address,City,State,Zip,Contact Name,Phone Number,Email,Event description,Location,City Kc Area,Zip Codes,2017 Census Tracts WA State
Puget Sound Skills Center-Reginal AFIS Program Presentation,Puget Sound Skills Center,18010 8th Avenue S,Burien,WA,98148,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"18010 8th Avenue S
Burien, WA 98148
(47.441161, -122.323906)",8,17922,843
Regional AFIS Program Presentation,Lake Forest Park Elementary School,18500 37th Avenue NE,Lake Forest Park,WA,98155,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"18500 37th Avenue NE Lake Forest Park
WA 98155
(47.763874, -122.2892)",79,17924,1079
Federal Way High School Regional AFIS Program Presentation,Federal Way High School,30611 16th Avenue S,Federal Way,WA,98003,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"30611 16th Avenue S Federal Way
WA 98003
(47.328436, -122.313302)",19,31847,858
Federal Way High School AFIS Tour at King County Courthouse,"King County Courhouse, Room E-942",516 3rd Avenue,Seattle,WA,98014,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"516 3rd Avenue
Seattle, WA 98014
(47.60245, -122.33116)",101,18379,399
Regional AFIS Program Presentation,Woodinville High School,19819 136th Avenue NE,Woodinville,WA,98072,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"19819 136th Avenue NE
Woodinville, WA 98072
(47.770758, -122.158568)",94,18071,1080
Park Orchard Elementary Science Fair,Park Orchard Elementary,11010 SE 232nd St,Kent,WA,98031,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"11010 SE 232nd St
Kent, WA 98031
(47.39418, -122.193145)",76,17365,1414
City-wide Shoreline STEM Festival,Shoreline Community College,16101 Greenwood Avenue N,Shoreline,WA,98133,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"16101 Greenwood Avenue N
Shoreline, WA 98133
(47.747519, -122.355684)",102,19582,419
Echo Lake Science Night,Echo Lake elementary School,19345 Wallingford N,Shoreline,WA,98133,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"19345 Wallingford N
Shoreline, WA 98133
(47.769602, -122.337871)",102,19582,1194
Pacific Police Department Open House,Centennial Park,100 3rd Avenue SE,Pacific,WA,98047,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"100 3rd Avenue SE
Pacific, WA 98047
(47.264636, -122.249105)",95,17799,1275
Lake City Seafair Festival and Parade,Lake City Seafair Festival and Parade,,Lake City,WA,,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"Lake City, WA
(47.7178, -122.282501)",101,19579,41
Shoreline STEM Festival,Shoreline Community College,16101 Greenwood Avenue N,Shoreline,WA,98133,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"16101 Greenwood Avenue N
Shoreline, WA 98133
(47.747519, -122.355684)",102,19582,419
Citizen's Police Academy,Lake Wilderness Lodge,22500 SE 248th St,Maple Valley,WA,98038,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"22500 SE 248th St Maple Valley
WA 98038
(47.379709, -122.0393)",86,17790,870
Blackwell Elementary School STEM Night,Blackwell elementary School,3225 205th PL NE,Sammamish,WA,98074,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"3225 205th PL NE
Sammamish, WA 98074
(47.639236, -122.065765)",81,18074,1386
Pacific Police Department's Annual Open House,Pacific Police Department,133 3rd Avenue SE,Pacific,WA,98047,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"133 3rd Avenue SE
Pacific, WA 98047
(47.264644, -122.247682)",95,17799,1275
National Night Out Against Crime-Central WA University Campus in Sammamish,Central WA University Campus in Sammamish,120 228th Avenue NE,Sammamish,WA,98074,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"120 228th Avenue NE
Sammamish, WA 98074
(47.610497, -122.035416)",81,18074,513
National Night Out Against Crime-Kirkland PD-Open House,Kirkland Police Department,11750 NE 118th St,Kirkland,WA,98034,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"11750 NE 118th St
Kirkland, WA 98034
(47.706357, -122.184984)",77,17376,132
Highland Terrace Elementary School Science Night,Highland Terrace Elementary School,100 N 160th St,Shoreline,WA,98133,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"100 N 160th St
Shoreline, WA 98133
(47.745022, -122.358188)",102,19582,419
Medina Elementary STEM Night,Medina Elementary School,8001 NE 8th St,Medina,WA,98039,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"8001 NE 8th St
Medina, WA 98039
(47.61748, -122.233225)",83,17791,1269
Green River College Criminal Justice Job Fair,Green River College,12401 SE 320th St,Auburn,WA,98092,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"12401 SE 320th St
Auburn, WA 98092
(47.315327, -122.179086)",2,18080,867
Roots Family Picnic,North African American Museum,2300 S Massachusetts St,Seattle,WA,98144,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"2300 S Massachusetts St
Seattle, WA 98144
(47.588359, -122.301888)",101,17919,771
Health and Safety Fair,King County Fire District #20,12424 76th Avenue S,Seattle,WA,98178,Judy Cordova,206-263-2723,judy.cordova@kingcounty.gov,,"12424 76th Avenue S
Seattle, WA 98178
(47.491396, -122.23827)",57,18230,451
