Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
21 Acres Center for Local Food and Sustainable Living,"13701 NE 171st St
Woodinville, WA 98072
(47.750699, -122.156754)",Food & Hunger,91-1980248,"21 Acres is a leader in sustainable and regenerative practices, serving as an education center and living laboratory for people who want to learn about sustainable ways of living.",Environment,,94,18071,1278
350 Seattle,"5031 University Way NE
Seattle, WA 98105
(47.665668, -122.313076)",Environment,46-4201865,"Working toward climate justice by organizing people to make deep system change: resist fossil fuels; build momentum for healthy alternatives; & foster resilient, just communities.",Social & Economic Justice,,101,18383,1426
501 Commons,,Community Development,94-3089631,"We serve nonprofits as experts, innovators, & partners. Our passion is to amplify the strengths of nonprofits so people and communities flourish.",,,,,
5th Avenue Theatre,"1308 5th Ave
Seattle, WA 98101
(47.608759, -122.333806)","Arts, Culture, & Humanities",91-1087612,"We develop, produce and present live musical theater for the cultural enrichment of the Northwest community; preserve, maintain, and operate the historic 5th Avenue Theatre.",,,101,18081,399
91.3 KBCS (Bellevue College Foundation),"3000 Landerholm Circle SE #A101
Bellevue, WA 98007
(47.585941, -122.143319)","Arts, Culture, & Humanities",91-1051671,"Operated as a public service by Bellevue College, 91.3 KBCS produces and broadcasts quality programming that supports more inclusive, interdependent communities.",Social & Economic Justice,Education & Literacy,6,31853,827
Abu-Bakr Islamic Center of Washington,"14101 Tukwila International Blvd
Tukwila, WA 98168
(47.476831, -122.2836)",Community Development,91-2110135,"Abu-Bakr Islamic Center serves the spiritual, religious and communal needs of the Muslims and the surrounding community.",Spiritual Development,Youth Development,93,18227,1188
Abused Deaf Women's Advocacy Services (ADWAS),"8623 Roosevelt Way NE
Seattle, WA 98115
(47.691937, -122.317609)",Social & Economic Justice,91-1339173,Providing linguistically accessible and culturally appropriate services to Deaf and DeafBlind survivors of sexual/domestic violence. All genders and all ages.,Housing & Employment,,101,18792,42
Academia d'Amore,"1501 32nd Ave S
Seattle, WA 98144
(47.589448, -122.291425)","Arts, Culture, & Humanities",26-1253117,A production company led by GRAMMY winner Stephen Stubbs that is focused primarily but not exclusively on the presentation of vocal music of the 17th and 18th century.,Community Development,Education & Literacy,101,17919,771
Accion,"10 Fawcett St Ste 204
Cambridge, MA 2138
(42.389833, -71.146032)",International Relief & Development,13-2535763,"A global nonprofit committed to creating a financially inclusive world, with a pioneering legacy in microfinance and fintech impact investing.",Social & Economic Justice,Community Development,,10648,
"ACLU, American Civil Liberties Union Of Washington Foundation","901 5th Ave Ste 630
Seattle, WA 98164
(47.606191, -122.33147)",Legal Advocacy,23-7076867,"The ACLU has been at the center of nearly every civil rights battle for the past 90 years, advancing liberty and justice for all.",,,101,18379,399
Action Against Hunger,,International Relief & Development,13-3327220,"We ensure everyone can access clean water, food, and healthcare. We enable entire communities to be free from hunger.",Emergency & Disaster Services,Food & Hunger,,,
ACT Theatre,"700 Union St
Seattle, WA 98101
(47.610733, -122.332129)","Arts, Culture, & Humanities",91-0787792,Where artistic ambition and civic engagement unite. ACT envisions a world where the power of theatre expands our collective understanding of community and our own humanity.,Education & Literacy,,101,18081,118
