"investment_area","indicator","area","url","description","sort"
"Prenatal-5","Abuse and neglect","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/abuse-neglect.aspx","<p>Lowering the rate of child abuse or neglect.</p>
<p>Rate per 1,000 households with children under age 6 with child abuse or neglect reports that are investigated and assessed.</p>","1"
"Prenatal-5","Breastfeeding duration","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-breastfeedingduration-BSKHS/Summary","<p>Infant was exclusively breastfed at 2 months; infant was exclusively breastfed at 6 months; breastfed at 6 months, 12 months.</p>","1"
"Prenatal-5","Breastfeeding initiation","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-breastfeedinginitiation/Summary","<p>Infant was breastfed at any time.</p>","1"
"Prenatal-5","Child care/preschool expulsion","Secondary",,"<p>Percent of children who have been asked to leave a preschool/child care.</p>","1"
"Prenatal-5","Child health providers' knowledge of community resources","Secondary",,"<p>Percent of child health care providers with knowledge of community resources.</p>","1"
"Prenatal-5","Family supports","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-parentalemotionalsupport/Summary","<p>Percent of children with parents who report having someone to turn to for day-to-day emotional support with parenting or raising children.</p>","1"
"Prenatal-5","Flourishing and resilient","Headline","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-flourishingandresilient0-5binary/Summary","<p>Children who are flourishing and resilient as described by curiosity and discovery about learning, resilience, attachment with parent and contentedness. Percent of children 6 months to 5 years who met these four areas:</p>
<p>a. This child is affectionate and tender with you</p>
<p>b. This child bounces back quickly when things do not go his or her way</p>
<p>c. This child shows interest and curiosity in learning new things</p>
<p>d. This child smiles and laughs a lot.</p>","1"
"Prenatal-5","Healthy children","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKsecondarydashboard-healthychildren/Summary","<p>Percentage of children whose parents report their health status as excellent or very good.</p>","1"
"Prenatal-5","Infant deaths","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/infant-mortality.aspx","<p>Babies with healthy birth outcomes: Infant mortality (rate of deaths in the first year of life per 1,000 live births).</p>","1"
"Prenatal-5","Kindergarten readiness","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/kindergarten-readiness.aspx","<p>Percent of entering kindergartners that meet expectations at the start of kindergarten in all six domains of social-emotional, physical, language, cognitive, literacy and mathematics.</p>","1"
"Prenatal-5","Parental knowledge of child development","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-qualityrelationship-parentalknowledgeofchilddevelopment/Summary","<p>Parent have information about child development, feel equipped for challenges, and behave accordingly.</p>
<p>Percent of children with parents who report doing things with their child even if they are not old enough to talk (take turns going back and forth while talking, playing, exploring; talk about the things you see, hear, and do together; respond to child’s sounds, actions, words).</p>","1"
"Prenatal-5","Prenatal care","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-adequateprenatalcare/Summary","<p>Early and adequate prenatal care: percent of live births where prenatal care was started before the end of the 4th month, and 80% or more of the recommended number of prenatal care visits occurred.</p>","1"
"Prenatal-5","Preterm births","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/preterm-births.aspx","<p>Babies with healthy birth outcomes: Preterm birth (percent of births born before 37 completed weeks gestation).</p>","1"
"Prenatal-5","Quality child care/out-of-school care","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-qualitychildcare-combined/Summary","<p><span>Percent of children attending childcare whose caregivers agree with several statements related to affordability, the learning environment, and the mix of backgrounds at the care site.</span></p>","1"
"Prenatal-5","Quality relationships - developmental screening","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-developmentalscreening/Summary","<p>Percent of children screened in the past 12 months for appropriate development, communication, and social behaviors.</p>","1"
"Prenatal-5","Quality relationships - parental emotional support","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-parentalemotionalsupport/Summary","<p><span>Percent of children with parents who report having someone to turn to for day-to-day emotional support with parenting or raising children.</span></p>","1"
"Prenatal-5","Quality relationships - parent attachment ","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-readorsingtochild/Summary","<p>Percent of children read or sung to every day.</p>","1"
"Prenatal-5","Receive health and developmental screening","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKdashboard-developmentalscreening/Summary","<p>Percent of children ages 9 months to 5 years whose parents report a doctor or other healthcare provider had them fill out a questionnaire about specific concerns or observations about the child’s development, communication, or social behaviors.</p>","1"
"Prenatal-5","Receive needed mental and behavioral health services","Secondary","https://public.tableau.com/profile/apde.datarequest#!/vizhome/BSKsecondarydashboard-receivedmentalhealthservices/Summary","<p>Percent of children who needed and received any treatment or counseling from a mental health professional.</p>","1"
"Prenatal-5","Receive recommended developmental services","Secondary",,"<p>Percent of children 0-3 screened, identified, and connected to services.</p>","1"
"5-24","3rd grade reading","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/third-grade-reading.aspx","<p><span>Percent of 3rd graders who are at or above reading standards as assessed by the Smarter Balanced Assessment (administration beginning in the 2014-2015 school year).</span></p>","2"
"5-24","4th grade math","Headline","http://www.kingcounty.gov/depts/community-human-services/initiatives/best-starts-for-kids/dashboards/primary-indicators/fourth-grade-math.aspx","<p><span>Percent of 4th graders who are at or above math standards as assessed by the Smarter Balanced Assessment (administration beginning in the 2014-2015 school year).</span></p>","2"
"5-24","9th grade completion","Secondary","http://www.k12.wa.us/DataAdmin/PerformanceIndicators/9thGrade.aspx","<p>Number of 9th grade students course credits attempted versus the number of credits earned in English Language Arts, Math, and Science; does not include withdrawals.</p>
<p><span>NOTE: This links to the Office of Superintendent of Public Instruction visualization (external link)</span></p>","2"
"5-24","Adolescent births","Secondary",,"<p><span>Rate of births to females ages 15-17 per 100,000 population in that age group.</span></p>","2"
