"bureau","month","invoice_cycle_time","date_time","fiscal_year"
"Administrative Hearing Board","December","9.8","2012-12-01T00:00:00.000","2013"
"Assessor","December","10.3","2012-12-01T00:00:00.000","2013"
"Board of Elections","December",,"2012-12-01T00:00:00.000","2013"
"Board of Review","December","13.0","2012-12-01T00:00:00.000","2013"
"Bureau of Admin.","December","40.3","2012-12-01T00:00:00.000","2013"
"Bureau of Economic Development","December","20.0","2012-12-01T00:00:00.000","2013"
"Bureau of Finance","December","43.0","2012-12-01T00:00:00.000","2013"
"Bureau of Health","December","22.1","2012-12-01T00:00:00.000","2013"
"Bureau of Human Resources","December","10.0","2012-12-01T00:00:00.000","2013"
"Bureau of Technology","December","1.0","2012-12-01T00:00:00.000","2013"
"Capital","December","54.8","2012-12-01T00:00:00.000","2013"
"Chief Judge","December","18.1","2012-12-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","December","20.2","2012-12-01T00:00:00.000","2013"
"Cnty Brd Commissions","December","18.3","2012-12-01T00:00:00.000","2013"
"County Clerk","December","20.3","2012-12-01T00:00:00.000","2013"
"Facilities Management","December","20.8","2012-12-01T00:00:00.000","2013"
"Grants","December","62.1","2012-12-01T00:00:00.000","2013"
"Individual Funds","December","62.2","2012-12-01T00:00:00.000","2013"
"Inspector General","December","10.9","2012-12-01T00:00:00.000","2013"
"Office Under the President","December","12.0","2012-12-01T00:00:00.000","2013"
"Public Admin.","December","16.0","2012-12-01T00:00:00.000","2013"
"Public Defender","December","19.6","2012-12-01T00:00:00.000","2013"
"Recorder of Deeds","December","11.0","2012-12-01T00:00:00.000","2013"
"Sheriff","December","12.1","2012-12-01T00:00:00.000","2013"
"State's Attorney","December","3.1","2012-12-01T00:00:00.000","2013"
"Treasurer","December","12.7","2012-12-01T00:00:00.000","2013"
"Countywide","December","58.5","2012-12-01T00:00:00.000","2013"
"Countywide","January","76.1","2013-01-01T00:00:00.000","2013"
"Administrative Hearing Board","January","26.2","2013-01-01T00:00:00.000","2013"
"Assessor","January","22.3","2013-01-01T00:00:00.000","2013"
"Board of Elections","January","20.8","2013-01-01T00:00:00.000","2013"
"Board of Review","January","20.3","2013-01-01T00:00:00.000","2013"
"Bureau of Admin.","January","32.0","2013-01-01T00:00:00.000","2013"
"Bureau of Economic Development","January","28.9","2013-01-01T00:00:00.000","2013"
"Bureau of Finance","January","39.4","2013-01-01T00:00:00.000","2013"
"Bureau of Health","January","47.1","2013-01-01T00:00:00.000","2013"
"Bureau of Human Resources","January","18.2","2013-01-01T00:00:00.000","2013"
"Bureau of Technology","January","11.5","2013-01-01T00:00:00.000","2013"
"Capital","January","91.6","2013-01-01T00:00:00.000","2013"
"Chief Judge","January","25.1","2013-01-01T00:00:00.000","2013"
"Clerk of Circuit Ct.","January","21.2","2013-01-01T00:00:00.000","2013"
"Cnty Brd Commissions","January","26.7","2013-01-01T00:00:00.000","2013"
"County Clerk","January","32.5","2013-01-01T00:00:00.000","2013"
"Facilities Management","January","13.8","2013-01-01T00:00:00.000","2013"
"Grants","January","62.2","2013-01-01T00:00:00.000","2013"
"Individual Funds","January","113.3","2013-01-01T00:00:00.000","2013"
"Inspector General","January","24.0","2013-01-01T00:00:00.000","2013"
"Office Under the President","January","30.6","2013-01-01T00:00:00.000","2013"
"Public Admin.","January","27.0","2013-01-01T00:00:00.000","2013"
"Public Defender","January","28.5","2013-01-01T00:00:00.000","2013"
"Recorder of Deeds","January","18.1","2013-01-01T00:00:00.000","2013"
"Sheriff","January","24.2","2013-01-01T00:00:00.000","2013"
"State's Attorney","January","43.9","2013-01-01T00:00:00.000","2013"
"Treasurer","January","46.3","2013-01-01T00:00:00.000","2013"
