"department","bureau","elected_official","g","goal","m","metric","favorable_variance","data_type","period_type","period","fiscal_year","calendar_year","period_year","date_time","actual_1","target_1","actual_2","target_2","actual_3","target_3"
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","June","2013","2013","13-Jun","2013-06-01T00:00:00.000",,,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","July","2013","2013","13-Jul","2013-07-01T00:00:00.000","115",,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","August","2013","2013","13-Aug","2013-08-01T00:00:00.000","143",,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","September","2013","2013","13-Sep","2013-09-01T00:00:00.000","138",,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","October","2013","2013","13-Oct","2013-10-01T00:00:00.000","131",,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","2","# of cases pending","Lower","Number","Month","November","2013","2013","13-Nov","2013-11-01T00:00:00.000","125",,,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","December","2014","2013","13-Dec","2013-12-01T00:00:00.000","125","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","January","2014","2014","14-Jan","2014-01-01T00:00:00.000","114","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","February","2014","2014","14-Feb","2014-02-01T00:00:00.000","105","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","March","2014","2014","14-Mar","2014-03-01T00:00:00.000","86","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","April","2014","2014","14-Apr","2014-04-01T00:00:00.000","67","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","May","2014","2014","14-May","2014-05-01T00:00:00.000","53","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","June","2014","2014","14-Jun","2014-06-01T00:00:00.000","57","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","July","2014","2014","14-Jul","2014-07-01T00:00:00.000","44","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","August","2014","2014","14-Aug","2014-08-01T00:00:00.000","37","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","September","2014","2014","14-Sep","2014-09-01T00:00:00.000","35","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","October","2014","2014","14-Oct","2014-10-01T00:00:00.000","27","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","November","2014","2014","14-Nov","2014-11-01T00:00:00.000","24","100",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","December","2015","2014","14-Dec","2014-12-01T00:00:00.000","25","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","January","2015","2015","15-Jan","2015-01-01T00:00:00.000","28","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","February","2015","2015","15-Feb","2015-02-01T00:00:00.000","29","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","March","2015","2015","15-Mar","2015-03-01T00:00:00.000","28","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","April","2015","2015","15-Apr","2015-04-01T00:00:00.000","28","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","May","2015","2015","15-May","2015-05-01T00:00:00.000","29","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","June","2015","2015","15-Jun","2015-06-01T00:00:00.000","28","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","July","2015","2015","15-Jul","2015-07-01T00:00:00.000","24","30",,,,
"Human Rights & Ethics","Other Agencies","County Board President","1","Human Rights Statistics","1","# of cases pending","Lower","Number","Month","August","2015","2015","15-Aug","2015-08-01T00:00:00.000","21","30",,,,
