"department","bureau","elected_official","g","goal","m","metric","favorable_variance","data_type","period_type","period","fiscal_year","calendar_year","period_year","date_time","actual_1","target_1","actual_2","target_2","actual_3","target_3"
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","December","2013","2012","12-Dec","2012-12-01T00:00:00.000","36","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","January","2013","2013","13-Jan","2013-01-01T00:00:00.000","28","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","February","2013","2013","13-Feb","2013-02-01T00:00:00.000","29","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","March","2013","2013","13-Mar","2013-03-01T00:00:00.000","29","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","April","2013","2013","13-Apr","2013-04-01T00:00:00.000","35","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","May","2013","2013","13-May","2013-05-01T00:00:00.000","93","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","June","2013","2013","13-Jun","2013-06-01T00:00:00.000","73","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","July","2013","2013","13-Jul","2013-07-01T00:00:00.000","35","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","August","2013","2013","13-Aug","2013-08-01T00:00:00.000","34","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","September","2013","2013","13-Sep","2013-09-01T00:00:00.000","30","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","October","2013","2013","13-Oct","2013-10-01T00:00:00.000","29","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","November","2013","2013","13-Nov","2013-11-01T00:00:00.000","28","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","December","2014","2013","13-Dec","2013-12-01T00:00:00.000","40","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","January","2014","2014","14-Jan","2014-01-01T00:00:00.000","21","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","February","2014","2014","14-Feb","2014-02-01T00:00:00.000","20","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","March","2014","2014","14-Mar","2014-03-01T00:00:00.000","29","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","April","2014","2014","14-Apr","2014-04-01T00:00:00.000","27","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","May","2014","2014","14-May","2014-05-01T00:00:00.000","41","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","June","2014","2014","14-Jun","2014-06-01T00:00:00.000","35","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","July","2014","2014","14-Jul","2014-07-01T00:00:00.000","37","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","August","2014","2014","14-Aug","2014-08-01T00:00:00.000","25","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","September","2014","2014","14-Sep","2014-09-01T00:00:00.000","28","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","October","2014","2014","14-Oct","2014-10-01T00:00:00.000","27","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","November","2014","2014","14-Nov","2014-11-01T00:00:00.000","29","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","December","2015","2014","14-Dec","2014-12-01T00:00:00.000","47","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","January","2015","2015","15-Jan","2015-01-01T00:00:00.000","48","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","February","2015","2015","15-Feb","2015-02-01T00:00:00.000","36","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","March","2015","2015","15-Mar","2015-03-01T00:00:00.000","34","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","April","2015","2015","15-Apr","2015-04-01T00:00:00.000","32","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","May","2015","2015","15-May","2015-05-01T00:00:00.000","34","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","June","2015","2015","15-Jun","2015-06-01T00:00:00.000","40","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","July","2015","2015","15-Jul","2015-07-01T00:00:00.000","42","45",,,,
"Zoning Board of Appeals","Bureau of Economic Development","County Board President","3","Schedule hearings within 45 days of referral (internal goal)","3","Average number of days between referral and Zoning Board hearing","Lower","Number","Month","August","2015","2015","15-Aug","2015-08-01T00:00:00.000","42","45",,,,
