"bureau","month","invoice_cycle_time","date_time","fiscal_year","roll_up"
"Bureau of Health","December","22.1","2012-12-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","January","47.1","2013-01-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","February","46.6","2013-02-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","March","54.9","2013-03-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","April","61.1","2013-04-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","May","48.1","2013-05-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","June","52.0","2013-06-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","July","46.2","2013-07-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","August","47.9","2013-08-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","September","54.2","2013-09-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","October","55.6","2013-10-01T00:00:00.000","2013","Health & Hospital System"
"Bureau of Health","November","67.5","2013-11-01T00:00:00.000","2013","Health & Hospital System"
