"office","office_name","fiscal_year","adopted_appropriation","adjusted_appropriation","expenditures","fte_s"
"1002","Human Rights and Ethics","2014","776602","782377","590201","11.2"
"1002","Human Rights and Ethics","2015","795895","786978","629135","11.0"
"1002","Human Rights and Ethics","2016","815762","805971","740615","10.5"
"1007","Revenue","2014","2118143","2168948","2168948","64.3"
"1007","Revenue","2015","5459256","5359327","4516377","75.6"
"1007","Revenue","2016","7044988","6972057","6241531","76.6"
"1008","Risk Management","2014","701533","728768","728767","23.0"
"1008","Risk Management","2015","1713774","1698248","1666946","24.0"
"1008","Risk Management","2016","1606087","1590751","1604351","22.0"
"1009","Enterprise Technology","2014","10909306","10857637","10690308","142.0"
"1009","Enterprise Technology","2015","12981437","12902388","11841428","139.0"
"1009","Enterprise Technology","2016","14057116","13883049","13231387","134.0"
"1010","Office of the President","2014","1569999","1584282","1557427","17.0"
"1010","Office of the President","2015","1762656","1774360","1766373","19.0"
"1010","Office of the President","2016","1982892","1962684","1888513","19.0"
"1011","Office of the Chief Administrative Officer","2014","2712586","2732710","2066208","38.0"
"1011","Office of the Chief Administrative Officer","2015","2340425","2313898","1913249","34.0"
"1011","Office of the Chief Administrative Officer","2016","2401356","2372053","1743762","31.0"
"1013","Planning and Development","2014","1055426","1064958","925888","13.0"
"1013","Planning and Development","2015","1130070","1118640","962546","13.0"
"1013","Planning and Development","2016","1023036","1002007","1280192","11.0"
"1014","Budget and Management Services","2014","1466716","1490354","1490353","20.0"
"1014","Budget and Management Services","2015","1547069","1596214","1596208","20.0"
"1014","Budget and Management Services","2016","1629836","1623702","1773138","20.0"
"1018","Office of the County Commissioners","2014","1097956","1101349","1054243","9.6"
"1018","Office of the County Commissioners","2015","908322","893387","793483","9.8"
"1018","Office of the County Commissioners","2016","908996","893585","847539","9.8"
"1020","Comptroller","2014","2997468","2944499","2923212","41.7"
"1020","Comptroller","2015","3120646","3149587","3037741","41.7"
"1020","Comptroller","2016","3250938","3220762","3143208","42.1"
"1021","Office of the Chief Financial Officer","2014","1112619","1122147","1080040","11.0"
"1021","Office of the Chief Financial Officer","2015","1002325","996413","996407","11.0"
"1021","Office of the Chief Financial Officer","2016","1015913","1006961","1025352","10.0"
"1022","Contract Compliance","2014","770724","777320","758829","11.0"
"1022","Contract Compliance","2015","782026","775289","770484","11.5"
"1022","Contract Compliance","2016","859325","850325","809088","12.0"
"1026","Administrative Hearings","2014","1232356","1212677","1127156","9.0"
"1026","Administrative Hearings","2015","1240008","1233555","1133699","9.0"
"1026","Administrative Hearings","2016","1315813","1307868","1256610","9.0"
"1027","Economic Development","2014","787462","790473","721740","7.0"
"1027","Economic Development","2015","406838","398853","433349","3.0"
"1027","Economic Development","2016","589779","569472","986796","6.0"
"1029","Enterprise Resource Planning","2015","1777124","1720657","1472596","22.6"
"1029","Enterprise Resource Planning","2016","1646778","1632491","1564144","16.0"
"1030","Procurement","2014","2754224","2775048","2624426","37.0"
"1030","Procurement","2015","2790064","2791789","2670906","37.0"
"1030","Procurement","2016","2923075","2894348","2797778","37.0"
"1031","Office of Asset Management","2014","1405937","1424412","1424412","17.0"
"1031","Office of Asset Management","2015","2144221","2124559","1864046","23.5"
"1031","Office of Asset Management","2016","2251230","2229746","2151846","23.0"
"1032","Human Resources","2014","3985686","4017363","4000333","48.0"
"1032","Human Resources","2015","4170784","4131380","4049406","49.0"
"1032","Human Resources","2016","4295374","4249020","4008897","48.0"
"1040","Assessor","2014","24624799","23072446","23072443","360.0"
"1040","Assessor","2015","24438754","24004024","20840184","338.0"
"1040","Assessor","2016","24647431","24324269","21990176","342.0"
"1050","Board of Review","2014","8233141","8364301","8364301","125.0"
"1050","Board of Review","2015","8506129","8507396","8639603","126.0"
"1050","Board of Review","2016","8965108","9027613","9027613","125.0"
"1060","Treasurer","2014","1952814","1967061","1767272","26.0"
"1060","Treasurer","2015","1305389","1320228","1205524","17.0"
"1060","Treasurer","2016","1150893","1137971","1094929","14.0"
"1070","Auditor","2014","887093","894406","882506","11.0"
"1070","Auditor","2015","917145","908566","823648","12.0"
"1070","Auditor","2016","934930","925063","909587","12.0"
"1080","Inspector General","2014","1772838","1784896","1722459","20.0"
"1080","Inspector General","2015","1843297","1826455","1596435","20.0"
"1080","Inspector General","2016","2032335","2010893","1857155","20.0"
"1081","Board of Commissioners - First District","2014","358726","359238","358976","5.0"
"1081","Board of Commissioners - First District","2015","386403","386768","345063","5.0"
"1081","Board of Commissioners - First District","2016","378176","375011","357793","5.0"
"1082","Board of Commissioners - Second District","2014","358905","358905","348194","4.0"
"1082","Board of Commissioners - Second District","2015","385844","385593","347512","4.0"
"1082","Board of Commissioners - Second District","2016","394608","389381","327012","4.0"
"1083","Board of Commissioners - Third District","2014","358820","358820","306424","4.0"
"1083","Board of Commissioners - Third District","2015","386050","387045","313642","4.0"
"1083","Board of Commissioners - Third District","2016","397793","393842","325228","4.0"
"1084","Board of Commissioners - Fourth District","2014","358775","358775","356859","5.0"
"1084","Board of Commissioners - Fourth District","2015","386197","386226","361319","5.0"
"1084","Board of Commissioners - Fourth District","2016","396549","392151","384798","5.0"
"1085","Board of Commissioners - Fifth District","2014","358558","358558","357085","4.0"
"1085","Board of Commissioners - Fifth District","2015","386227","387521","382654","4.0"
"1085","Board of Commissioners - Fifth District","2016","397347","393092","393688","4.0"
"1086","Board of Commissioners - Sixth District","2014","358583","358583","351806","5.0"
"1086","Board of Commissioners - Sixth District","2015","386375","387979","373005","5.0"
"1086","Board of Commissioners - Sixth District","2016","392987","390206","366809","5.0"
"1087","Board of Commissioners - Seventh District","2014","359052","359052","332532","4.5"
"1087","Board of Commissioners - Seventh District","2015","386052","385946","340002","4.5"
