"bureau","month","invoice_cycle_time","date_time","fiscal_year","roll_up"
"Administrative Hearing Board","December","9.8","2012-12-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","December","40.3","2012-12-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","December","20.0","2012-12-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","December","43.0","2012-12-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","December","10.0","2012-12-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","December","1.0","2012-12-01T00:00:00.000","2013","President's Office"
"Capital","December","54.8","2012-12-01T00:00:00.000","2013","President's Office"
"Facilities Management","December","20.8","2012-12-01T00:00:00.000","2013","President's Office"
"Office Under the President","December","12.0","2012-12-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","January","26.2","2013-01-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","January","32.0","2013-01-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","January","28.9","2013-01-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","January","39.4","2013-01-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","January","18.2","2013-01-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","January","11.5","2013-01-01T00:00:00.000","2013","President's Office"
"Capital","January","91.6","2013-01-01T00:00:00.000","2013","President's Office"
"Facilities Management","January","13.8","2013-01-01T00:00:00.000","2013","President's Office"
"Office Under the President","January","30.6","2013-01-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","February","16.9","2013-02-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","February","41.4","2013-02-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","February","21.8","2013-02-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","February","39.2","2013-02-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","February","43.5","2013-02-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","February","150.1","2013-02-01T00:00:00.000","2013","President's Office"
"Capital","February","95.3","2013-02-01T00:00:00.000","2013","President's Office"
"Facilities Management","February","22.6","2013-02-01T00:00:00.000","2013","President's Office"
"Office Under the President","February","48.6","2013-02-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","March","18.6","2013-03-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","March","45.5","2013-03-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","March","16.6","2013-03-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","March","31.8","2013-03-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","March","20.5","2013-03-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","March","32.6","2013-03-01T00:00:00.000","2013","President's Office"
"Capital","March","54.6","2013-03-01T00:00:00.000","2013","President's Office"
"Facilities Management","March","35.8","2013-03-01T00:00:00.000","2013","President's Office"
"Office Under the President","March","28.6","2013-03-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","April","13.3","2013-04-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","April","36.1","2013-04-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","April","30.2","2013-04-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","April","32.0","2013-04-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","April","14.6","2013-04-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","April","20.2","2013-04-01T00:00:00.000","2013","President's Office"
"Capital","April","50.9","2013-04-01T00:00:00.000","2013","President's Office"
"Facilities Management","April","23.5","2013-04-01T00:00:00.000","2013","President's Office"
"Office Under the President","April","23.8","2013-04-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","May","12.8","2013-05-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","May","40.4","2013-05-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","May","16.0","2013-05-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","May","35.5","2013-05-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","May","18.9","2013-05-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","May","55.9","2013-05-01T00:00:00.000","2013","President's Office"
"Capital","May","41.7","2013-05-01T00:00:00.000","2013","President's Office"
"Facilities Management","May","37.1","2013-05-01T00:00:00.000","2013","President's Office"
"Office Under the President","May","19.9","2013-05-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","June","100.4","2013-06-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","June","29.6","2013-06-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","June","29.4","2013-06-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","June","25.2","2013-06-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","June","13.4","2013-06-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","June","31.4","2013-06-01T00:00:00.000","2013","President's Office"
"Capital","June","44.1","2013-06-01T00:00:00.000","2013","President's Office"
"Facilities Management","June","25.4","2013-06-01T00:00:00.000","2013","President's Office"
"Office Under the President","June","22.9","2013-06-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","July","13.3","2013-07-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","July","26.6","2013-07-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","July","34.6","2013-07-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","July","36.3","2013-07-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","July","15.3","2013-07-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","July","22.1","2013-07-01T00:00:00.000","2013","President's Office"
"Capital","July","32.9","2013-07-01T00:00:00.000","2013","President's Office"
"Facilities Management","July","24.7","2013-07-01T00:00:00.000","2013","President's Office"
"Office Under the President","July","23.0","2013-07-01T00:00:00.000","2013","President's Office"
"Administrative Hearing Board","August","12.1","2013-08-01T00:00:00.000","2013","President's Office"
"Bureau of Admin.","August","28.3","2013-08-01T00:00:00.000","2013","President's Office"
"Bureau of Economic Development","August","42.0","2013-08-01T00:00:00.000","2013","President's Office"
"Bureau of Finance","August","30.0","2013-08-01T00:00:00.000","2013","President's Office"
"Bureau of Human Resources","August","20.1","2013-08-01T00:00:00.000","2013","President's Office"
"Bureau of Technology","August","42.6","2013-08-01T00:00:00.000","2013","President's Office"
"Capital","August","44.6","2013-08-01T00:00:00.000","2013","President's Office"
