"name","type","website","location","city","hours","comments","how_to_help_this_business","availability","meta_row_index","meta_row_id"
"287 Craft Spirits","Liquor Store","http://www.287craftspirits.com/","5846 S College Ave, Fort Collins, CO 80525","Fort Collins","9am -9pm","Call (970) 377-0557 to place an order for prepared curbside pick up. Limited number of customers allowed inside store. Note: store service is exceptionally well organized right now. (from a customer)",,"Take-Out","0","0727a4206ba82ad54e6e0cf5825729433adcfa92"
"AlphaGraphics","Business & Professional",,"1254 N Denver Ave","Loveland",,"Contact us at 970-223-6316. Open for business and available to assist with quotes, placing orders, marketing requests , etc. We understand your need to effectively communicate safety and disease prevention steps to your staff and customers so our team has developed a number of print and sign assets to assist. To ensure a healthy environment for all, we have a line of signage that encourages these practices around any public or private space. Contact us today for special pricing details. We still offer Free Delivery within Loveland, Greeley, and Fort Collins areas and are now offering curbside pick up.",,"Take-Out","1","cfcd1197bb559b436544cc86db988cc00b8950e3"
"Alpine Arts - The Colorado Showcase","Retail","www.alpineartscolorado.com/","112 North College Ave","Fort Collins","M-Sat: 10am-9pm. Sun: 11AM-!0pm","We offer curbside pickup 7 Days a week!","Purchase gift certificates and merchandise online with delivery, shipping, or 'take-out' options.","Take-Out","2","b5b3f89e3e46732364fbff00b47cd7654dbcc46c"
"Avuncular Bob's Beerhouse","Restaurant/Bar","https://www.avuncularbobs.com/","830 S College Ave","Fort Collins","12-7pm Wed/Thurs,  12-8pm Fri/Sat/Sun","Contact us at 970-484-2688. Open today for dine in, and curbside pick-up! Open Tuesday-thursday 3-8pm, Friday and Saturday 12-8pm, Sunday 12-5pm, and Closed Mondays. Times are wacky, but we have you covered with to-go BEER and FOOD today! Check out our full listing at www.avuncularbobs.com. And don't forget, we have BEER FLIGHTS TO-GO",,"Take-Out","3","6688725919f7fbed36bdcbfd2fc8504aeb2a58ff"
"Bann Thai","Restaurant/Bar","www.bannthairestaurant.net","2721 Council Tree Ave","Fort Collins","Mon-Sat: 11am-9pm. Sun: 12pm-9pm","970-377-1282. Offering takeouts and delivery with no fees with a min. of $15",,"Take-Out","4","517155e6209916ba2f8535544edb838e1b4988d2"
"Beau Jo's Fort Collins","Restaurant/Bar","www.beaujos.com/pizza-locations/ft-collins/","205 North College Avenue","Fort Collins","11am-9:30pm","Contact us at 970-498-8898. Indoor dining available. Open for take out and delivery","How to help this business:","Take-Out","5","22bbbdc4e6d7d7559a680c361c2436edf8d125ff"
"Ben & Jerry's (Fort Collins, CO)","Restaurant/Bar",,"1 Old Town Square, Suite 104","Fort Collins",,"Contact us at 970-407-0899. Open for dine-in, delivery, and take out. Sun-Thur 12 to 8pm Fri-Sat 12 to 9pm. Shop #: 970-407-0899; Catering #: 970-407-0899",,"Take-Out","6","41bbf6167e6a5a2b14d73a645d3acf41ca5cfd7b"
"Big Al's Burgers & Dogs","Restaurant/Bar",,"140 W Mountain Ave","Fort Collins",,"Contact us at 970-232-9815. Now open for Dine-in. Open seven days a week from 11 am-8pm. Offering Delivery (NOCO NOSh, DoorDash, Grubhub), Online ordering, Curbside pickup, Walk-in for carryout, Outdoor dining (on nice days)",,"Take-Out","7","16cc3a268819904228fe5fad27108d7c1e7cd2aa"
"Black Bottle Brewery","Restaurant/Bar","blackbottlebrewery.com/","1611 S College Ave 1609","Fort Collins","Tuesday-Sunday 12-8pm","Monday & Tuesday:  Closed (until further notice)  Wednesday & Thursday:  12pm - 6pm  Friday & Saturday: 12pm - 7pm  Sunday: 12pm - 6pm","Please help us make it through COVID. Please buy gift cards, packaged beer and beer and food to go.","Take-Out","8","22d3bee676c826a39ba83f84e813782f1a75448c"
"Blue Agave Grill","Restaurant/Bar","www.blueagavegrillcolorado.com/locations/fort-collins/","201 S College Ave. Suite 100","Fort Collins","Monday-Saturday  11am-10pm  Sunday  11am-9pm","Contact us at 970-631-8076. limited indoor dining available! / Patio / Carryout / Delivery: Monday - Saturday 11:00am - 10:00pm Sunday 11:00am - 9:00pm Our brunch menu is temporarily suspended until indoor dining resumes. We are still offering bottomless mimosas with any food purchase. Call us to order take out!","How to help this business:","Take-Out","9","8bf855a47c1de8892e881b5c67a29669be56c963"
"Bondi Bar","Restaurant/Bar","www.bondibar.com/","11 Old Town Square","Fort Collins","W-F: 5p-2a Sa: 12p-2a Su: 10:30a-2a",,"We need love and support from our community in numerous ways at this time.","Take-Out","10","cf8c2cb2f6670a23d450ac6d43713e9d458d2582"
"Butterfly Cafe","Restaurant/Bar","Butterflycafefortcollins.com","212 Laporte Ave","Fort Collins","Monday-Friday: 7am - 3pm, Saturday 8am - 4pm","Thank you for supporting us!","Leave us a good review on google or Yelp, post on social media, tell people! :)","Take-Out","11","0abac8186340455948ecf3b35f9707af4b5e67a8"
"Butters Fort Collins","Restaurant/Bar","https://buttersbreakfast.com/","1103 W Elizabeth St","Fort Collins","Sun-Sat: 7am-1:30pm","Contact us at 970-797-2062. !![?]Open for dine in, takeout, delivery, and curbside pick-up! !![?]Open Mon-Fri 7am-1:30pm, Sat-Sun 7am-2pm Order our delicious  breakfast and brunch options by calling us at 970-797-2062! Or order online at https://buttersfoco.hrpos.heartland.us/menu!!  Order delivery through Noco Nosh!!",,"Take-Out","12","37c4933d2de841cd57aae4745545c34ade34fd27"
"C&C Liqour","Liquor Store","https://candcliquorfortcollins.com/","1501 W Elizabeth St.","Fort Collins","9am-11:59pm","Own android/ios app, free delivery with code WINTER",,"Take-Out","13","5803878394faba50bf9f454624c6af2a344643d4"
"Cacciatore at Heller's Kitchen","Restaurant/Bar",,"1939 Jessup Dr, Ste 110","Fort Collins",,"Contact us at 970-825-5135. We wish to thank our community for your continued support of all small businesses! Effective immediately Fort Collins and Windsor locations are now open for indooor dining. Both locations are still offering carry out, delivery, and curbside pick up. Fort Collins has a large patio with heaters that will remain open for full service as well.",,"Take-Out","14","daf0d9377b16da3abf23f70b12c856a39379f0ca"
"Cafe Bluebird","Restaurant/Bar","https://www.cafebluebird.com/","524 W Laurel St","Fort Collins","Thursday - Tuesday 8AM - 1PM","Buy gift certificates over the phone or in person",,"Take-Out","15","5af0b7b10437caf6b5c75efb71a17c19be006c73"
"Charco Broiler","Restaurant/Bar",,"1716 E. Mulberry Street","Fort Collins",,"Contact us at 970-482-1472. We're OPEN for DINE-IN, take-out, delivery, and patio seating (if its nice out). :New Hours: Monday - Closed Tuesday - 11am to 8pm Wednesday  - 11am to 8pm Thursday - 11am to 8pm Friday - 11am to 9pm Saturday  - 8:30am to 9pm Sunday - 8:30am to 8pm",,"Take-Out","16","ff3080db5cf1cd2fa9fc5c95c504cfdd87d25db9"
"Chick-fil-A Fort Collins","Restaurant/Bar","https://www.chick-fil-a.com/OrderFood/fortcollins","3605 S College Ave","Fort Collins",,"Contact us at 970-377-9644. Dine-in services are temporarily closed. Dining services that are open include: delivery, drive-through, curbside pickup, and carryout. Monday - Saturday 6:30am - 10:00pm Sunday Closed",,"Take-Out","17","fd3ded5d3e024c34c2f7bd00071f11f6c3b23406"
"Christian Brothers Automotive Fort Collins","Auto",,"1500 Academy Ct","Fort Collins",,"Contact us at 970-484-3146. Open for Business 7am-6pm M-F to serve the auto repair & maintenance needs of our community.  No-Contact options including FREE pickup / delivery & all-day envelope drop off.  All communication and payment can happen over the phone. Our lobby is open with strict social distancing measures in place and is sanitized at regular intervals.  In-store services are paperless and also require no-contact between you and our staff.  All vehicles are sanitized before and after service for our customer's protection, including your keys.  Please call (970) 484-3146 to make an appointment.",,"Take-Out","18","8146ee6c4c08df0ff9f96731023ba90337fb678a"
"Citizen Printing","Business & Professional",,,"Fort Collins",,"Contact us at 970-482-2537. Open for business! Full service printing from concept to delivery! Monday - Friday   7:00am - 4:00pm  or by appointment Offering curbside pickup.",,"Take-Out","19","b026fb3ad2b900ca2643276f0c22691a72d4fbeb"
"ColorPro Printing","Business & Professional",,"2415 E Mulberry St, #7","Fort Collins",,"Contact us at 970-482-6698. We are pleased to inform you, we are returning to normal business hours 730am to 530pm! We look forward to serving you. We now offer ""curbside pickup service"" for your safety.",,"Take-Out","20","e64274894605239e18364f8d43c09be71dd985fe"
"Comet Chicken","Restaurant/Bar","http://cometchicken.com/","126 W Mountain Ave","Fort Collins","Reopening May 8th @11am-9pm","Contact us at 970-689-3464. Dine-In, Takeout, and Delivery, Hours of operation are 11 a.m.-9 p.m., seven days a week. The menu features chicken tender baskets, sandwiches (original, Nashville hot, buffalo), house salad, fries, side salad, and brownies. Guests may pick up their favorites through carryout, newly instituted curbside pickup, or delivery from NoCo NOSH, and GrubHub. Comet Chicken has also launched online ordering to accommodate contactless ordering and payment.",,"Take-Out","21","0956f0e32bed51aea3da74f360ee269839174e41"
"Coopersmith's (Pub and Poolside)","Restaurant/Bar","https://coopersmithspub.com/","5 Old Town Sq","Fort Collins","Pubside: Open","Pubside: Sun. -Thurs:11am - 9pm Friday & Sat.: 11am - 10pm. Poolside: Temporarily Closed",,"Take-Out","22","9d62d60a6c363fb40e8f57ec3ce95198b8e0f8f5"
"CopperMuse Distillery","Restaurant/Bar","https://coppermuse.com/store","244 N College Ave #105","Fort Collins","Wed & Fri 4-6:30pm, Sat 1-4pm.","Contact us at 970-999-6016. Open for indoor/patio dinning & libations or take out. Tasting room is open every weekend, Friday 2-8, Staurday 12-8, and Sunday 12-6 Closing hours subject to change due to inclement weather.",,"Take-Out","23","a4341487d501c1301919547f2614ebf6828f14d5"
"Crooked Stave","Brewery","http://www.crookedstave.com/visit-us/foco-tap-list/","216 N College Ave Suite 130","Fort Collins",,"Taprooms hours: 12:00-6:00PM DAILY",,"Take-Out","24","48f92b51fc19dcd1dc9cdef9c7c16a921f988320"
"Crown Pub, The","Restaurant/Bar","http://www.crownpub.net/","134 S College Ave","Fort Collins","3-8pm","Limited menu & alcohol currently available - call 970-484-5929",,"Take-Out","25","2da7f59502289d6493a301eea43f49f7c0fea88f"
"Cuppys Coffee","Restaurant/Bar","https://cuppyscoffeefc.com/","353  W Drake Rd #120","Fort Collins","Reopening May 4th, 8am-5pm Mon-Sun","Coffee drinks, soothies, breakfast, lunch & bags of coffee",,"Take-Out","26","836fcb7ff40066f16c4a2bc98343c5c449d45b78"
