"name","type","website","location","city","hours","comments","how_to_help_this_business","dine_in","outdoor_dining","outdoor_recreation","outdoor_retail","outdoor_services","gift_cards","delivery","take_out","order_online","noconosh","doordash","grubhub","postmates","bottles","cans","crowlers","growlers","product_options","availability","meta_row_index","meta_row_id","gps_location"
"Ace Gillett's",,,"239 South College Avenue","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"3","5e714c4b6bc7bcddc5132ca85647b95bfdf03e18","POINT (-105.077077 40.585098)"
"Bawarchi Biryanis","Restaurant/Bar","https://www.bawarchifortcollins.com","1611 S College Ave #100","Fort Collins",,,,,,,,,,,,,"true","true","true","true",,,,,,"DoorDash, GrubHub, NoCoNosh, Postmates","24","23f3859590221458e1b0ae6dfe3d685af0e791c3","POINT (-105.077038 40.566333)"
"Chipper's Lanes","Entertainment & Recreation",,"217 W Horsetooth Rd","Fort Collins",,"Contact us at 970-286-0802. RESERVE LANE OR TABLE NOW Horsetooth: OPEN, Bowling and Restaurant",,,,,,,,,,,,,,,,,,,,,"69","8df1a40e9cb1f01203eb1ba184f52f4a7c39b5de","POINT (-105.079815 40.538029)"
"Carnegie Center for Creativity",,,"200 Mathews","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"57","f4c885c4367b2167b379c0fb727f4e451c1cb7fa","POINT (-105.074063 40.584897)"
"Darvier Jewelry",,,"172 North College Avenue, Suite F","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"106","5674252ca5300ea5280adebed544d76442a3481f","POINT (-105.076922 40.588493)"
"Garwoods Jewelers",,,"131 S COLLEGE AVE","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"164","02c4a10fb158c2d18cbeb83133f088086c237e57","POINT (-105.077072 40.586311)"
"Lazy Dog Grill",,,"Johnstown, CO","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"232","e615a5b7841847cd3ab7b725ec9a5e00579c10d3",
"Mayan Empanadas",,,"Delivery only","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"260","ad3dae002abeae0834ca00958bd84eb13e50c2ea",
"Mountain Avenue Market",,,"250 E. Mountain Ave","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"271","1454d8c4c41d18bf9c564fdcc5235e7cda5c5e1a","POINT (-105.075087 40.587103)"
"Pobre Panchos","Restaurant/Bar","https://www.facebook.com/pobre.panchos1802/","1802 N College Ave","Fort Collins","11am-6pm","970-482-0895",,,,,,,"true",,"true",,,,,,,,,,"Gift Cards","Take-Out","321","1f7392369e37a93bf96cc1ca306eb40a98983eb5","POINT (-105.076444 40.611017)"
"RamZone",,,"1101 Center Avenue Mall","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"341","5c5829da30aee2be4734e38978b883c7e94f948f","POINT (-105.083669 40.57308)"
"Trimble Court Artisans",,,"118 Trimble Court","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"441","9b39e734270cc968736ac842449fdcb7f98329ac","POINT (-105.076484 40.587741)"
"Wagz Pet Market & Grooming",,,"132 N College Ave","Fort Collins",,,,,,,,,,,,,,,,,,,,,,,"461","c6d4713144ecda97d635df9e710fde18dfdd3998","POINT (-105.076919 40.587835)"
"ServiceMaster Restoration","Business & Professional",,"3054 Lake Canal Ct, Ste 120","Fort Collins",,"Contact us at 970-484-0588. Available 24/7/365 for Emergency mitigation needs, Water damage, Sewer backup, Mold Remediation, Fire, Smoke and Odor Removal. We are also set up now for COVID 19 cleaning services- Pre-emptive and post-contamination cleanings.",,,,,,,,,,,,,,,,,,,,,"366","5c9f72e486fafef677b446670be5fb0b8988ffae","POINT (-105.021672 40.583595)"
"Farmers Insurance - Peter Vlcek Agency","Business & Professional","http://agents.farmers.com/pvlcek","262 E Mountain Ave Ste 100","Fort Collins","8AM-5PM M-F",,"How to help this business:",,,,,,,,,,,,,,,,,,,,"138","50923d9821e32fe5c21e90095afd9195d74528e6","POINT (-105.07475 40.587099)"
"DC Oakes Brewhouse","Brewery","https://www.dcoakesbrewhouse.com/","3581 Harmony Rd #110","Fort Collins",,"Delivers within 7 miles, 11am-9pm, 970-286-2076",,,,,,,,"true","true",,,,,,,,"true","true","Crowlers, Growlers","Delivery, Take-Out","101","a9fa2d4e2cdecf8ab28675d0272e06acd4431348","POINT (-105.011468 40.523228)"
"Yampa Sandwich Company","Restaurant/Bar",,"140 N College Ave","Fort Collins",,"Contact us at 970-482-6913. Adjusted hours 7 am - 5 pm Open for Dine in, Online Orders, Pick-Up & Curbside Pick-Up, and Delivery",,,,,,,,,,,,,,,,,,,,,"480","585061c6912574bf9db71bb6c144ba9957e0079d","POINT (-105.076919 40.587835)"
"Restaurant 415","Restaurant/Bar","http://www.thefourfifteen.com/","415 S Mason","Fort Collins","Monday:  CLOSED  Tuesday:  11:00 AM - 10:00 PM  Wednesday:  11:00 AM - 10:00 PM  Thursday:  11:00 AM - 10:00 PM  Friday:  11:00 AM - 10:00 PM  Saturday:  11:00 AM - 10:00 PM  Sunday:  11:00 AM - 9:00 PM","Contact us at 970-407-0415. Indside dining available, and heated patio. Reservations are welcome. Also offering take out and curbside pickup. Open 11am - 8pm Tuesday - Sunday, closed on Monday. (970) 407-0415","How to help this business:",,"true",,,,,,"true",,,,,,,,,,,"Outdoor Dining, Take-Out","348","4dcf22cacbb46163547f2389968427bf6065d1ea","POINT (-105.079018 40.582363)"
"RE/MAX Alliance","Business & Professional","http://fortcollins.homesincolorado.com/","4703A Boardwalk Dr","Fort Collins","8:00AM - 5:30PM",,"Contact us for questions on real estate changes during COVID. Support one another!",,,,,,,,,"true",,,,,,,,,,"Order Online","334","4874fe65494638d918fe6a0bf3111b2960cda2b9","POINT (-105.0653 40.522134)"
"Lucille's","Restaurant/Bar","https://www.luciles.com/","400 S Meldrum","Fort Collins",,"970-224-5464 limited menu",,,,,,,,,,,,,,,,,,,,,"249","b50b3972caf5ebc781568b7beafe139dbe13e76c","POINT (-105.082491 40.582668)"
"Whole Foods","Restaurant/Bar",,,"Fort Collins",,"Contact us at 970-267-9200. We have special hours for at-risk populations and are partnering with Amazon to expand delivery and pickup.",,,,,,,,"true","true",,,,,,,,,,,"Delivery, Take-Out","469","3888f19c3e855881f0cd5989aa7b94665f0f5344","POINT (-105.082459 40.588972)"
