"job_title","department","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","CITY MANAGER'S OFFICE","270636.06","0","e3447cee9fd4b852d1a9bb3d503e56644a275995"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","200136.09","1","3f3e0ba2300255483cfa39cecf537539ecaa952b"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","182007.45","2","7309886c65948884c7dd9dd58a27e39f99b3ed4c"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","173738.94","3","c68e3b59bf29c27246421da7a6a2e82714153f45"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","170681.05","4","f461a6d7854ac55f5bd6a08e7dcf57feefd5befc"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","170035.47","5","b13c8294b263f145d9a98352d04be7f665be8985"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","168046.8","6","afe73ae250c753e6e17295d2b963cdb9356c2701"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","166776.34","7","ea3f2978f21d3ca7e1730bc49df81dd16bb5c84c"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","159847.41","8","e63d2c37bbab750cc922d8419c26b268ed337c07"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","150860.94","9","47bc49cc974845198c617d24ad72524970b5496e"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","148671.59","10","feefc37399129a134af7019b96ad2cd34da78442"
"DIRECTOR OF PDT","PDT ADMINISTRATION","144176.59","11","d60492d3a2a87635baa95b8fec9b2843934808eb"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","142222.5","12","029c23c805fdb643dd6b59d53354ecbf6574607d"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","139771.0","13","18b6523211a5e2a922c0d66899a09e7bbe42d2ab"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","139717.88","14","611a68f9a2f0c3281ad770c85d5d1461bd8ed454"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","138829.05","15","7f180040d26d7094ce964b898038cec156a17941"
"CHIEF HUMAN RESOURCES OFFICER","HUMAN RESOURCES","138263.31","16","fc36123f67d757c44da3e8293dfeb49d435849a4"
"CHIEF SUSTAINABILITY OFFICER","SUSTAINABILITY SERVICES ADMIN","137866.52","17","2917a3d6422f72e404b6b21c82fec82a650ebeec"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","137760.0","18","00a8a51235e02b280fa41124ca841a5cd3afbcb7"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","137731.75","19","57d0045acdfc283ebf73e3f42160d722f155c85a"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","136907.77","20","c03d4624b2497c65551f63464b7e23cc4ddc752a"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","136458.55","21","ec33d73b2123b173f1d21060e93b4dd6ca950574"
"POLICE LIEUTENANT","PATROL","134859.84","22","6200133873bda0fd34f90b976a76b533331cb5e8"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","134622.02","23","57bed5a846797e2759e84461f24905210c63b2bb"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","133500.73","24","1e8e73ac891776755824572b14739ce4bb91b028"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","133152.0","25","6650f33d26034c9ceba63fa2043e94f421914e25"
"POLICE SERGEANT","PATROL","132526.22","26","3a9e038c74f5823409e3013480c7244066e0c533"
"POLICE LIEUTENANT","INVESTIGATIONS","132344.09","27","ee31671b9684ba7b1bc5d0bce53e53418a10d77e"
"POLICE SERGEANT","PATROL","131868.44","28","c5578ff5057ba28de4e5c3b9dd4dac219333e91c"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","131553.81","29","316cb12416437f22dbd95cdefcb0d64179775957"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","131547.3","30","6dbec494c0893f495f172526d1d79cee5c629339"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","131448.09","31","21bbb0abc1a7c741da7bff87eb5146dec4d94708"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","130952.3","32","1f08299aa173c3ed08765d3c60589e031121cfdd"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","130623.27","33","107e293a74454512f3666f5a62ff3a0a3d769eb4"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","130000.0","34","16592eb7778e4347e348aa0286afe991ace26ce7"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","129145.92","35","6d71be25c5eae59553c6a4ceca82ad6260183fac"
"POLICE SERGEANT","PATROL","129078.65","36","7b83a78dedc059ff39d65836de18d18c4ee25507"
"POLICE SERGEANT","PATROL","128743.89","37","d58e4aa996223b32c69e0b12a5c86f723bb6cbf2"
"POLICE SERGEANT","INVESTIGATIONS","128639.03","38","c0a4750d4427a6523d3418fe4f97b794678a9b47"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","128236.6","39","6cf628c706415ea0f91c34400fed8763efea0bf4"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","128122.16","40","bd61c71e5a7e8c7bbdfc1ea4318aa9f0b4152235"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","128078.91","41","f2d1489ca5ccedf024047bda6acbdc15ea8ab926"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","128013.31","42","2b7af3e1649486edfcbcfd57b3856dfdcddd3695"
"POLICE SERGEANT","PATROL","127873.78","43","b1af2480995ed8fea74a9759ef8dc8c88dd53139"
"POLICE SERGEANT","INVESTIGATIONS","127452.64","44","28952d485dfa1c88a303caebd65779f5fbecc7b8"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","127363.45","45","0811b92c2da1ac873a04ac263029445883028b22"
"EMERGENCY SERVICES COMM MGR","POLICE INFORMATION SERVICES","127276.12","46","23c7f82076788ed15d054c28f7d899084d4b4eb3"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","125878.34","47","fe369b3ec6aa275cff42e628a9cd72e87166325f"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","124885.58","48","9e8eb609e29ba3af546d3922d5b4c660cc2e7dee"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","124476.0","49","b21ea97e1658f545e198c676e5c7ca16dc443fb3"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","124212.0","50","6f13b04b7427c4107f45c293ced46826ee3a3dad"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","124155.77","51","79e9d3579a936c21b4aab5301135cc7af40bd6dd"
"POLICE LIEUTENANT","INVESTIGATIONS","124154.44","52","79b3bdee19e2053a1a32b952acd793a432681b62"
