"name","type","website","location","city","hours","comments","how_to_help_this_business","product_options","meta_row_index","meta_row_id"
"Black Bottle Brewery","Restaurant/Bar","blackbottlebrewery.com/","1611 S College Ave 1609","Fort Collins","Tuesday-Sunday 12-8pm","Monday & Tuesday:  Closed (until further notice)  Wednesday & Thursday:  12pm - 6pm  Friday & Saturday: 12pm - 7pm  Sunday: 12pm - 6pm","Please help us make it through COVID. Please buy gift cards, packaged beer and beer and food to go.","Crowlers","0","cc50c7a2fc6ff4b7fc9cf287fd3748d251f64a14"
"CopperMuse Distillery","Restaurant/Bar","https://coppermuse.com/store","244 N College Ave #105","Fort Collins","Wed & Fri 4-6:30pm, Sat 1-4pm.","Contact us at 970-999-6016. Open for indoor/patio dinning & libations or take out. Tasting room is open every weekend, Friday 2-8, Staurday 12-8, and Sunday 12-6 Closing hours subject to change due to inclement weather.",,"Crowlers","1","8d11437a872624bfa8ba38a84e94c7f0f207c73c"
"Crooked Stave","Brewery","http://www.crookedstave.com/visit-us/foco-tap-list/","216 N College Ave Suite 130","Fort Collins",,"Taprooms hours: 12:00-6:00PM DAILY",,"Crowlers","2","72370275bb10c62dddbf945347fc05362458e64f"
"DC Oakes Brewhouse","Brewery","https://www.dcoakesbrewhouse.com/","3581 Harmony Rd #110","Fort Collins",,"Delivers within 7 miles, 11am-9pm, 970-286-2076",,"Crowlers","3","0df55538bb4000c1d9419520db374aec7d476d08"
"Elevation 5003","Brewery","http://www.elevation5003.com/","2601 S Lemay Ave #8","Fort Collins",,"Offering Cocktails & Bottles to go",,"Crowlers","4","8b5310445abc3621cd299c6ed436318578cce11d"
"Envy Brewing","Restaurant/Bar","www.envybrewing.com","3027 E. Harmony Rd. Suite 2","Fort Collins","To-Go Beer. Tues-Sat: 3-6pm","https://www.facebook.com/pg/EnvyBrewing/posts/","https://www.envybrewing.com/product-page/envy-gift-card-1","Crowlers","5","9662f776b0349acccc294bc4754b69300e21990e"
"Equinox Brewing Company","Restaurant/Bar","equinoxbrewing.com/","133 Remington","Fort Collins","2pm-6pm","2-5 prefilled growlers. Call ahead for specailty fills (see website).","Consider purchasing a Crowler online for pickup!","Crowlers","6","fa98988833de8b2eefa611d4bb8b2b7e3ba420ee"
"Gilded Goat Brewing Company","Restaurant/Bar","www.gildedgoatbrewing.com","3500 S College Ave, #194","Fort Collins","TBD","Stop by and shop to support a local, family-owned business!","1. Grab some to-go beer, merchandise, and/or a gift card. 2. Follow us on Instagram and Facebook Insta: @gildedgoatbrewingco FB: @gildedgoat  3. Give the gift of craft beer this holiday season.","Crowlers","7","5d5f2647f79e76a002564c5780e9b6e4e9ae0eb2"
"Horse & Dragon","Brewery","https://www.horseanddragonbrewing.com/","124 Racquette Drive","Fort Collins",,,,"Crowlers","8","d42351bd9d21d86a739d203f02f48d339f4207be"
"Intersect Brewing","Brewery","http://www.intersectbrewing.com/",,"Fort Collins",,"3-6 wkdays, 11-4 wknds, discounted gift card promo ($75 card for $50)",,"Crowlers","9","6340a6485f8a6e18ffd8a776d722e9bd103555e5"
"Jessup Farm Barrel House","Brewery","http://www.jessupfarmbarrelhouse.com/","1921 Jessup Dr","Fort Collins",,"""to-go beer"" 12-7",,"Crowlers","10","5c172f39a3c392c9b84530a20ecda23a825190c0"
"Life's a Buch","Restaurant/Bar","www.lifesabuch.com","1800 E. Lincoln Ave Unit D","Fort Collins","See website","Contact us at 719-429-4628. Now offering pick-up or home delivery with focomarket.com",,"Crowlers","11","c964a53b5c928b2c71ff05814b1358adb7acb8c1"
"Loveland Aleworks","Brewery","http://www.lovelandaleworks.com/","118 West 4th Street","Loveland",,"Open daily 11-7. Curbside pickup available, $30 minimum order for delivery. Order by 3:45pm for 4-7pm Delivery.  See website for delivery area.",,"Crowlers","12","dd15b00ff1f90c7d61310f89f8c3b7d9ac45e733"
"Maxline Brewing","Brewery","https://maxlinebrewing.com/","2724 McClelland Dr #190","Fort Collins",,"New Growler fills only, but new glass is only $4",,"Crowlers","13","39fe9a07596b4366485cbaddab3c4afe60080862"
"Noco Distillery","Brewery","www.nocodistillery.com","328 South Link Ln Ct. #11","Fort Collins",,"Bottle sale and Hand sanitizer sale. call ahead or order online",,"Crowlers","14","9be5bf4ff8866d1c7c91769f284dbb53a7b8638f"
"Odell Brewing Co","Brewery","https://focobeer.odellbrewing.com/","800 Lincoln Ave","Fort Collins",,"Order online, pick up Friday-Sunday, 12:00-7:00 curbside in West Parking Lot. Check website for special releases",,"Crowlers","15","e0b7ac0baa9011c90f09cfa7b778abfa7bb8053c"
"Purpose Brewing","Brewery","https://purposebrewing.com/","4025 S Mason St","Fort Collins",,"750mL fliptop bottles ($10 - 20 depending on beer, also add $10 for a fliptop bottle if you are not returning one) and 1/6 bbls kegs ($130 - 200)",,"Crowlers","16","2d44310dacafb56da6cd84a3b8804f14514e3d7e"
"Rally King Brewing","Restaurant/Bar","www.RallyKingBrewing.com","1624 S Lemay Ave #4","Fort Collins","12pm-8pm Every Day","Open 2-7pm daily. Growler fills, 6 packs, and 12oz bottles available. Gift cards and merch also available for sale. Limited to go snacks menu also available.","Please rate us on Google, follow us on our Instagram and Facebook pages @rallykingbrewing, and utilize our extensive to go options! You can find our online ordering site through our website!","Crowlers","17","5914f36aaa00cdd29a961f8963b6e595c44b6bea"
"Red Truck","Brewery","redtruckbeer.com","1020 E Lincoln Ave","Fort Collins",,"Call to order or use gotab website. Free delivery.",,"Crowlers","18","529cc34a113c2528b1bbcde837c937212e5261e0"
