"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","id","intake_date","intake_type","intake_subtype","intake_condition","intake_jurisdiction","outcome_jurisdiction","intake_total"
,"CAT","DOMESTIC SH","BRN TABBY/WHITE","Female","SMALL","2018-09-01T00:00:00.000","K22-042419","CS05","A413099","2022-09-01T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
"LUCKY","CAT","DOMESTIC SH","BRN TABBY/WHITE","Neutered","SMALL",,"K22-042420","SMM","A403660","2022-09-01T00:00:00.000","STRAY","FIELD","UNKNOWN","COUNTY","COUNTY","1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Male","KITTN",,"K22-042408","CA03","A413089","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","SIAMESE","LYNX PT","Male","KITTN",,"K22-042400","CA03","A413080","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK","Male","KITTN",,"K22-042404","CA03","A413084","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Male","KITTN",,"K22-042407","CA03","A413088","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Male","KITTN",,"K22-042409","CA03","A413090","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK","Male","KITTN",,"K22-042410","CA03","A413091","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","CALICO","Female","KITTN",,"K22-042402","CA03","A413082","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Male","KITTN",,"K22-042403","CA03","A413083","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","SIAMESE","LYNX PT","Female","KITTN",,"K22-042401","CA03","A413081","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK","Male","KITTN",,"K22-042405","CA03","A413086","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK","Female","SMALL",,"K22-042406","CA03","A413087","2022-08-31T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","WHITE/BLACK","Male","SMALL","2022-03-31T00:00:00.000","K22-042396","TX","A413075","2022-08-31T00:00:00.000","STRAY","FIELD","UNKNOWN","COUNTY",,"1"
,"CAT","DOMESTIC MH","WHITE","Female","KITTN","2022-07-12T00:00:00.000","K22-042392","CA03","A413069","2022-08-30T00:00:00.000","STRAY","PHONE","TREATABLE/REHAB","COUNTY",,"1"
,"CAT","DOMESTIC SH","BRN TABBY","Male","SMALL","2021-12-30T00:00:00.000","K22-042394","CI02","A413072","2022-08-30T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL","2010-08-30T00:00:00.000","K22-042388","SMM","A413063","2022-08-30T00:00:00.000","STRAY","PHONE","UNKNOWN","SANTA ROSA",,"1"
,"CAT","DOMESTIC MH","WHITE","Male","KITTN","2022-07-12T00:00:00.000","K22-042391","CA03","A413068","2022-08-30T00:00:00.000","STRAY","PHONE","TREATABLE/REHAB","COUNTY",,"1"
"CURTIS","CAT","DOMESTIC SH","WHITE","Neutered","SMALL","2007-08-30T00:00:00.000","K22-042390","CI01","A413067","2022-08-30T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA",,"1"
"MISSY","CAT","DOMESTIC SH","LILAC PT","Spayed","SMALL","2010-11-09T00:00:00.000","K22-042378","CS05","A277101","2022-08-27T00:00:00.000","STRAY","OVER THE COUNTER","UNKNOWN","SANTA ROSA","SANTA ROSA","1"
,"CAT","DOMESTIC SH","ORG TABBY","Unknown","KITTN",,"K22-042366","SMM","A413032","2022-08-27T00:00:00.000","STRAY","PHONE","UNKNOWN","COUNTY","COUNTY","1"
,"CAT","DOMESTIC SH","ORG TABBY","Unknown","KITTN",,"K22-042364","COOLER","A413030","2022-08-27T00:00:00.000","STRAY","PHONE","UNKNOWN","COUNTY",,"1"
,"CAT","DOMESTIC SH","ORG TABBY","Unknown","KITTN",,"K22-042365","SMM","A413031","2022-08-27T00:00:00.000","STRAY","PHONE","UNKNOWN","COUNTY","COUNTY","1"
,"CAT","DOMESTIC SH","ORG TABBY","Unknown","KITTN",,"K22-042367","SMM","A413033","2022-08-27T00:00:00.000","STRAY","PHONE","UNKNOWN","COUNTY","COUNTY","1"
