"year_of_birth","gender","count"
"1855","MALE","1"
"1857","FEMALE","1"
"1858","FEMALE","4"
"1858","MALE","2"
"1859","FEMALE","6"
"1859","MALE","2"
"1862","FEMALE","1"
"1865","MALE","1"
"1867","FEMALE","1"
"1868","NOT STATED","1"
"1868","MALE","1"
"1869","MALE","1"
"1870","MALE","1"
"1870","FEMALE","1"
"1871","MALE","1"
"1872","FEMALE","2"
"1872","MALE","2"
"1873","MALE","48"
"1873","FEMALE","2"
"1874","MALE","1"
"1874","FEMALE","147"
"1875","FEMALE","105"
"1875","MALE","3"
"1876","FEMALE","2"
"1876","MALE","60"
"1877","FEMALE","68"
"1877","MALE","4"
"1878","FEMALE","13"
"1878","MALE","193"
"1879","MALE","7"
"1879","FEMALE","170"
"1880","MALE","103"
"1880","FEMALE","14"
"1881","MALE","11"
"1881","FEMALE","37"
"1882","FEMALE","15"
"1882","NOT STATED","31"
"1882","MALE","11"
"1883","FEMALE","53"
"1883","MALE","14"
"1884","MALE","18"
"1884","FEMALE","70"
"1885","MALE","19"
"1885","FEMALE","157"
"1886","FEMALE","31"
"1886","MALE","111"
"1887","FEMALE","29"
"1887","MALE","160"
"1887","NOT STATED","1"
"1888","FEMALE","177"
"1888","MALE","31"
"1889","NOT STATED","1"
"1889","FEMALE","54"
"1889","MALE","199"
"1890","NOT STATED","110"
"1890","MALE","35"
"1890","FEMALE","48"
"1891","MALE","105"
"1891","FEMALE","57"
"1892","MALE","40"
"1892","FEMALE","84"
"1893","FEMALE","62"
"1893","MALE","58"
"1894","FEMALE","48"
"1894","MALE","60"
"1895","FEMALE","76"
"1895","NOT STATED","57"
"1895","MALE","52"
"1896","MALE","113"
"1896","FEMALE","68"
"1897","FEMALE","124"
"1897","MALE","61"
"1898","FEMALE","139"
"1898","MALE","59"
"1898","NOT STATED","1"
"1899","FEMALE","167"
"1899","NOT STATED","1"
"1899","MALE","53"
"1900","FEMALE","539"
"1900","MALE","56"
"1901","FEMALE","156"
"1901","MALE","61"
"1902","FEMALE","92"
"1902","MALE","109"
"1902","NOT STATED","1"
"1903","FEMALE","129"
"1903","MALE","204"
"1904","FEMALE","135"
"1904","MALE","127"
"1905","MALE","192"
"1905","FEMALE","147"
"1906","FEMALE","225"
"1906","MALE","318"
"1907","MALE","330"
"1907","FEMALE","248"
"1908","FEMALE","322"
"1908","MALE","227"
"1909","FEMALE","272"
"1909","MALE","337"
"1910","MALE","216"
"1910","NOT STATED","1"
"1910","FEMALE","315"
"1911","MALE","396"
"1911","FEMALE","322"
"1912","NOT STATED","1"
"1912","FEMALE","445"
"1912","MALE","264"
"1913","FEMALE","392"
"1913","MALE","431"
"1914","MALE","465"
"1914","FEMALE","369"
"1915","MALE","478"
"1915","FEMALE","360"
"1916","MALE","394"
"1916","FEMALE","484"
"1917","FEMALE","434"
"1917","MALE","370"
"1918","MALE","397"
"1918","FEMALE","362"
"1919","MALE","406"
"1919","FEMALE","429"
"1920","MALE","412"
"1920","FEMALE","468"
"1921","MALE","478"
"1921","FEMALE","453"
"1922","MALE","478"
"1922","FEMALE","493"
"1923","FEMALE","470"
"1923","MALE","523"
"1924","MALE","451"
"1924","FEMALE","446"
"1925","FEMALE","371"
"1925","MALE","457"
"1926","FEMALE","384"
"1926","MALE","419"
"1927","FEMALE","405"
"1927","MALE","394"
"1928","MALE","417"
"1928","FEMALE","335"
"1929","FEMALE","372"
"1929","MALE","327"
"1930","FEMALE","356"
"1930","MALE","355"
"1931","FEMALE","317"
"1931","MALE","376"
"1932","FEMALE","338"
"1932","MALE","383"
"1933","FEMALE","358"
"1933","MALE","377"
"1934","MALE","338"
"1934","FEMALE","349"
"1935","MALE","351"
"1935","FEMALE","334"
"1936","FEMALE","364"
"1936","MALE","378"
"1937","MALE","397"
"1937","FEMALE","344"
"1938","FEMALE","422"
"1938","MALE","470"
"1939","MALE","464"
